turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,capture,swap,mobilize,-1,None,-1,-1,-1,-1
1,1,0,0,capture,swap,mobilize,2,mobilize,1-0,1-1,2-0,2-1
2,0,0,0,capture,capture,mobilize,1,capture,1-4,1-1,-1,-1
3,1,3,0,move1,capture,mobilize,0,move1,1-4,2-4,-1,-1
4,0,3,3,move1,move2,mobilize,1,move2,1-1,2-1,-1,-1
5,1,3,3,move1,move2,swap,2,swap,1-4,1-3,1-0,2-0
6,0,3,4,move1,capture,swap,1,capture,1-1,2-2,-1,-1
7,1,3,4,move1,capture,capture,2,capture,1-3,2-4,-1,-1
8,0,3,8,move1,mobilize,capture,1,mobilize,3-4,2-4,-1,-1
9,1,3,8,move1,capture,capture,1,capture,1-0,1-1,3-0,3-1
10,0,3,9,capture,capture,capture,0,capture,1-3,2-3,-1,-1
11,1,3,9,capture,capture,capture,-1,None,-1,-1,-1,-1
12,0,3,13,move1,capture,capture,0,move1,2-2,2-0,2-3,-1
13,1,3,13,move2,capture,capture,0,move2,3-1,3-0,-1,-1
14,0,3,14,capture,capture,capture,0,capture,3-4,3-2,-1,-1
15,1,3,14,capture,capture,capture,-1,None,-1,-1,-1,-1
16,0,3,14,move2,mobilize,capture,-1,None,-1,-1,-1,-1
17,1,3,14,move2,capture,capture,1,capture,1-1,2-1,1-0,2-0
18,0,3,18,move2,capture,capture,1,capture,2-2,2-1,-1,-1
19,1,3,18,move1,capture,capture,0,move1,1-0,2-1,-1,-1
20,0,3,22,move1,move2,capture,1,move2,2-2,2-1,-1,-1
21,1,3,22,move1,move1,capture,1,move1,1-0,2-1,-1,-1
22,0,3,26,move1,move1,swap,2,swap,2-2,2-1,-1,-1
23,1,4,26,move1,move1,swap,2,swap,1-0,2-2,-1,-1
24,0,4,26,move1,move1,capture,2,capture,1-0,2-0,-1,-1
25,1,8,26,move1,move1,move1,2,move1,2-2,2-3,-1,-1
26,0,8,26,mobilize,move1,move1,0,mobilize,2-0,2-1,-1,-1
27,1,9,26,move1,move1,move1,0,move1,1-0,1-1,3-0,2-0
28,0,9,26,swap,move1,move1,0,swap,3-2,3-1,-1,-1
29,1,10,26,swap,move1,move1,0,swap,2-0,2-1,-1,-1
30,0,10,26,capture,move1,move1,0,capture,1-4,1-1,-1,-1
31,1,14,26,capture,move1,move1,0,capture,2-1,1-1,-1,-1
32,0,14,29,capture,move1,move1,0,capture,2-0,2-1,-1,-1
33,1,18,29,move1,move1,move1,0,move1,1-4,2-4,-1,-1
34,0,18,29,capture,move1,move1,0,capture,3-1,2-1,-1,-1
35,1,22,29,move2,move1,move1,0,move2,1-0,2-0,-1,-1
36,0,22,29,capture,move1,move1,0,capture,3-4,2-3,-1,-1
37,1,26,29,mobilize,move1,move1,0,mobilize,2-2,2-3,-1,-1
38,0,26,29,move2,move1,move1,0,move2,3-4,3-3,2-4,2-3
39,1,27,29,capture,move1,move1,0,capture,1-4,1-2,-1,-1
40,0,27,32,swap,move1,move1,0,swap,2-3,2-2,-1,-1
41,1,27,32,capture,move1,move1,0,capture,1-2,2-1,-1,-1
42,0,27,33,capture,mobilize,move1,1,mobilize,1-2,2-2,-1,-1
43,1,30,33,capture,mobilize,move1,0,capture,2-1,2-2,-1,-1
44,0,30,33,capture,mobilize,capture,2,capture,1-4,2-4,-1,-1
45,1,33,33,swap,mobilize,capture,0,swap,2-1,2-3,2-0,-1
46,0,33,33,move2,mobilize,capture,0,move2,3-3,2-1,-1,-1
47,1,36,33,move2,mobilize,capture,2,capture,2-0,2-1,-1,-1
48,0,36,36,move2,mobilize,capture,2,capture,3-4,3-3,-1,-1
49,1,36,36,move2,mobilize,capture,0,move2,3-0,2-1,-1,-1
50,0,36,36,move1,mobilize,capture,0,move1,3-4,2-3,-1,-1
