turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,capture,swap,mobilize,-1,None,-1,-1,-1,-1
1,1,0,0,capture,swap,mobilize,2,mobilize,2-0,2-1,3-0,3-1
2,0,0,0,capture,capture,mobilize,1,capture,3-4,3-1,-1,-1
3,1,3,0,capture,move1,mobilize,1,move1,2-1,3-1,-1,-1
4,0,3,3,move2,move1,mobilize,0,move2,1-3,1-0,1-4,-1
5,1,3,3,move2,move1,swap,2,swap,1-0,2-0,3-4,3-3
6,0,3,3,capture,move1,swap,0,capture,2-4,2-3,-1,-1
7,1,6,3,capture,move1,swap,0,capture,2-1,2-3,2-0,-1
8,0,6,3,capture,mobilize,swap,1,mobilize,2-4,2-3,-1,-1
9,1,7,3,capture,capture,swap,1,capture,2-0,1-0,2-1,2-2
10,0,7,6,capture,capture,swap,0,capture,1-3,1-0,1-4,-1
11,1,11,6,move1,capture,swap,0,move1,3-3,2-3,-1,-1
12,0,11,9,move1,move2,swap,1,move2,1-3,1-0,1-4,-1
13,1,11,9,move1,capture,swap,1,capture,2-2,2-1,-1,-1
14,0,11,12,move1,move2,swap,1,move2,1-3,1-0,1-4,-1
15,1,12,12,mobilize,move2,swap,0,mobilize,2-1,2-2,-1,-1
16,0,12,12,mobilize,capture,swap,1,capture,2-4,2-3,-1,-1
17,1,16,12,mobilize,capture,swap,1,capture,3-3,2-3,-1,-1
18,0,16,15,mobilize,capture,swap,1,capture,1-3,1-0,1-4,-1
19,1,17,15,mobilize,capture,move1,2,move1,3-3,1-3,-1,-1
20,0,17,18,mobilize,move2,move1,1,move2,1-4,1-3,-1,-1
21,1,18,18,move1,move2,move1,0,move1,1-0,0-0,2-0,2-1
22,0,18,18,move1,swap,move1,1,swap,1-4,2-3,-1,-1
23,1,19,18,move1,swap,move1,1,swap,2-1,2-3,-1,-1
24,0,19,18,move1,capture,move1,1,capture,2-1,2-3,-1,-1
25,1,23,18,move1,move1,move1,1,move1,2-2,2-3,-1,-1
26,0,23,18,mobilize,move1,move1,0,mobilize,3-3,2-3,-1,-1
27,1,24,18,mobilize,move1,capture,2,capture,2-1,1-1,-1,-1
28,0,24,21,mobilize,move1,swap,2,swap,2-3,2-2,-1,-1
29,1,24,21,mobilize,swap,swap,1,swap,1-0,2-0,-1,-1
30,0,24,22,capture,swap,swap,0,capture,1-4,1-3,2-3,2-2
31,1,25,22,capture,move1,swap,1,move1,2-0,2-2,-1,-1
32,0,25,22,capture,capture,swap,1,capture,1-3,2-3,-1,-1
33,1,26,22,capture,capture,capture,2,capture,1-1,2-3,-1,-1
34,0,26,25,capture,capture,capture,0,capture,2-4,2-3,-1,-1
35,1,30,25,capture,move2,capture,1,move2,1-0,1-1,-1,-1
36,0,30,28,capture,move2,capture,0,capture,2-0,1-0,-1,-1
37,1,34,28,mobilize,move2,capture,0,mobilize,1-0,2-0,0-0,-1
38,0,34,28,mobilize,swap,capture,1,swap,1-4,2-3,-1,-1
39,1,38,28,mobilize,swap,move2,2,move2,2-2,2-3,-1,-1
40,0,38,28,mobilize,swap,swap,2,swap,1-4,2-3,-1,-1
41,1,38,28,move1,swap,swap,0,move1,2-2,2-1,1-0,1-1
42,0,38,28,capture,swap,swap,0,capture,3-4,3-3,-1,-1
43,1,38,28,capture,swap,move2,2,move2,2-1,2-4,-1,-1
44,0,38,31,capture,swap,move2,0,capture,2-1,1-1,-1,-1
45,1,41,31,capture,swap,move2,0,capture,2-4,2-3,-1,-1
46,0,41,34,move2,swap,move2,0,move2,1-4,2-4,-1,-1
47,1,41,34,move2,swap,capture,2,capture,1-0,1-1,-1,-1
48,0,41,37,move2,swap,capture,2,capture,2-1,1-1,-1,-1
49,1,44,37,move2,swap,mobilize,2,mobilize,2-0,2-1,-1,-1
50,0,44,37,move1,swap,mobilize,0,move1,1-4,2-3,-1,-1
