turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,capture,capture,-1,None,-1,-1,-1,-1
1,1,0,0,capture,capture,capture,0,capture,1-0,0-0,-1,-1
2,0,0,0,capture,capture,capture,-1,None,-1,-1,-1,-1
3,1,0,0,move1,swap,move1,-1,None,-1,-1,-1,-1
4,0,0,0,move1,swap,move2,2,move2,3-4,4-4,-1,-1
5,1,0,0,capture,swap,move2,0,capture,0-0,1-0,-1,-1
6,0,0,0,capture,swap,capture,2,capture,1-4,2-3,-1,-1
7,1,0,0,capture,capture,capture,1,capture,2-0,2-3,-1,-1
8,0,0,3,capture,capture,capture,1,capture,2-4,2-3,-1,-1
9,1,3,3,mobilize,capture,capture,0,mobilize,3-0,2-0,-1,-1
10,0,3,3,capture,capture,capture,0,capture,2-4,3-4,4-4,4-3
11,1,3,3,capture,capture,capture,-1,None,-1,-1,-1,-1
12,0,3,3,mobilize,capture,capture,-1,None,-1,-1,-1,-1
13,1,3,3,swap,capture,capture,0,swap,1-0,2-0,3-0,4-0
14,0,3,3,move2,capture,capture,0,move2,4-3,4-0,-1,-1
15,1,3,3,move2,capture,capture,0,move2,2-0,1-0,-1,-1
16,0,3,3,mobilize,capture,capture,0,mobilize,4-0,3-1,-1,-1
17,1,3,3,capture,capture,capture,0,capture,0-0,0-1,4-3,3-3
18,0,3,6,move2,capture,capture,0,move2,3-4,3-3,-1,-1
19,1,3,6,mobilize,capture,capture,0,mobilize,2-0,4-0,-1,-1
20,0,3,6,swap,capture,capture,0,swap,1-4,0-4,3-4,3-3
21,1,3,6,move1,capture,capture,0,move1,0-1,3-1,-1,-1
22,0,3,6,move1,capture,capture,0,move1,3-3,3-2,-1,-1
23,1,6,6,move1,swap,capture,1,swap,3-1,3-2,-1,-1
24,0,6,6,swap,swap,capture,0,swap,1-4,1-3,-1,-1
25,1,6,6,swap,capture,capture,1,capture,3-1,0-1,-1,-1
26,0,6,6,capture,capture,capture,0,capture,1-3,0-1,-1,-1
27,1,6,6,capture,capture,capture,-1,None,-1,-1,-1,-1
28,0,6,6,move2,move1,move2,-1,None,-1,-1,-1,-1
29,1,7,6,capture,move1,move2,0,capture,1-3,2-2,-1,-1
30,0,7,6,capture,move1,capture,2,capture,0-1,0-2,-1,-1
31,1,8,6,capture,move1,capture,1,move1,1-0,0-0,-1,-1
32,0,8,6,capture,mobilize,capture,1,mobilize,0-2,0-3,-1,-1
33,1,8,6,capture,capture,capture,1,capture,0-0,1-0,2-2,2-3
34,0,8,6,capture,capture,capture,-1,None,-1,-1,-1,-1
35,1,8,6,capture,move1,capture,-1,None,-1,-1,-1,-1
36,0,8,6,capture,swap,capture,1,swap,3-1,3-0,-1,-1
37,1,11,6,capture,swap,capture,2,capture,4-0,3-0,-1,-1
38,0,11,6,capture,move1,capture,1,move1,1-4,2-3,-1,-1
39,1,14,6,capture,move1,mobilize,2,mobilize,1-4,0-4,-1,-1
40,0,14,6,capture,swap,mobilize,1,swap,0-3,0-4,-1,-1
41,1,17,6,mobilize,swap,mobilize,0,mobilize,1-4,0-4,-1,-1
42,0,17,6,mobilize,swap,move2,2,move2,3-4,3-3,2-3,1-3
43,1,17,6,mobilize,swap,move1,2,move1,1-4,0-3,-1,-1
44,0,17,6,move2,swap,move1,0,move2,2-4,3-4,1-3,1-4
45,1,17,6,move2,capture,move1,1,capture,0-3,3-3,-1,-1
46,0,17,6,capture,capture,move1,0,capture,3-4,2-4,-1,-1
47,1,17,6,capture,capture,mobilize,2,mobilize,4-0,4-1,-1,-1
48,0,17,6,capture,capture,capture,2,capture,0-3,0-2,1-4,0-4
49,1,17,6,capture,capture,capture,-1,None,-1,-1,-1,-1
50,0,17,6,swap,swap,capture,-1,None,-1,-1,-1,-1
