turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,capture,mobilize,-1,None,-1,-1,-1,-1
1,1,0,0,capture,capture,mobilize,0,capture,2-0,2-1,-1,-1
2,0,0,0,capture,capture,move2,2,move2,1-4,1-3,2-4,2-3
3,1,0,0,capture,capture,move1,2,move1,2-1,1-1,-1,-1
4,0,0,1,capture,capture,move2,2,move2,2-3,2-2,-1,-1
5,1,0,1,capture,capture,capture,2,capture,3-0,4-1,-1,-1
6,0,0,1,capture,capture,capture,-1,None,-1,-1,-1,-1
7,1,3,1,capture,capture,capture,2,capture,1-1,1-3,1-0,-1
8,0,3,1,capture,capture,capture,-1,None,-1,-1,-1,-1
9,1,6,1,capture,capture,capture,2,capture,1-1,1-4,1-0,-1
10,0,6,1,capture,capture,capture,-1,None,-1,-1,-1,-1
11,1,9,1,capture,capture,capture,1,capture,1-1,1-4,1-0,-1
12,0,9,1,capture,capture,capture,-1,None,-1,-1,-1,-1
13,1,12,1,capture,capture,swap,2,swap,1-1,1-4,1-0,-1
14,0,12,2,capture,capture,move1,2,move1,1-4,1-1,-1,-1
15,1,15,2,move1,capture,move1,0,move1,1-0,1-1,-1,-1
16,0,15,6,move1,capture,move1,1,capture,2-4,1-4,-1,-1
17,1,15,6,move1,capture,move2,2,move2,4-1,4-0,-1,-1
18,0,15,7,move1,capture,mobilize,2,mobilize,3-4,2-3,-1,-1
19,1,15,7,capture,capture,mobilize,0,capture,2-0,3-0,-1,-1
20,0,15,8,capture,capture,mobilize,2,mobilize,2-4,1-4,2-3,1-3
21,1,15,8,capture,capture,swap,2,swap,1-0,0-0,4-0,4-1
22,0,15,8,capture,capture,capture,2,capture,2-2,3-0,-1,-1
23,1,15,8,capture,capture,capture,-1,None,-1,-1,-1,-1
24,0,15,8,capture,move2,move1,-1,None,-1,-1,-1,-1
25,1,16,8,capture,capture,move1,1,capture,0-0,1-1,-1,-1
26,0,16,11,swap,capture,move1,0,swap,1-3,1-1,1-4,-1
27,1,17,11,mobilize,capture,move1,0,mobilize,1-0,3-0,-1,-1
28,0,17,11,swap,capture,move1,0,swap,1-4,0-4,1-3,1-2
29,1,18,11,swap,capture,move2,2,move2,3-0,2-0,-1,-1
30,0,18,14,swap,mobilize,move2,1,mobilize,1-0,2-0,-1,-1
31,1,19,14,swap,mobilize,move1,2,move1,4-1,3-1,-1,-1
32,0,19,15,capture,mobilize,move1,0,capture,1-0,2-2,-1,-1
33,1,19,15,capture,swap,move1,1,swap,2-0,2-1,1-0,0-0
34,0,19,19,move2,swap,move1,0,move2,2-2,2-1,-1,-1
35,1,20,19,move2,swap,move1,1,swap,1-0,2-2,-1,-1
36,0,20,20,move2,capture,move1,1,capture,1-0,2-2,-1,-1
37,1,20,20,move1,capture,move1,0,move1,1-0,0-1,-1,-1
38,0,20,21,move2,capture,move1,0,move2,0-4,1-4,-1,-1
39,1,20,21,move2,capture,mobilize,2,mobilize,3-1,3-0,-1,-1
40,0,20,22,capture,capture,mobilize,0,capture,1-4,2-3,-1,-1
41,1,20,22,capture,capture,capture,2,capture,0-0,1-0,3-0,4-0
42,0,20,22,capture,capture,capture,-1,None,-1,-1,-1,-1
43,1,20,22,move1,move1,capture,-1,None,-1,-1,-1,-1
44,0,20,23,mobilize,move1,capture,0,mobilize,2-3,1-3,-1,-1
45,1,20,23,mobilize,move1,capture,1,move1,0-1,0-0,-1,-1
46,0,20,27,mobilize,move1,mobilize,2,mobilize,1-2,1-0,1-3,-1
47,1,20,27,mobilize,swap,mobilize,1,swap,1-0,2-0,-1,-1
48,0,20,28,mobilize,capture,mobilize,1,capture,1-2,2-0,-1,-1
49,1,23,28,mobilize,capture,mobilize,1,capture,1-2,2-2,-1,-1
50,0,23,31,mobilize,capture,mobilize,1,capture,1-3,1-2,-1,-1
