turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,capture,capture,-1,None,-1,-1,-1,-1
1,1,0,0,capture,capture,capture,0,capture,1-0,0-0,-1,-1
2,0,0,0,capture,capture,capture,-1,None,-1,-1,-1,-1
3,1,0,0,move1,swap,move1,-1,None,-1,-1,-1,-1
4,0,0,0,move1,swap,move2,2,move2,3-4,3-3,-1,-1
5,1,0,0,move1,swap,capture,2,capture,0-0,0-2,-1,-1
6,0,0,0,capture,swap,capture,0,capture,2-4,3-4,-1,-1
7,1,0,0,capture,capture,capture,1,capture,0-2,1-4,-1,-1
8,0,0,3,capture,capture,capture,2,capture,3-3,3-0,3-4,-1
9,1,0,3,capture,capture,capture,-1,None,-1,-1,-1,-1
10,0,0,3,mobilize,capture,mobilize,-1,None,-1,-1,-1,-1
11,1,0,3,mobilize,capture,capture,2,capture,1-4,0-4,1-0,0-0
12,0,0,3,capture,capture,capture,0,capture,0-2,1-2,3-3,3-2
13,1,0,3,capture,capture,capture,-1,None,-1,-1,-1,-1
14,0,0,3,swap,move2,move2,-1,None,-1,-1,-1,-1
15,1,0,3,swap,move2,mobilize,2,mobilize,2-0,1-1,-1,-1
16,0,0,4,swap,move2,capture,2,capture,1-2,2-2,3-2,4-2
17,1,0,4,swap,move2,capture,1,move2,0-4,0-2,-1,-1
18,0,0,4,swap,mobilize,capture,1,mobilize,2-2,3-1,-1,-1
19,1,0,4,swap,swap,capture,1,swap,0-2,0-1,1-1,1-2
20,0,0,4,move1,swap,capture,0,move1,3-1,1-2,-1,-1
21,1,0,4,move1,swap,capture,0,move1,0-1,1-1,-1,-1
22,0,0,4,swap,swap,capture,0,swap,1-2,0-2,-1,-1
23,1,0,4,swap,swap,capture,0,swap,1-1,0-2,-1,-1
24,0,0,4,swap,capture,capture,1,capture,1-1,0-2,-1,-1
25,1,0,4,capture,capture,capture,0,capture,0-0,0-2,-1,-1
26,0,0,4,capture,capture,capture,-1,None,-1,-1,-1,-1
27,1,0,4,move2,move1,move1,-1,None,-1,-1,-1,-1
28,0,0,5,capture,move1,move1,0,capture,4-2,2-2,-1,-1
29,1,0,5,capture,move1,move1,2,move1,3-1,2-1,-1,-1
30,0,0,6,capture,swap,move1,1,swap,3-4,4-4,-1,-1
31,1,0,6,capture,swap,capture,2,capture,0-2,1-2,-1,-1
32,0,0,10,capture,swap,capture,0,capture,2-2,1-2,-1,-1
33,1,0,10,capture,capture,capture,1,capture,2-1,0-0,-1,-1
34,0,0,14,capture,capture,move1,2,move1,2-1,1-1,-1,-1
35,1,3,14,capture,capture,move1,0,capture,2-0,2-1,-1,-1
36,0,3,15,capture,capture,capture,2,capture,1-4,0-4,-1,-1
37,1,3,15,capture,capture,capture,-1,None,-1,-1,-1,-1
38,0,3,15,move2,move1,mobilize,-1,None,-1,-1,-1,-1
39,1,3,15,swap,move1,mobilize,0,swap,0-0,1-1,-1,-1
40,0,3,16,swap,mobilize,mobilize,1,mobilize,4-4,3-4,-1,-1
41,1,3,16,swap,mobilize,move2,2,move2,2-0,3-0,1-1,0-1
42,0,3,17,swap,mobilize,move2,2,move2,0-4,1-3,-1,-1
43,1,3,17,swap,mobilize,capture,2,capture,3-0,4-1,-1,-1
44,0,3,17,swap,mobilize,capture,1,mobilize,3-4,2-4,2-2,2-1
45,1,3,17,swap,mobilize,capture,1,mobilize,4-1,3-1,0-1,0-0
46,0,3,18,swap,capture,capture,1,capture,1-3,2-3,2-1,2-2
47,1,4,18,capture,capture,capture,0,capture,3-1,2-2,-1,-1
48,0,4,21,swap,capture,capture,0,swap,2-3,2-2,-1,-1
49,1,4,21,swap,capture,capture,0,swap,2-0,2-3,-1,-1
50,0,4,24,swap,capture,capture,2,capture,2-0,1-0,-1,-1
