turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,mobilize,swap,move2,-1,None,-1,-1,-1,-1
1,1,0,0,mobilize,swap,move2,2,move2,1-0,2-1,-1,-1
2,0,0,0,mobilize,swap,mobilize,2,mobilize,3-4,3-3,-1,-1
3,1,1,0,move1,swap,mobilize,0,move1,2-1,2-2,3-0,3-1
4,0,1,1,move1,move1,mobilize,1,move1,3-3,2-2,-1,-1
5,1,1,1,move1,move1,swap,2,swap,3-3,3-2,2-0,3-0
6,0,1,2,mobilize,move1,swap,0,mobilize,1-4,1-3,-1,-1
7,1,2,2,mobilize,move1,move2,2,move2,3-0,2-2,-1,-1
8,0,2,2,mobilize,move1,move2,1,move1,2-4,1-4,-1,-1
9,1,3,2,mobilize,move2,move2,1,move2,3-1,2-1,-1,-1
10,0,3,2,mobilize,move2,move2,1,move2,3-0,4-0,-1,-1
11,1,4,2,mobilize,move1,move2,1,move1,3-2,2-3,-1,-1
12,0,4,2,move1,move1,move2,0,move1,1-4,0-4,4-0,4-1
13,1,5,2,move1,move1,mobilize,2,mobilize,2-3,3-2,-1,-1
14,0,5,2,move1,move1,mobilize,1,move1,4-1,3-1,-1,-1
15,1,6,2,move2,move1,mobilize,0,move2,2-1,1-1,-1,-1
16,0,6,2,move2,mobilize,mobilize,1,mobilize,1-3,1-2,-1,-1
17,1,7,2,move2,mobilize,mobilize,0,move2,1-1,2-1,-1,-1
18,0,7,2,move2,mobilize,mobilize,0,move2,1-2,1-1,-1,-1
19,1,8,2,move1,mobilize,mobilize,0,move1,3-2,2-3,-1,-1
20,0,8,2,move1,move1,mobilize,1,move1,1-1,1-0,0-4,0-3
21,1,9,2,move1,move1,move1,2,move1,2-3,1-3,2-1,1-1
22,0,9,2,move1,move1,capture,2,capture,3-1,2-1,-1,-1
23,1,13,2,move1,move1,capture,2,capture,2-2,2-1,-1,-1
24,0,13,5,move1,move1,mobilize,2,mobilize,0-3,1-3,-1,-1
25,1,13,5,move1,move1,move1,2,move1,2-0,2-1,2-2,1-2
26,0,13,5,move1,mobilize,move1,1,mobilize,1-0,0-0,-1,-1
27,1,14,5,move2,mobilize,move1,0,move2,2-1,2-2,-1,-1
28,0,14,5,move2,move2,move1,1,move2,0-3,0-4,1-4,1-3
29,1,15,5,move2,move2,capture,2,capture,1-1,2-1,-1,-1
30,0,15,8,move2,move2,mobilize,2,mobilize,1-3,1-2,-1,-1
31,1,16,8,move1,move2,mobilize,0,move1,1-0,1-2,-1,-1
32,0,16,8,move1,mobilize,mobilize,1,mobilize,0-4,0-3,-1,-1
33,1,17,8,mobilize,mobilize,mobilize,0,mobilize,1-2,1-1,-1,-1
34,0,17,8,mobilize,move2,mobilize,1,move2,0-3,0-2,1-3,1-2
35,1,18,8,mobilize,move1,mobilize,1,move1,2-1,3-2,-1,-1
36,0,18,8,swap,move1,mobilize,0,swap,0-0,1-0,0-2,0-1
37,1,19,8,move1,move1,mobilize,0,move1,3-2,1-2,-1,-1
38,0,19,8,move1,move2,mobilize,1,move2,3-2,4-2,-1,-1
39,1,20,8,move1,move2,mobilize,0,move1,1-1,2-1,-1,-1
40,0,20,8,move1,move2,capture,2,capture,0-1,1-1,4-2,4-1
41,1,24,8,move1,move2,move1,2,move1,2-1,1-1,-1,-1
42,0,24,8,move1,move2,move1,1,move2,4-1,4-3,-1,-1
43,1,25,8,move1,move2,move1,0,move1,2-1,1-1,-1,-1
44,0,25,8,move1,move1,move1,1,move1,1-4,2-4,-1,-1
45,1,26,8,swap,move1,move1,0,swap,1-1,2-1,-1,-1
46,0,26,9,move2,move1,move1,0,move2,4-3,2-2,-1,-1
47,1,26,9,mobilize,move1,move1,0,mobilize,4-3,2-3,-1,-1
48,0,26,10,move2,move1,move1,0,move2,1-0,1-1,2-4,3-4
49,1,26,10,mobilize,move1,move1,0,mobilize,2-3,1-3,-1,-1
50,0,26,11,mobilize,move1,move1,1,move1,3-4,3-3,-1,-1
