turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,move2,move2,-1,None,-1,-1,-1,-1
1,1,0,0,move1,move2,move2,1,move2,1-0,2-1,-1,-1
2,0,0,0,move1,move1,move2,1,move1,1-4,0-3,-1,-1
3,1,0,0,move1,move1,move2,0,move1,3-0,3-1,-1,-1
4,0,0,0,move1,move1,move2,0,move1,2-4,1-4,-1,-1
5,1,1,0,move1,move1,mobilize,2,mobilize,3-1,2-2,-1,-1
6,0,1,0,move1,mobilize,mobilize,1,mobilize,3-4,2-4,-1,-1
7,1,2,0,mobilize,mobilize,mobilize,0,mobilize,2-1,3-1,-1,-1
8,0,2,0,mobilize,mobilize,mobilize,0,mobilize,0-3,0-4,2-4,3-4
9,1,3,0,capture,mobilize,mobilize,0,capture,3-1,3-2,2-0,2-1
10,0,3,0,capture,mobilize,move1,2,move1,1-4,1-3,3-4,3-3
11,1,7,0,move1,mobilize,move1,0,move1,3-2,3-3,-1,-1
12,0,7,0,move1,mobilize,mobilize,2,mobilize,1-3,2-3,-1,-1
13,1,8,0,move1,mobilize,mobilize,0,move1,3-2,3-1,-1,-1
14,0,8,0,move1,mobilize,move2,2,move2,0-4,0-3,2-3,2-4
15,1,9,0,mobilize,mobilize,move2,0,mobilize,3-1,3-2,-1,-1
16,0,9,0,mobilize,mobilize,move1,2,move1,1-4,1-2,-1,-1
17,1,10,0,mobilize,mobilize,swap,2,swap,3-2,3-1,-1,-1
18,0,10,0,move2,mobilize,swap,0,move2,2-4,3-4,1-2,0-2
19,1,11,0,move2,mobilize,swap,0,move2,3-1,3-2,-1,-1
20,0,11,0,move1,mobilize,swap,0,move1,0-2,0-0,-1,-1
21,1,12,0,move1,mobilize,swap,0,move1,3-2,3-1,-1,-1
22,0,12,0,move2,mobilize,swap,0,move2,0-0,0-1,-1,-1
23,1,12,0,move2,mobilize,capture,2,capture,2-2,0-3,-1,-1
24,0,12,0,move2,move2,capture,1,move2,2-2,2-3,0-1,0-2
25,1,15,0,move2,move2,swap,2,swap,0-3,0-2,-1,-1
26,0,15,0,move2,move2,swap,0,move2,2-3,2-4,-1,-1
27,1,15,0,move2,move2,capture,2,capture,0-3,2-4,-1,-1
28,0,15,0,move2,move1,capture,1,move1,3-4,2-3,-1,-1
29,1,18,0,move2,move1,move1,2,move1,2-4,2-3,-1,-1
30,0,18,0,mobilize,move1,move1,0,mobilize,1-4,1-2,-1,-1
31,1,19,0,move1,move1,move1,0,move1,2-1,2-2,2-4,2-3
32,0,19,0,move1,move1,mobilize,2,mobilize,0-3,0-4,-1,-1
33,1,20,0,move1,move1,mobilize,2,mobilize,3-1,3-2,2-3,3-3
34,0,20,0,move1,move1,move2,2,move2,3-4,2-4,1-2,1-1
35,1,21,0,move1,move1,move2,0,move1,3-3,2-3,-1,-1
36,0,21,0,move2,move1,move2,0,move2,0-4,0-3,-1,-1
37,1,22,0,swap,move1,move2,0,swap,3-2,2-1,-1,-1
38,0,22,0,swap,move1,move2,2,move2,1-1,1-0,-1,-1
39,1,23,0,swap,move1,move1,2,move1,2-1,1-2,-1,-1
40,0,23,0,swap,move2,move1,1,move2,0-3,0-2,-1,-1
41,1,24,0,swap,mobilize,move1,1,mobilize,1-2,2-1,-1,-1
42,0,24,0,swap,move1,move1,1,move1,0-2,0-1,1-0,1-1
43,1,25,0,move1,move1,move1,0,move1,2-3,1-1,-1,-1
44,0,25,0,move2,move1,move1,0,move2,2-4,3-4,-1,-1
45,1,26,0,move2,mobilize,move1,1,mobilize,1-1,1-2,-1,-1
46,0,26,0,move2,move1,move1,1,move1,0-1,0-0,3-4,4-4
47,1,27,0,move2,move1,move1,1,move1,1-2,1-1,-1,-1
48,0,27,0,move2,move1,move1,0,move2,0-0,1-0,-1,-1
49,1,28,0,capture,move1,move1,0,capture,1-1,1-2,-1,-1
50,0,28,3,mobilize,move1,move1,0,mobilize,2-3,2-2,-1,-1
