turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,move2,move2,-1,None,-1,-1,-1,-1
1,1,0,0,move1,move2,move2,1,move2,1-0,2-1,-1,-1
2,0,0,0,move1,move1,move2,1,move1,1-4,2-3,-1,-1
3,1,0,0,move1,move1,move2,0,move1,3-0,3-1,-1,-1
4,0,0,0,move1,move1,move2,0,move1,3-4,3-3,-1,-1
5,1,1,0,move1,move1,mobilize,2,mobilize,3-1,2-2,-1,-1
6,0,1,0,mobilize,move1,mobilize,0,mobilize,3-3,3-4,-1,-1
7,1,2,0,mobilize,mobilize,mobilize,1,mobilize,2-0,1-0,-1,-1
8,0,2,0,mobilize,mobilize,mobilize,0,mobilize,2-3,1-3,3-4,3-3
9,1,3,0,capture,mobilize,mobilize,0,capture,2-1,3-1,1-0,1-1
10,0,3,0,capture,move1,mobilize,1,move1,2-4,1-4,3-3,2-3
11,1,7,0,move1,move1,mobilize,0,move1,2-2,2-3,-1,-1
12,0,7,0,mobilize,move1,mobilize,0,mobilize,2-4,2-3,-1,-1
13,1,8,0,mobilize,move1,mobilize,1,move1,1-1,2-1,-1,-1
14,0,8,0,mobilize,move2,mobilize,1,move2,1-4,2-4,-1,-1
15,1,9,0,mobilize,mobilize,mobilize,1,mobilize,3-1,2-0,-1,-1
16,0,9,0,move1,mobilize,mobilize,0,move1,2-4,1-4,2-3,3-3
17,1,10,0,swap,mobilize,mobilize,0,swap,2-1,3-1,-1,-1
18,0,10,0,swap,move2,mobilize,1,move2,1-4,2-4,3-3,2-3
19,1,11,0,move2,move2,mobilize,0,move2,2-0,2-3,-1,-1
20,0,11,0,move1,move2,mobilize,0,move1,2-0,1-1,-1,-1
21,1,12,0,move1,move2,mobilize,0,move1,3-1,2-1,-1,-1
22,0,12,0,move1,move2,move2,2,move2,2-4,1-4,1-1,1-2
23,1,13,0,move1,capture,move2,1,capture,2-1,3-2,-1,-1
24,0,13,3,move1,move2,move2,1,move2,1-2,2-2,-1,-1
25,1,13,3,move1,swap,move2,1,swap,1-0,2-1,-1,-1
26,0,13,3,move1,move2,move2,1,move2,1-4,2-3,-1,-1
27,1,14,3,move2,move2,move2,0,move2,3-2,2-2,-1,-1
28,0,14,3,move1,move2,move2,0,move1,2-3,3-2,-1,-1
29,1,15,3,move1,move1,move2,1,move1,1-4,2-3,-1,-1
30,0,15,3,move1,move1,capture,2,capture,1-3,0-2,-1,-1
31,1,19,3,move1,move1,move1,2,move1,2-2,1-2,-1,-1
32,0,19,3,mobilize,move1,move1,0,mobilize,0-2,1-2,-1,-1
33,1,20,3,mobilize,move1,move1,0,mobilize,2-3,1-3,2-1,1-1
34,0,20,3,swap,move1,move1,0,swap,3-2,3-3,1-4,2-4
35,1,20,3,mobilize,move1,move1,0,mobilize,2-2,1-2,-1,-1
36,0,20,4,move2,move1,move1,0,move2,3-3,3-2,2-4,2-3
37,1,20,4,move2,move1,move1,0,move2,1-3,0-2,-1,-1
38,0,20,5,move2,swap,move1,1,swap,2-3,3-3,-1,-1
39,1,20,5,move2,move1,move1,1,move1,1-1,3-2,-1,-1
40,0,20,6,move2,move1,move1,0,move2,1-1,3-1,-1,-1
41,1,20,6,mobilize,move1,move1,0,mobilize,0-2,1-1,-1,-1
42,0,20,7,move1,move1,move1,0,move1,3-1,2-1,3-3,2-3
43,1,20,7,move2,move1,move1,0,move2,3-2,3-1,-1,-1
44,0,20,8,mobilize,move1,move1,0,mobilize,2-3,3-2,-1,-1
45,1,20,8,mobilize,mobilize,move1,1,mobilize,1-2,1-3,-1,-1
46,0,20,8,move1,mobilize,move1,0,move1,2-2,2-3,3-2,3-3
47,1,20,8,move1,move1,move1,1,move1,1-3,1-2,3-1,3-2
48,0,20,9,move2,move1,move1,0,move2,2-1,2-2,-1,-1
49,1,20,9,capture,move1,move1,0,capture,3-2,2-1,-1,-1
50,0,20,13,move1,move1,move1,0,move1,2-2,1-2,-1,-1
