turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,mobilize,swap,move2,-1,None,-1,-1,-1,-1
1,1,0,0,mobilize,swap,move2,2,move2,1-0,2-1,-1,-1
2,0,0,0,mobilize,swap,move2,0,mobilize,2-4,2-3,3-4,4-4
3,1,1,0,move1,swap,move2,0,move1,2-1,2-2,3-0,3-1
4,0,1,0,move1,swap,move1,2,move1,2-3,2-4,-1,-1
5,1,2,0,swap,swap,move1,0,swap,3-1,2-1,-1,-1
6,0,2,0,swap,swap,mobilize,2,mobilize,2-4,2-3,-1,-1
7,1,3,0,move2,swap,mobilize,0,move2,2-0,2-3,-1,-1
8,0,3,0,move1,swap,mobilize,0,move1,2-0,1-1,-1,-1
9,1,3,0,move1,move2,mobilize,1,move2,2-2,1-1,-1,-1
10,0,3,1,move1,move2,mobilize,1,move2,4-4,3-3,-1,-1
11,1,3,1,move1,move1,mobilize,1,move1,2-3,1-2,-1,-1
12,0,3,1,move1,move1,move1,2,move1,2-2,2-3,3-3,4-3
13,1,4,1,mobilize,move1,move1,0,mobilize,1-2,2-2,-1,-1
14,0,4,1,mobilize,move1,move1,1,move1,4-3,4-2,-1,-1
15,1,5,1,mobilize,move2,move1,1,move2,1-1,1-2,-1,-1
16,0,5,1,mobilize,mobilize,move1,1,mobilize,4-2,4-0,-1,-1
17,1,6,1,mobilize,mobilize,move2,2,move2,1-2,1-1,-1,-1
18,0,6,1,mobilize,move2,move2,1,move2,2-3,3-3,4-0,3-0
19,1,7,1,mobilize,move1,move2,1,move1,1-1,1-2,-1,-1
20,0,7,1,move1,move1,move2,0,move1,1-4,2-4,3-3,3-2
21,1,8,1,move1,move1,move1,2,move1,1-2,2-3,-1,-1
22,0,8,1,move1,move1,capture,2,capture,3-2,3-3,-1,-1
23,1,12,1,move1,move1,capture,2,capture,2-3,2-4,-1,-1
24,0,12,1,mobilize,move1,capture,0,mobilize,1-4,1-3,-1,-1
25,1,16,1,mobilize,move1,move1,2,move1,2-3,1-3,-1,-1
26,0,16,1,mobilize,move1,move1,1,move1,3-3,3-2,-1,-1
27,1,17,1,move2,move1,move1,0,move2,2-3,1-3,2-1,1-1
28,0,17,1,mobilize,move1,move1,0,mobilize,3-0,2-1,-1,-1
29,1,18,1,capture,move1,move1,0,capture,1-3,2-3,1-1,1-2
30,0,18,1,capture,move1,mobilize,2,mobilize,2-1,2-0,-1,-1
31,1,22,1,move1,move1,mobilize,0,move1,2-2,3-2,-1,-1
32,0,22,1,move1,mobilize,mobilize,1,mobilize,1-4,0-4,-1,-1
33,1,23,1,mobilize,mobilize,mobilize,0,mobilize,1-2,1-3,-1,-1
34,0,23,1,move2,mobilize,mobilize,0,move2,2-4,3-4,2-0,2-1
35,1,24,1,move1,mobilize,mobilize,0,move1,1-3,2-4,-1,-1
36,0,24,1,move1,mobilize,move2,2,move2,0-4,1-4,2-1,2-0
37,1,24,1,move1,mobilize,swap,2,swap,2-2,1-3,-1,-1
38,0,24,1,move1,mobilize,move2,2,move2,1-4,2-3,-1,-1
39,1,24,1,move1,mobilize,move2,2,move2,1-3,0-4,-1,-1
40,0,24,1,move1,mobilize,move1,2,move1,2-3,4-3,-1,-1
41,1,24,1,move1,move2,move1,1,move2,1-4,1-3,0-4,0-3
42,0,24,1,move1,move2,move1,2,move1,3-4,4-4,-1,-1
43,1,24,1,move1,move2,move1,0,move1,2-4,2-3,-1,-1
44,0,24,1,move1,move1,move1,1,move1,4-4,3-3,-1,-1
45,1,25,1,swap,move1,move1,0,swap,2-3,2-2,-1,-1
46,0,25,1,swap,move1,move1,2,move1,2-0,1-0,-1,-1
47,1,25,1,capture,move1,move1,0,capture,2-2,3-3,-1,-1
48,0,25,1,capture,mobilize,move1,1,mobilize,2-2,2-3,-1,-1
49,1,28,1,move2,mobilize,move1,0,move2,1-3,2-3,-1,-1
50,0,28,1,move1,mobilize,move1,0,move1,1-0,2-1,-1,-1
