turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,move2,move2,-1,None,-1,-1,-1,-1
1,1,1,0,move1,move2,move2,1,move2,2-0,2-2,-1,-1
2,0,1,0,move1,move2,move1,2,move1,3-4,2-3,-1,-1
3,1,2,0,move1,move1,move1,1,move1,1-0,2-1,-1,-1
4,0,2,0,move1,move1,move1,1,move1,1-4,0-4,-1,-1
5,1,3,0,mobilize,move1,move1,0,mobilize,3-0,2-0,-1,-1
6,0,3,0,mobilize,mobilize,move1,1,mobilize,2-3,1-3,-1,-1
7,1,4,0,mobilize,mobilize,mobilize,2,mobilize,2-1,1-1,-1,-1
8,0,4,0,mobilize,mobilize,mobilize,0,mobilize,2-4,1-4,1-3,2-3
9,1,5,0,capture,mobilize,mobilize,0,capture,1-1,1-2,2-0,2-1
10,0,5,3,move1,mobilize,mobilize,0,move1,2-3,2-2,-1,-1
11,1,6,3,move1,move1,mobilize,1,move1,1-2,2-2,1-0,2-0
12,0,6,3,move1,move1,mobilize,2,mobilize,1-4,1-3,2-3,2-4
13,1,7,3,move1,move1,mobilize,0,move1,2-0,1-0,-1,-1
14,0,7,3,move1,move1,move2,2,move2,0-4,0-3,2-4,3-4
15,1,8,3,mobilize,move1,move2,0,mobilize,1-0,2-0,-1,-1
16,0,8,3,mobilize,move1,move1,2,move1,0-3,0-2,-1,-1
17,1,9,3,swap,move1,move1,0,swap,2-0,1-0,2-1,1-1
18,0,9,4,move2,move1,move1,0,move2,1-3,2-2,-1,-1
19,1,9,4,move2,move1,move1,0,move2,1-3,1-2,-1,-1
20,0,9,5,move1,move1,move1,0,move1,3-4,3-2,-1,-1
21,1,9,5,move1,move1,move1,0,move1,1-0,0-0,-1,-1
22,0,9,6,move2,move1,move1,0,move2,3-2,3-3,-1,-1
23,1,9,6,capture,move1,move1,0,capture,1-2,2-3,-1,-1
24,0,9,10,move2,move1,move1,0,move2,2-2,2-3,-1,-1
25,1,9,10,swap,move1,move1,0,swap,1-0,2-1,-1,-1
26,0,9,11,move1,move1,move1,0,move1,3-3,2-1,-1,-1
27,1,9,11,move2,move1,move1,0,move2,3-3,3-2,-1,-1
28,0,9,12,move1,move1,move1,0,move1,0-2,1-2,-1,-1
29,1,9,12,move1,move1,move1,0,move1,0-0,0-1,-1,-1
30,0,9,13,move1,move1,capture,2,capture,1-2,1-3,-1,-1
31,1,12,13,move1,move1,move2,2,move2,1-1,2-1,-1,-1
32,0,12,14,move1,move1,capture,2,capture,1-3,0-2,-1,-1
33,1,15,14,move1,move1,mobilize,2,mobilize,0-1,0-2,-1,-1
34,0,15,15,move1,move1,swap,2,swap,2-4,2-3,1-4,0-4
35,1,16,15,move1,move1,move1,2,move1,0-1,2-2,-1,-1
36,0,16,15,move2,move1,move1,0,move2,2-3,3-3,-1,-1
37,1,17,15,move2,move1,move1,0,move2,3-2,2-1,-1,-1
38,0,17,15,move2,move1,move1,0,move2,0-1,1-2,-1,-1
39,1,18,15,move1,move1,move1,0,move1,1-1,2-0,-1,-1
40,0,18,15,move1,move1,move2,2,move2,0-4,0-3,-1,-1
41,1,19,15,move1,move1,mobilize,2,mobilize,2-0,1-1,-1,-1
42,0,19,15,move1,move1,mobilize,2,mobilize,1-2,0-2,0-3,1-3
43,1,20,15,move1,move1,mobilize,0,move1,1-1,1-2,-1,-1
44,0,20,15,move2,move1,mobilize,0,move2,1-3,0-3,-1,-1
45,1,21,15,swap,move1,mobilize,0,swap,2-1,3-2,-1,-1
46,0,21,16,move1,move1,mobilize,0,move1,3-3,2-2,-1,-1
47,1,21,16,move1,move1,mobilize,0,move1,3-2,3-1,-1,-1
48,0,21,17,move2,move1,mobilize,0,move2,0-3,1-3,-1,-1
49,1,21,17,mobilize,move1,mobilize,0,mobilize,3-1,3-0,-1,-1
50,0,21,17,mobilize,move1,mobilize,0,mobilize,2-2,2-3,0-2,0-3
