turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,swap,capture,-1,None,-1,-1,-1,-1
1,1,0,0,capture,swap,capture,0,capture,2-0,2-1,-1,-1
2,0,0,0,capture,move1,capture,1,move1,2-4,2-1,-1,-1
3,1,3,0,swap,move1,capture,0,swap,2-4,1-4,-1,-1
4,0,3,3,swap,move1,move1,2,move1,1-4,2-4,-1,-1
5,1,3,3,move2,move1,move1,0,move2,1-0,2-1,-1,-1
6,0,3,3,move2,move1,mobilize,2,mobilize,1-0,1-1,-1,-1
7,1,3,3,capture,move1,mobilize,0,capture,3-0,3-1,-1,-1
8,0,3,6,swap,move1,mobilize,0,swap,1-1,2-1,-1,-1
9,1,3,6,swap,move1,mobilize,0,swap,3-1,1-1,-1,-1
10,0,3,6,mobilize,move1,mobilize,0,mobilize,3-1,1-0,-1,-1
11,1,3,6,capture,move1,mobilize,0,capture,2-0,3-0,1-1,2-1
12,0,3,6,capture,move1,move2,2,move2,1-4,2-4,1-0,0-0
13,1,4,6,capture,mobilize,move2,1,mobilize,2-1,2-2,-1,-1
14,0,4,6,capture,mobilize,swap,2,swap,2-4,1-4,-1,-1
15,1,8,6,swap,mobilize,swap,0,swap,3-1,3-4,3-0,-1
16,0,8,7,move2,mobilize,swap,0,move2,2-4,2-2,-1,-1
17,1,8,7,move2,mobilize,swap,0,move2,2-4,3-3,-1,-1
18,0,8,8,move2,mobilize,swap,0,move2,0-0,0-2,-1,-1
19,1,8,8,swap,mobilize,swap,0,swap,3-3,3-2,-1,-1
20,0,8,9,swap,move1,swap,1,move1,1-4,1-3,0-2,0-1
21,1,9,9,mobilize,move1,swap,0,mobilize,3-0,2-2,-1,-1
22,0,9,10,mobilize,move1,swap,2,swap,0-1,2-2,-1,-1
23,1,9,10,mobilize,move1,swap,1,move1,0-1,1-1,-1,-1
24,0,9,11,mobilize,move1,move1,2,move1,3-0,3-2,-1,-1
25,1,9,11,swap,move1,move1,0,swap,3-1,2-1,3-0,2-0
26,0,9,12,swap,move1,move1,1,move1,1-3,1-4,-1,-1
27,1,9,12,swap,swap,move1,1,swap,2-0,1-0,-1,-1
28,0,9,13,swap,swap,move1,1,swap,1-4,1-1,-1,-1
29,1,9,13,swap,swap,move1,0,swap,1-4,1-1,-1,-1
30,0,9,14,swap,swap,move1,1,swap,3-2,2-1,-1,-1
31,1,9,14,move2,swap,move1,0,move2,1-0,2-1,-1,-1
32,0,9,15,move2,capture,move1,1,capture,1-0,2-1,-1,-1
33,1,12,15,move2,mobilize,move1,1,mobilize,1-1,1-4,1-0,-1
34,0,12,16,move1,mobilize,move1,0,move1,1-4,1-2,-1,-1
35,1,12,16,capture,mobilize,move1,0,capture,3-2,3-1,-1,-1
36,0,12,20,mobilize,mobilize,move1,0,mobilize,2-1,1-1,-1,-1
37,1,12,20,swap,mobilize,move1,0,swap,2-0,3-0,1-0,1-1
38,0,12,21,swap,mobilize,swap,2,swap,2-1,2-0,-1,-1
39,1,12,21,capture,mobilize,swap,0,capture,3-0,2-0,-1,-1
40,0,12,25,swap,mobilize,swap,0,swap,1-2,1-1,-1,-1
41,1,12,25,swap,mobilize,swap,1,mobilize,3-1,2-1,1-0,1-1
42,0,12,26,swap,mobilize,move1,2,move1,1-2,1-1,-1,-1
43,1,12,26,move2,mobilize,move1,0,move2,1-2,1-1,-1,-1
44,0,12,27,capture,mobilize,move1,0,capture,1-2,1-3,-1,-1
45,1,15,27,swap,mobilize,move1,0,swap,2-1,2-2,-1,-1
46,0,15,27,move2,mobilize,move1,0,move2,3-0,2-1,-1,-1
47,1,16,27,move1,mobilize,move1,0,move1,1-1,2-2,-1,-1
48,0,16,27,move1,mobilize,move2,2,move2,1-4,2-4,-1,-1
49,1,17,27,move2,mobilize,move2,0,move2,3-0,3-1,-1,-1
50,0,17,27,move1,mobilize,move2,0,move1,1-3,2-3,-1,-1
