turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,mobilize,move2,-1,None,-1,-1,-1,-1
1,1,0,0,move1,mobilize,capture,2,capture,3-0,2-1,-1,-1
2,0,0,0,move1,mobilize,capture,0,move1,2-4,2-3,-1,-1
3,1,3,0,move1,mobilize,move1,2,move1,2-1,2-3,2-0,-1
4,0,3,0,move2,mobilize,move1,0,move2,2-4,2-3,-1,-1
5,1,4,0,swap,mobilize,move1,0,swap,2-1,2-2,-1,-1
6,0,4,1,swap,mobilize,move1,0,swap,1-4,2-2,-1,-1
7,1,5,1,capture,mobilize,move1,0,capture,1-4,2-2,-1,-1
8,0,5,4,swap,mobilize,move1,0,swap,2-3,2-2,-1,-1
9,1,5,4,swap,mobilize,move1,0,swap,2-0,2-3,-1,-1
10,0,5,4,move1,mobilize,move1,0,move1,1-4,2-3,-1,-1
11,1,5,4,move1,mobilize,move1,0,move1,3-0,3-1,-1,-1
12,0,5,5,move1,swap,move1,1,swap,2-3,2-2,3-4,3-3
13,1,6,5,move1,move2,move1,1,move2,1-4,2-2,-1,-1
14,0,6,5,mobilize,move2,move1,0,mobilize,2-0,2-1,-1,-1
15,1,7,5,swap,move2,move1,0,swap,1-0,0-0,3-1,3-0
16,0,7,6,move2,move2,move1,0,move2,1-4,2-2,-1,-1
17,1,7,6,move2,swap,move1,1,swap,0-0,0-2,-1,-1
18,0,7,7,capture,swap,move1,0,capture,2-1,3-2,-1,-1
19,1,8,7,capture,capture,move1,1,capture,0-2,2-2,-1,-1
20,0,8,10,move2,capture,move1,0,move2,3-2,3-0,3-3,-1
21,1,12,10,move2,move1,move1,1,move1,2-2,3-2,-1,-1
22,0,12,10,mobilize,move1,move1,0,mobilize,0-2,1-2,-1,-1
23,1,13,10,mobilize,move1,swap,2,swap,1-4,0-4,-1,-1
24,0,13,11,mobilize,move1,mobilize,2,mobilize,2-4,2-2,-1,-1
25,1,13,11,swap,move1,mobilize,0,swap,2-4,1-4,1-0,1-1
26,0,13,12,swap,move2,mobilize,1,move2,3-3,3-2,-1,-1
27,1,14,12,mobilize,move2,mobilize,0,mobilize,1-1,2-2,-1,-1
28,0,14,12,move1,move2,mobilize,0,move1,1-2,1-3,1-1,1-0
29,1,15,12,swap,move2,mobilize,0,swap,0-4,0-3,-1,-1
30,0,15,13,swap,move2,mobilize,0,swap,1-0,2-2,-1,-1
31,1,16,13,capture,move2,mobilize,0,capture,1-4,2-2,-1,-1
32,0,16,16,swap,move2,mobilize,0,swap,1-3,1-0,1-4,-1
33,1,17,16,swap,move2,capture,2,capture,0-3,0-2,1-0,1-1
34,0,17,19,swap,move2,move1,2,move1,1-3,1-1,1-4,-1
35,1,18,19,swap,move2,move2,2,move2,0-2,1-2,-1,-1
36,0,18,20,move1,move2,move2,0,move1,1-4,2-2,-1,-1
37,1,18,20,move1,move1,move2,1,move1,1-4,0-4,-1,-1
38,0,18,21,swap,move1,move2,0,swap,1-3,2-3,-1,-1
39,1,19,21,swap,move1,move2,0,swap,1-2,2-2,-1,-1
40,0,19,22,move2,move1,move2,0,move2,3-2,2-2,-1,-1
41,1,19,22,swap,move1,move2,0,swap,3-2,4-3,-1,-1
42,0,19,23,swap,move2,move2,1,move2,2-3,1-3,-1,-1
43,1,20,23,mobilize,move2,move2,0,mobilize,4-3,2-2,-1,-1
44,0,20,23,swap,move2,move2,0,swap,1-3,2-3,1-2,1-1
45,1,21,23,swap,move2,move2,2,move2,0-4,1-4,-1,-1
46,0,21,24,swap,move2,move2,0,swap,4-3,2-2,-1,-1
47,1,22,24,capture,move2,move2,0,capture,1-0,2-2,-1,-1
48,0,22,27,capture,move2,move2,0,capture,1-1,1-4,1-0,-1
49,1,26,27,move1,move2,move2,0,move1,2-2,2-3,-1,-1
50,0,26,27,move1,move2,move2,0,move1,1-1,1-2,-1,-1
