turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,capture,mobilize,-1,None,-1,-1,-1,-1
1,1,0,0,mobilize,capture,mobilize,0,mobilize,3-0,3-1,-1,-1
2,0,0,0,mobilize,capture,move1,2,move1,2-6,2-5,3-6,3-5
3,1,0,0,swap,capture,move1,0,swap,2-0,2-1,4-0,3-0
4,0,0,0,swap,capture,move1,2,move1,3-5,4-5,-1,-1
5,1,0,0,swap,capture,move1,2,move1,3-0,2-0,-1,-1
6,0,0,0,swap,capture,mobilize,2,mobilize,4-6,5-6,-1,-1
7,1,0,0,swap,capture,mobilize,2,mobilize,3-1,3-2,2-0,3-0
8,0,0,0,swap,capture,capture,2,capture,2-5,2-4,4-5,4-6
9,1,0,0,capture,capture,capture,0,capture,2-1,2-4,-1,-1
10,0,0,0,capture,capture,capture,-1,None,-1,-1,-1,-1
11,1,0,0,move2,mobilize,move2,-1,None,-1,-1,-1,-1
12,0,0,0,move2,mobilize,move2,2,move2,5-6,5-5,-1,-1
13,1,3,0,capture,mobilize,move2,0,capture,2-4,3-3,-1,-1
14,0,3,0,capture,swap,move2,1,swap,4-6,4-5,5-5,5-6
15,1,6,0,capture,swap,move1,2,move1,3-0,3-1,-1,-1
16,0,6,0,capture,swap,move2,2,move2,5-6,5-5,-1,-1
17,1,12,0,move2,swap,move2,0,move2,3-1,2-1,-1,-1
18,0,12,0,capture,swap,move2,0,capture,4-5,2-5,-1,-1
19,1,15,0,capture,swap,move1,2,move1,3-1,2-2,-1,-1
20,0,15,0,capture,swap,move2,2,move2,5-5,6-5,-1,-1
21,1,19,0,capture,swap,swap,2,swap,2-2,1-3,-1,-1
22,0,19,3,capture,move1,swap,1,move1,2-5,3-3,-1,-1
23,1,23,3,move1,move1,swap,0,move1,2-5,2-6,-1,-1
24,0,23,6,swap,move1,swap,0,swap,6-5,5-5,-1,-1
25,1,26,6,swap,move1,swap,0,swap,1-3,3-3,-1,-1
26,0,26,9,mobilize,move1,swap,0,mobilize,1-3,3-3,-1,-1
27,1,30,9,mobilize,move1,capture,2,capture,2-5,3-3,-1,-1
28,0,30,9,move1,move1,capture,0,move1,2-5,3-5,5-5,5-6
29,1,37,9,move1,move1,move1,2,move1,3-3,3-5,3-2,-1
30,0,37,9,move1,move1,mobilize,2,mobilize,2-6,1-6,-1,-1
31,1,41,9,move1,move1,mobilize,0,move1,3-2,2-2,-1,-1
32,0,41,9,move1,move1,mobilize,1,move1,5-6,5-5,-1,-1
33,1,45,9,swap,move1,mobilize,0,swap,2-2,3-2,-1,-1
34,0,45,9,swap,move1,mobilize,2,mobilize,1-6,0-6,5-5,5-4
35,1,49,9,swap,capture,mobilize,1,capture,3-2,2-2,-1,-1
36,0,49,9,swap,capture,swap,2,swap,3-6,3-5,5-4,5-5
37,1,50,9,capture,capture,swap,0,capture,3-3,3-5,-1,-1
38,0,50,9,capture,capture,mobilize,2,mobilize,3-3,3-5,-1,-1
39,1,53,9,capture,capture,move2,2,move2,2-2,3-2,1-3,1-2
40,0,53,10,capture,capture,move2,2,move2,5-5,5-3,-1,-1
41,1,59,10,move1,capture,move2,0,move1,3-3,3-5,3-2,-1
42,0,59,11,move1,capture,move2,2,move2,0-6,0-5,-1,-1
43,1,63,11,mobilize,capture,move2,0,mobilize,1-2,1-3,-1,-1
44,0,63,12,move2,capture,move2,0,move2,0-5,0-4,2-6,2-5
45,1,66,12,capture,capture,move2,0,capture,1-3,2-2,-1,-1
46,0,66,12,capture,capture,move1,2,move1,5-3,6-4,-1,-1
47,1,69,12,capture,capture,move1,2,move1,2-2,1-2,-1,-1
48,0,69,12,capture,capture,move2,2,move2,2-5,2-6,-1,-1
49,1,73,12,capture,capture,move2,2,move2,1-2,1-3,-1,-1
50,0,73,12,capture,capture,capture,2,capture,6-4,6-5,-1,-1
