turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,capture,mobilize,-1,None,-1,-1,-1,-1
1,1,0,0,move1,capture,mobilize,2,mobilize,2-0,1-0,4-0,5-0
2,0,0,0,move1,capture,mobilize,0,move1,3-6,3-5,-1,-1
3,1,0,0,move1,capture,swap,2,swap,3-0,3-1,5-0,4-0
4,0,0,0,move1,capture,swap,0,move1,2-6,3-6,-1,-1
5,1,0,0,move1,capture,swap,0,move1,4-0,3-0,-1,-1
6,0,0,0,mobilize,capture,swap,0,mobilize,4-6,4-5,-1,-1
7,1,0,0,mobilize,capture,swap,0,mobilize,1-0,2-0,3-1,2-1
8,0,0,0,capture,capture,swap,0,capture,3-5,3-4,4-5,4-4
9,1,0,0,capture,capture,swap,-1,None,-1,-1,-1,-1
10,0,0,0,capture,move2,mobilize,-1,None,-1,-1,-1,-1
11,1,0,0,capture,move2,mobilize,1,move2,2-0,1-1,-1,-1
12,0,0,3,capture,move2,move2,2,move2,3-6,3-5,3-4,3-3
13,1,0,3,capture,capture,move2,1,capture,1-1,0-0,-1,-1
14,0,0,7,capture,capture,swap,2,swap,4-4,5-3,-1,-1
15,1,3,7,capture,capture,move1,2,move1,3-0,3-3,-1,-1
16,0,3,8,capture,capture,move2,2,move2,3-0,3-1,-1,-1
17,1,6,8,capture,capture,move2,2,move2,0-0,2-0,-1,-1
18,0,6,12,capture,capture,move2,0,capture,3-1,2-1,-1,-1
19,1,12,12,move1,capture,move2,0,move1,3-0,3-1,-1,-1
20,0,12,13,move2,capture,move2,0,move2,2-6,3-6,-1,-1
21,1,15,13,move2,capture,swap,2,swap,3-0,3-1,-1,-1
22,0,15,17,move2,capture,move1,2,move1,3-6,3-3,-1,-1
23,1,15,17,move1,capture,move1,0,move1,2-0,1-1,-1,-1
24,0,15,24,move1,swap,move1,1,swap,3-5,3-6,-1,-1
25,1,15,24,swap,swap,move1,0,swap,3-1,3-0,-1,-1
26,0,15,28,swap,swap,move1,2,move1,3-5,3-4,-1,-1
27,1,15,28,swap,swap,capture,2,capture,3-0,4-0,-1,-1
28,0,15,28,swap,swap,capture,-1,None,-1,-1,-1,-1
29,1,15,28,move1,move1,mobilize,-1,None,-1,-1,-1,-1
30,0,15,32,move1,move1,mobilize,0,move1,3-4,4-4,-1,-1
31,1,15,32,capture,move1,mobilize,0,capture,1-1,0-1,-1,-1
32,0,15,36,capture,move1,mobilize,1,move1,4-4,5-4,-1,-1
33,1,15,36,capture,move2,mobilize,1,move2,0-1,0-0,-1,-1
34,0,15,40,capture,move2,mobilize,1,move2,5-4,4-4,-1,-1
35,1,15,40,capture,capture,mobilize,1,capture,2-0,2-2,-1,-1
36,0,15,43,capture,capture,move2,2,move2,4-4,3-4,5-3,5-2
37,1,15,43,capture,capture,mobilize,2,mobilize,4-0,2-0,-1,-1
38,0,15,47,capture,capture,swap,2,swap,3-4,4-4,5-2,5-3
39,1,18,47,capture,capture,capture,2,capture,2-2,3-3,-1,-1
40,0,18,47,capture,capture,capture,-1,None,-1,-1,-1,-1
41,1,18,47,mobilize,capture,mobilize,-1,None,-1,-1,-1,-1
42,0,18,48,move2,capture,mobilize,0,move2,4-4,5-4,2-2,3-2
43,1,24,48,move2,move2,mobilize,1,move2,3-3,3-2,-1,-1
44,0,24,49,move1,move2,mobilize,0,move1,2-6,3-5,-1,-1
45,1,27,49,move1,move1,mobilize,1,move1,0-0,1-1,-1,-1
46,0,27,50,move2,move1,mobilize,0,move2,3-5,3-4,-1,-1
47,1,30,50,move2,mobilize,mobilize,1,mobilize,1-1,1-2,-1,-1
48,0,30,51,swap,mobilize,mobilize,0,swap,3-4,4-4,-1,-1
49,1,34,51,swap,swap,mobilize,1,swap,1-2,1-3,2-0,2-1
50,0,34,55,move1,swap,mobilize,0,move1,4-4,3-3,-1,-1
