turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,mobilize,move2,-1,None,-1,-1,-1,-1
1,1,0,0,move1,mobilize,mobilize,2,mobilize,4-0,5-1,-1,-1
2,0,0,0,move1,move1,mobilize,1,move1,2-6,2-5,4-6,4-5
3,1,0,0,move1,move1,move1,2,move1,2-0,1-0,5-1,5-0
4,0,0,0,move1,move1,move1,0,move1,3-6,3-5,-1,-1
5,1,0,0,move1,move1,capture,2,capture,5-0,5-1,-1,-1
6,0,0,0,capture,move1,capture,0,capture,3-5,3-4,-1,-1
7,1,0,0,capture,mobilize,capture,1,mobilize,5-1,5-0,-1,-1
8,0,0,3,capture,capture,capture,1,capture,2-5,3-5,3-4,3-3
9,1,0,3,capture,capture,capture,-1,None,-1,-1,-1,-1
10,0,0,3,swap,move1,move1,-1,None,-1,-1,-1,-1
11,1,0,3,swap,capture,move1,1,capture,1-0,1-1,-1,-1
12,0,0,6,swap,capture,move1,2,move1,3-5,3-4,-1,-1
13,1,0,6,swap,capture,move2,2,move2,1-1,2-1,-1,-1
14,0,0,12,swap,capture,move2,1,capture,3-3,3-0,3-4,-1
15,1,0,12,swap,capture,move2,2,move2,5-0,5-1,-1,-1
16,0,0,15,swap,capture,swap,2,swap,4-5,4-4,-1,-1
17,1,3,15,swap,capture,mobilize,2,mobilize,2-1,3-3,-1,-1
18,0,3,18,swap,mobilize,mobilize,1,mobilize,2-1,2-0,-1,-1
19,1,6,18,swap,mobilize,move2,2,move2,2-0,1-0,5-1,5-0
20,0,6,21,move1,mobilize,move2,0,move1,2-1,3-3,-1,-1
21,1,6,21,move1,mobilize,move2,2,move2,5-0,6-0,-1,-1
22,0,6,25,move1,mobilize,swap,2,swap,4-4,5-3,-1,-1
23,1,6,25,move1,move2,swap,1,move2,2-1,2-0,6-0,6-1
24,0,6,29,swap,move2,swap,0,swap,3-4,4-4,-1,-1
25,1,6,29,swap,move1,swap,1,move1,6-1,5-0,-1,-1
26,0,6,33,swap,move1,swap,1,move1,4-4,5-4,-1,-1
27,1,6,33,swap,move1,swap,1,move1,5-0,5-1,-1,-1
28,0,6,37,swap,move1,swap,1,move1,5-4,4-4,-1,-1
29,1,7,37,swap,move1,mobilize,2,mobilize,5-1,5-3,-1,-1
30,0,7,41,mobilize,move1,mobilize,0,mobilize,5-1,5-3,-1,-1
31,1,7,41,capture,move1,mobilize,0,capture,1-0,1-1,5-1,5-2
32,0,7,48,mobilize,move1,mobilize,0,mobilize,5-3,5-2,-1,-1
33,1,7,48,mobilize,move1,move2,2,move2,2-0,2-1,3-0,3-1
34,0,7,52,mobilize,move1,move2,2,move2,4-4,3-4,-1,-1
35,1,7,52,mobilize,move1,move2,0,mobilize,2-1,2-0,3-1,4-1
36,0,7,56,mobilize,move2,move2,1,move2,3-4,4-4,-1,-1
37,1,7,56,capture,move2,move2,0,capture,1-1,2-1,4-1,3-1
38,0,7,60,capture,move1,move2,1,move1,4-4,3-4,-1,-1
39,1,7,60,capture,move2,move2,1,move2,3-1,3-0,-1,-1
40,0,7,67,capture,move2,move2,0,capture,3-3,3-0,3-4,-1
41,1,7,67,capture,move2,move2,1,move2,2-1,1-2,-1,-1
42,0,7,74,capture,move2,move2,0,capture,3-3,3-0,3-4,-1
43,1,7,74,capture,move2,move2,2,move2,3-0,2-1,-1,-1
44,0,7,78,capture,swap,move2,1,swap,3-4,4-4,-1,-1
45,1,7,78,capture,swap,move1,2,move1,1-2,1-1,-1,-1
46,0,7,82,capture,swap,swap,2,swap,4-4,3-4,-1,-1
47,1,10,82,capture,mobilize,swap,1,mobilize,2-1,3-3,-1,-1
48,0,10,86,capture,mobilize,swap,0,capture,2-1,2-0,-1,-1
49,1,10,86,capture,move1,swap,1,move1,2-0,3-0,3-3,3-2
50,0,10,90,capture,move1,swap,1,move1,3-4,3-3,-1,-1
