turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,capture,mobilize,-1,None,-1,-1,-1,-1
1,1,0,0,mobilize,capture,mobilize,0,mobilize,3-0,3-1,-1,-1
2,0,0,0,move1,capture,mobilize,0,move1,2-6,2-5,4-6,4-5
3,1,0,0,swap,capture,mobilize,0,swap,3-1,3-2,-1,-1
4,0,0,0,swap,capture,move1,2,move1,2-5,2-6,4-5,3-5
5,1,3,0,swap,capture,move1,2,move1,3-2,3-3,-1,-1
6,0,3,3,mobilize,capture,move1,0,mobilize,3-6,3-3,-1,-1
7,1,6,3,mobilize,mobilize,move1,1,mobilize,3-6,3-5,-1,-1
8,0,6,6,capture,mobilize,move1,0,capture,2-6,2-5,4-6,4-5
9,1,6,6,capture,capture,move1,1,capture,2-0,2-1,3-6,3-5
10,0,6,12,move2,capture,move1,0,move2,2-5,3-5,-1,-1
11,1,6,12,mobilize,capture,move1,0,mobilize,2-1,1-2,-1,-1
12,0,6,15,move2,capture,move1,0,move2,2-5,3-5,4-5,4-4
13,1,7,15,move2,capture,move1,0,move2,1-2,1-3,-1,-1
14,0,7,19,capture,capture,move1,0,capture,4-4,5-3,-1,-1
15,1,8,19,capture,capture,swap,2,swap,2-0,3-0,-1,-1
16,0,8,21,capture,capture,move1,2,move1,3-3,1-3,-1,-1
17,1,11,21,capture,capture,move2,2,move2,4-0,4-1,-1,-1
18,0,11,23,capture,capture,move2,2,move2,3-5,4-4,-1,-1
19,1,14,23,capture,capture,capture,2,capture,3-0,3-2,-1,-1
20,0,14,23,capture,capture,capture,-1,None,-1,-1,-1,-1
21,1,14,23,move1,move2,swap,-1,None,-1,-1,-1,-1
22,0,14,28,move1,move2,move1,2,move1,4-4,3-3,-1,-1
23,1,14,28,move1,move2,move1,0,move1,4-4,4-5,-1,-1
24,0,14,32,move1,swap,move1,1,swap,5-3,4-2,-1,-1
25,1,17,32,move1,swap,move1,1,swap,4-5,3-3,-1,-1
26,0,17,36,move1,mobilize,move1,1,mobilize,4-5,3-3,-1,-1
27,1,17,36,capture,mobilize,move1,0,capture,4-5,4-4,-1,-1
28,0,17,43,capture,mobilize,move1,0,capture,3-3,3-2,-1,-1
29,1,20,43,move1,mobilize,move1,0,move1,4-1,4-2,-1,-1
30,0,20,47,capture,mobilize,move1,0,capture,2-6,2-5,-1,-1
31,1,20,47,capture,mobilize,move1,1,mobilize,4-4,3-4,2-0,2-1
32,0,20,54,move2,mobilize,move1,0,move2,3-3,3-4,-1,-1
33,1,20,54,swap,mobilize,move1,0,swap,2-1,1-2,-1,-1
34,0,20,58,swap,mobilize,move1,2,move1,2-5,2-4,-1,-1
35,1,23,58,mobilize,mobilize,move1,0,mobilize,4-1,3-3,-1,-1
36,0,23,59,mobilize,mobilize,move1,0,mobilize,4-1,3-1,2-4,1-4
37,1,26,59,move1,mobilize,move1,0,move1,2-0,2-1,1-2,2-2
38,0,26,60,move1,mobilize,move1,0,move1,3-1,3-2,-1,-1
39,1,29,60,move1,swap,move1,1,swap,2-1,1-1,2-2,1-2
40,0,29,64,move1,capture,move1,1,capture,3-2,3-3,-1,-1
41,1,32,64,move1,move1,move1,1,move1,3-2,3-3,-1,-1
42,0,32,65,move2,move1,move1,0,move2,2-6,2-5,-1,-1
43,1,35,65,move2,mobilize,move1,1,mobilize,3-2,3-3,-1,-1
44,0,35,66,capture,mobilize,move1,0,capture,2-5,2-4,-1,-1
45,1,41,66,move2,mobilize,move1,0,move2,1-2,1-3,-1,-1
46,0,41,66,swap,mobilize,move1,0,swap,2-6,2-5,-1,-1
47,1,44,66,move1,mobilize,move1,0,move1,1-1,1-4,-1,-1
48,0,44,66,move1,move2,move1,1,move2,2-4,3-4,2-5,3-5
49,1,48,66,move1,move2,move1,1,move2,1-4,1-3,-1,-1
50,0,48,66,move1,move2,move1,1,move2,1-1,2-2,-1,-1
