turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,capture,mobilize,-1,None,-1,-1,-1,-1
1,1,0,0,mobilize,capture,mobilize,0,mobilize,3-0,3-1,-1,-1
2,0,0,0,move1,capture,mobilize,0,move1,2-6,2-5,3-6,3-5
3,1,0,0,move1,capture,swap,2,swap,2-0,2-1,4-0,3-0
4,0,0,0,move1,capture,swap,0,move1,3-5,3-4,-1,-1
5,1,3,0,move1,move1,swap,1,move1,3-1,3-4,3-0,-1
6,0,3,0,mobilize,move1,swap,0,mobilize,2-5,2-4,-1,-1
7,1,3,0,mobilize,mobilize,swap,1,mobilize,3-1,3-2,-1,-1
8,0,3,0,capture,mobilize,swap,0,capture,2-4,1-4,2-6,2-5
9,1,6,0,capture,capture,swap,1,capture,2-1,3-1,3-2,3-3
10,0,6,3,capture,capture,move2,2,move2,2-5,3-3,-1,-1
11,1,9,3,mobilize,capture,move2,0,mobilize,3-1,3-3,3-0,-1
12,0,9,6,mobilize,move2,move2,1,move2,2-6,2-5,-1,-1
13,1,12,6,mobilize,move2,move2,1,move2,3-1,3-3,-1,-1
