turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,capture,mobilize,-1,None,-1,-1,-1,-1
1,1,0,0,move1,capture,mobilize,2,mobilize,2-0,1-0,4-0,5-0
2,0,0,0,move1,capture,mobilize,0,move1,3-6,3-5,-1,-1
3,1,0,0,move1,capture,swap,2,swap,3-0,3-1,5-0,4-0
4,0,0,0,move1,capture,swap,0,move1,4-6,3-6,-1,-1
5,1,0,0,move1,capture,swap,0,move1,3-1,3-2,-1,-1
6,0,0,3,move1,mobilize,swap,1,mobilize,3-5,3-2,3-6,-1
7,1,0,3,move1,mobilize,swap,1,mobilize,1-0,1-1,4-0,3-0
8,0,0,3,capture,mobilize,swap,0,capture,2-6,2-5,-1,-1
9,1,0,3,capture,capture,swap,1,capture,2-0,2-1,3-0,3-1
10,0,0,3,capture,capture,swap,-1,None,-1,-1,-1,-1
11,1,0,3,move2,mobilize,move2,-1,None,-1,-1,-1,-1
12,0,0,6,move2,mobilize,move2,0,move2,3-5,3-3,-1,-1
13,1,1,6,capture,mobilize,move2,0,capture,1-1,1-3,-1,-1
14,0,1,9,capture,mobilize,swap,2,swap,2-5,3-4,-1,-1
15,1,5,9,capture,mobilize,move1,2,move1,2-1,3-3,-1,-1
16,0,5,12,move2,mobilize,move1,0,move2,2-1,3-1,-1,-1
