turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,capture,mobilize,-1,None,-1,-1,-1,-1
1,1,0,0,mobilize,capture,mobilize,0,mobilize,4-0,4-1,-1,-1
2,0,0,0,move1,capture,mobilize,0,move1,2-6,2-5,4-6,4-5
3,1,0,0,move1,capture,swap,2,swap,2-0,2-1,3-0,4-0
4,0,0,0,move1,capture,swap,0,move1,3-6,3-5,-1,-1
5,1,0,0,move1,capture,swap,0,move1,2-1,2-2,-1,-1
6,0,0,0,mobilize,capture,swap,0,mobilize,2-5,1-5,-1,-1
7,1,0,0,mobilize,capture,swap,0,mobilize,2-2,3-2,4-1,4-2
8,0,0,0,mobilize,capture,capture,2,capture,4-5,4-2,-1,-1
9,1,0,0,capture,capture,capture,0,capture,3-2,2-2,4-5,4-4
10,0,0,0,capture,capture,capture,-1,None,-1,-1,-1,-1
11,1,0,0,move2,mobilize,move2,-1,None,-1,-1,-1,-1
12,0,0,3,move2,mobilize,move2,0,move2,4-2,3-3,-1,-1
13,1,0,3,capture,mobilize,move2,0,capture,4-4,5-4,-1,-1
14,0,0,7,capture,mobilize,swap,2,swap,1-5,1-3,-1,-1
15,1,0,7,capture,move1,swap,1,move1,2-2,1-2,4-0,5-0
16,0,0,14,move2,move1,swap,0,move2,1-3,1-2,-1,-1
