turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,capture,swap,move2,-1,None,-1,-1,-1,-1
1,1,0,0,capture,swap,move2,2,move2,2-0,3-1,-1,-1
2,0,0,0,capture,swap,capture,2,capture,4-6,3-5,-1,-1
3,1,0,0,capture,swap,capture,-1,None,-1,-1,-1,-1
4,0,0,0,move1,move1,swap,-1,None,-1,-1,-1,-1
5,1,0,0,capture,move1,swap,0,capture,4-0,4-1,-1,-1
6,0,0,0,capture,move2,swap,1,move2,3-5,2-5,-1,-1
7,1,3,0,capture,move2,swap,1,move2,3-1,3-3,-1,-1
8,0,3,3,capture,move2,mobilize,2,mobilize,3-6,3-3,-1,-1
9,1,6,3,mobilize,move2,mobilize,0,mobilize,3-6,2-6,-1,-1
10,0,6,6,mobilize,move1,mobilize,1,move1,2-5,0-5,-1,-1
11,1,6,6,move1,move1,mobilize,0,move1,3-6,3-5,4-1,3-1
12,0,6,9,move1,move1,capture,2,capture,2-6,3-6,0-5,0-6
13,1,9,9,move1,move1,move1,2,move1,3-5,3-6,-1,-1
14,0,9,12,move1,move1,move2,2,move2,2-6,3-6,-1,-1
15,1,9,12,capture,move1,move2,0,capture,3-5,3-4,-1,-1
16,0,9,18,mobilize,move1,move2,0,mobilize,3-3,3-4,-1,-1
17,1,9,18,mobilize,move1,mobilize,2,mobilize,2-0,2-1,-1,-1
18,0,9,21,move1,move1,mobilize,0,move1,3-6,2-6,0-6,1-6
19,1,9,21,move2,move1,mobilize,0,move2,3-1,3-2,-1,-1
20,0,9,24,move2,move1,move1,2,move1,2-6,2-5,1-6,1-5
21,1,9,24,move2,swap,move1,1,swap,2-1,3-1,-1,-1
22,0,9,27,move2,swap,swap,2,swap,2-5,2-4,-1,-1
23,1,12,27,move2,mobilize,swap,1,mobilize,3-0,3-3,-1,-1
24,0,12,30,move2,mobilize,move1,2,move1,2-4,3-3,-1,-1
25,1,13,30,capture,mobilize,move1,0,capture,2-4,1-3,-1,-1
26,0,13,36,capture,mobilize,move1,0,capture,3-3,3-2,-1,-1
27,1,17,36,move2,mobilize,move1,0,move2,3-1,3-0,-1,-1
28,0,17,39,move2,move1,move1,1,move1,2-6,1-6,1-5,2-5
29,1,18,39,move2,capture,move1,1,capture,2-0,3-0,-1,-1
30,0,18,42,move1,capture,move1,0,move1,2-5,3-4,-1,-1
