turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,mobilize,move2,-1,None,-1,-1,-1,-1
1,1,0,0,move1,mobilize,mobilize,2,mobilize,1-0,2-1,-1,-1
2,0,0,0,move1,mobilize,mobilize,0,move1,2-4,2-3,-1,-1
3,1,0,0,move1,mobilize,mobilize,0,move1,3-0,3-1,-1,-1
4,0,0,0,move1,move1,mobilize,1,move1,1-4,2-4,3-4,3-3
5,1,0,0,capture,move1,mobilize,0,capture,2-0,3-0,-1,-1
6,0,0,3,capture,move1,mobilize,0,capture,2-3,2-1,2-4,-1
7,1,3,3,mobilize,move1,mobilize,0,mobilize,3-1,3-3,3-0,-1
8,0,3,4,mobilize,move1,capture,2,capture,2-3,2-2,1-4,1-3
9,1,3,4,swap,move1,capture,0,swap,1-0,2-0,3-1,2-1
10,0,3,5,move1,move1,capture,0,move1,2-4,2-1,-1,-1
11,1,6,5,move1,move1,move1,2,move1,2-0,2-1,-1,-1
12,0,6,6,capture,move1,move1,0,capture,1-3,2-3,-1,-1
13,1,9,6,move1,move1,move1,0,move1,2-4,2-3,-1,-1
14,0,9,6,move2,move1,move1,0,move2,2-2,2-3,-1,-1
15,1,9,6,capture,move1,move1,0,capture,3-0,2-1,-1,-1
16,0,9,9,move2,move1,move1,0,move2,1-4,2-4,-1,-1
17,1,9,9,move2,swap,move1,1,swap,1-0,1-1,-1,-1
18,0,9,9,mobilize,swap,move1,0,mobilize,3-4,2-4,-1,-1
19,1,9,9,mobilize,mobilize,move1,1,mobilize,2-0,2-3,-1,-1
20,0,9,9,mobilize,mobilize,move2,2,move2,1-4,1-3,-1,-1
21,1,10,9,move1,mobilize,move2,0,move1,2-1,2-2,1-1,1-2
22,0,10,9,move1,move2,move2,1,move2,2-0,1-0,2-4,1-4
23,1,11,9,move1,swap,move2,1,swap,1-2,2-1,-1,-1
24,0,11,9,move1,move2,move2,1,move2,1-0,2-1,-1,-1
25,1,12,9,move1,swap,move2,1,swap,1-0,1-2,-1,-1
26,0,12,9,move1,move1,move2,1,move1,1-4,1-2,-1,-1
27,1,13,9,move2,move1,move2,0,move2,1-4,2-4,-1,-1
28,0,13,9,mobilize,move1,move2,0,mobilize,2-1,1-1,-1,-1
29,1,14,9,mobilize,move1,capture,2,capture,2-4,3-3,-1,-1
30,0,14,12,mobilize,move1,swap,2,swap,1-2,2-2,-1,-1
31,1,14,12,mobilize,move1,move1,2,move1,1-0,1-2,-1,-1
32,0,14,12,swap,move1,move1,0,swap,1-1,2-1,1-0,2-0
33,1,15,12,swap,mobilize,move1,1,mobilize,1-2,2-2,-1,-1
34,0,15,12,swap,mobilize,move1,0,swap,2-0,2-3,-1,-1
35,1,16,12,mobilize,mobilize,move1,0,mobilize,2-0,2-3,-1,-1
36,0,16,12,mobilize,mobilize,move1,2,move1,1-3,1-2,-1,-1
37,1,17,12,mobilize,mobilize,move2,2,move2,3-3,3-2,-1,-1
38,0,17,12,mobilize,mobilize,swap,2,swap,1-2,1-1,-1,-1
39,1,18,12,mobilize,mobilize,capture,2,capture,2-3,2-1,-1,-1
40,0,18,15,mobilize,mobilize,move2,2,move2,1-1,2-1,-1,-1
41,1,19,15,mobilize,mobilize,mobilize,2,mobilize,3-2,2-1,-1,-1
42,0,19,15,move1,mobilize,mobilize,0,move1,1-1,1-2,2-3,1-3
43,1,20,15,move2,mobilize,mobilize,0,move2,1-0,1-1,-1,-1
44,0,20,15,capture,mobilize,mobilize,0,capture,2-0,1-0,-1,-1
45,1,24,15,move2,mobilize,mobilize,0,move2,1-1,1-2,-1,-1
46,0,24,15,capture,mobilize,mobilize,0,capture,1-3,1-2,-1,-1
47,1,28,15,mobilize,mobilize,mobilize,0,mobilize,1-1,1-2,-1,-1
48,0,28,15,move1,mobilize,mobilize,0,move1,1-4,1-3,2-4,2-3
49,1,29,15,capture,mobilize,mobilize,0,capture,1-1,1-2,-1,-1
50,0,29,18,move1,mobilize,mobilize,0,move1,1-3,1-2,-1,-1
