turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,mobilize,move2,-1,None,-1,-1,-1,-1
1,1,0,0,move1,mobilize,mobilize,2,mobilize,1-0,2-1,-1,-1
2,0,0,0,move1,mobilize,mobilize,0,move1,2-4,2-3,-1,-1
3,1,1,0,move1,move1,mobilize,1,move1,2-1,2-2,3-0,3-1
4,0,1,0,move1,move1,move1,2,move1,1-4,2-4,3-4,3-3
5,1,2,0,capture,move1,move1,0,capture,3-1,2-1,-1,-1
6,0,2,3,capture,move1,move1,0,capture,2-3,2-2,-1,-1
7,1,5,3,mobilize,move1,move1,0,mobilize,2-1,2-3,2-0,-1
8,0,5,3,mobilize,capture,move1,1,capture,3-3,2-3,-1,-1
9,1,8,3,mobilize,swap,move1,1,swap,2-1,2-3,2-0,-1
10,0,8,3,mobilize,swap,move1,2,move1,2-4,2-3,-1,-1
11,1,8,3,mobilize,move1,move1,1,move1,2-0,2-3,-1,-1
12,0,8,3,capture,move1,move1,0,capture,2-0,3-0,1-4,2-4
13,1,9,3,capture,move1,move1,1,move1,2-3,2-2,-1,-1
14,0,9,3,capture,move2,move1,1,move2,3-0,3-1,-1,-1
15,1,13,3,capture,move2,move1,0,capture,2-2,2-4,2-1,-1
