turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,capture,swap,move2,-1,None,-1,-1,-1,-1
1,1,0,0,capture,swap,move2,2,move2,3-0,4-1,-1,-1
2,0,0,0,capture,swap,capture,2,capture,1-4,2-3,-1,-1
3,1,0,0,capture,move1,capture,1,move1,2-0,2-3,-1,-1
4,0,0,3,move1,move1,capture,0,move1,2-4,2-3,-1,-1
5,1,0,3,swap,move1,capture,0,swap,3-0,3-1,-1,-1
6,0,0,6,swap,move1,capture,2,capture,2-0,1-0,-1,-1
7,1,0,6,move2,move1,capture,0,move2,3-1,2-0,-1,-1
8,0,0,9,move2,move1,move2,2,move2,3-1,4-1,-1,-1
9,1,0,9,move2,mobilize,move2,1,mobilize,1-0,0-0,-1,-1
10,0,0,9,mobilize,mobilize,move2,0,mobilize,2-4,1-4,-1,-1
11,1,0,9,move1,mobilize,move2,0,move1,2-0,2-1,3-0,4-0
12,0,0,10,move1,mobilize,move1,2,move1,3-1,2-2,-1,-1
