turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,capture,swap,move2,-1,None,-1,-1,-1,-1
1,1,0,0,capture,swap,move2,2,move2,1-0,2-1,-1,-1
2,0,0,0,capture,swap,capture,2,capture,1-4,2-3,-1,-1
3,1,3,0,move1,swap,capture,0,move1,2-1,2-3,2-0,-1
4,0,3,0,move1,move1,capture,1,move1,2-4,2-1,-1,-1
5,1,6,0,move1,move1,swap,2,swap,2-4,1-4,-1,-1
6,0,6,0,move1,move1,capture,2,capture,1-4,2-4,-1,-1
7,1,9,0,move1,move1,move2,2,move2,1-4,2-4,-1,-1
8,0,9,0,move1,move1,move2,2,move2,2-1,2-3,-1,-1
9,1,9,0,mobilize,move1,move2,0,mobilize,1-4,1-3,-1,-1
10,0,9,0,mobilize,move1,mobilize,2,mobilize,3-4,3-3,-1,-1
11,1,9,0,move1,move1,mobilize,0,move1,1-3,1-2,2-0,1-0
12,0,9,0,move1,move1,mobilize,0,move1,2-4,3-4,-1,-1
13,1,9,0,move1,move1,capture,2,capture,1-2,1-1,3-0,2-0
14,0,9,0,move1,move1,capture,0,move1,3-4,2-4,-1,-1
15,1,9,0,move2,move1,capture,0,move2,1-1,2-1,-1,-1
16,0,9,3,move2,move1,capture,2,capture,2-3,2-1,2-4,-1
17,1,9,3,mobilize,move1,capture,0,mobilize,3-0,2-1,-1,-1
18,0,9,6,mobilize,move1,mobilize,2,mobilize,2-3,2-1,2-4,-1
19,1,9,6,move1,move1,mobilize,0,move1,3-0,3-1,1-0,1-1
20,0,9,7,move1,move1,move2,2,move2,2-4,3-4,2-3,2-2
21,1,9,7,move1,move1,move1,2,move1,3-1,2-1,-1,-1
22,0,9,7,swap,move1,move1,0,swap,2-2,3-2,-1,-1
23,1,9,7,swap,move1,move1,0,swap,1-1,3-2,-1,-1
24,0,9,7,mobilize,move1,move1,0,mobilize,3-4,3-2,-1,-1
25,1,10,7,move1,move1,move1,0,move1,2-1,2-2,3-4,2-4
26,0,10,7,capture,move1,move1,0,capture,1-1,1-2,-1,-1
27,1,14,7,move2,move1,move1,0,move2,2-2,3-2,-1,-1
28,0,14,7,move2,move1,move1,0,move2,3-3,1-3,-1,-1
29,1,15,7,move2,swap,move1,1,swap,2-4,2-3,-1,-1
30,0,15,7,move2,capture,move1,1,capture,1-4,2-3,-1,-1
31,1,19,7,move2,move1,move1,1,move1,1-4,1-3,-1,-1
32,0,19,7,mobilize,move1,move1,0,mobilize,1-2,1-3,-1,-1
33,1,20,7,mobilize,move1,move1,1,move1,2-0,2-1,-1,-1
34,0,20,7,mobilize,mobilize,move1,1,mobilize,1-3,1-2,-1,-1
35,1,21,7,mobilize,mobilize,swap,2,swap,1-4,1-3,-1,-1
36,0,21,8,mobilize,mobilize,swap,2,swap,2-4,2-2,-1,-1
37,1,21,8,mobilize,mobilize,move1,2,move1,2-4,2-3,-1,-1
38,0,21,9,mobilize,mobilize,mobilize,2,mobilize,1-2,1-1,-1,-1
39,1,21,9,capture,mobilize,mobilize,0,capture,2-3,3-3,2-1,3-1
40,0,21,10,capture,swap,mobilize,1,swap,2-4,2-3,1-1,1-2
41,1,24,10,move2,swap,mobilize,0,move2,3-3,2-3,-1,-1
42,0,24,11,move2,move2,mobilize,1,move2,1-4,1-3,-1,-1
43,1,24,11,move1,move2,mobilize,0,move1,1-4,2-3,-1,-1
44,0,24,12,move1,move1,mobilize,1,move1,1-3,0-2,-1,-1
45,1,24,12,capture,move1,mobilize,0,capture,3-1,2-1,-1,-1
46,0,24,16,mobilize,move1,mobilize,0,mobilize,2-2,2-1,-1,-1
