turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,capture,swap,move2,-1,None,-1,-1,-1,-1
1,1,0,0,capture,swap,move2,2,move2,1-0,2-1,-1,-1
2,0,0,0,capture,swap,capture,2,capture,1-4,2-3,-1,-1
3,1,3,0,move1,swap,capture,0,move1,2-1,2-3,2-0,-1
4,0,3,0,move1,move1,capture,1,move1,2-4,2-1,-1,-1
5,1,6,0,move1,move1,swap,2,swap,2-4,1-4,-1,-1
6,0,6,0,move1,move1,capture,2,capture,1-4,2-4,-1,-1
7,1,9,0,move1,move1,move2,2,move2,1-4,2-4,-1,-1
8,0,9,1,move2,move1,move2,0,move2,2-1,2-2,-1,-1
9,1,9,1,mobilize,move1,move2,0,mobilize,3-0,2-1,-1,-1
10,0,9,2,mobilize,mobilize,move2,1,mobilize,3-4,3-3,-1,-1
11,1,9,2,mobilize,mobilize,move1,2,move1,1-4,2-3,-1,-1
12,0,9,3,move1,mobilize,move1,0,move1,2-4,3-4,3-3,3-2
13,1,9,3,move1,capture,move1,1,capture,2-0,3-0,2-1,3-1
14,0,9,7,move1,move1,move1,1,move1,3-2,3-1,-1,-1
15,1,9,7,move2,move1,move1,0,move2,1-0,2-0,-1,-1
16,0,9,8,capture,move1,move1,0,capture,3-2,3-1,-1,-1
17,1,12,8,mobilize,move1,move1,0,mobilize,2-3,2-2,-1,-1
18,0,12,8,mobilize,move1,move1,0,mobilize,1-4,1-3,3-1,2-1
19,1,13,8,move1,move1,move1,0,move1,2-3,2-2,3-0,3-1
20,0,13,8,move1,move1,move2,2,move2,3-4,2-4,-1,-1
21,1,14,8,move1,move1,move2,0,move1,3-1,3-2,-1,-1
22,0,14,8,move1,move1,swap,2,swap,1-3,2-3,-1,-1
23,1,15,8,move1,move1,swap,2,swap,2-0,2-3,-1,-1
24,0,15,9,move1,move1,mobilize,2,mobilize,2-4,2-2,-1,-1
25,1,15,9,move1,move1,mobilize,0,move1,3-2,3-3,-1,-1
26,0,15,10,move1,move1,capture,2,capture,2-0,1-0,2-1,3-1
27,1,18,10,move1,move1,move1,2,move1,2-3,2-2,-1,-1
28,0,18,10,move1,move1,move2,2,move2,1-4,0-4,-1,-1
29,1,19,10,move1,move1,swap,2,swap,3-3,2-2,-1,-1
30,0,19,11,move1,move1,capture,2,capture,1-0,2-2,-1,-1
31,1,22,11,move1,move1,move1,2,move1,2-3,2-2,-1,-1
32,0,22,11,move1,move1,move1,1,move1,3-1,2-1,-1,-1
33,1,23,11,mobilize,move1,move1,0,mobilize,2-3,2-2,-1,-1
34,0,23,11,mobilize,move1,move2,2,move2,0-4,0-3,-1,-1
35,1,24,11,swap,move1,move2,0,swap,2-4,2-3,1-0,2-0
36,0,24,12,swap,move1,move2,0,swap,2-1,2-2,-1,-1
37,1,25,12,move2,move1,move2,0,move2,2-0,2-2,-1,-1
38,0,25,12,mobilize,move1,move2,0,mobilize,2-0,3-0,-1,-1
39,1,26,12,mobilize,move1,move2,2,move2,2-3,1-2,-1,-1
40,0,26,12,mobilize,move1,swap,2,swap,0-3,0-4,-1,-1
41,1,27,12,mobilize,move1,swap,1,move1,2-1,1-1,-1,-1
42,0,27,12,mobilize,capture,swap,1,capture,1-4,2-4,-1,-1
43,1,28,12,move2,capture,swap,0,move2,1-2,1-3,1-1,2-1
44,0,28,13,move2,capture,capture,2,capture,2-4,2-2,-1,-1
45,1,31,13,move2,capture,capture,1,capture,2-1,2-2,-1,-1
46,0,31,16,move2,capture,mobilize,2,mobilize,1-4,2-4,-1,-1
47,1,34,16,move2,move1,mobilize,1,move1,1-3,1-4,-1,-1
48,0,34,16,move2,mobilize,mobilize,1,mobilize,1-4,2-4,-1,-1
49,1,35,16,move2,move1,mobilize,1,move1,1-0,1-1,2-1,2-2
50,0,35,16,move2,mobilize,mobilize,1,mobilize,2-4,3-4,-1,-1
51,1,36,16,move2,move2,mobilize,1,move2,1-3,2-3,1-1,2-1
52,0,36,16,move2,move2,mobilize,2,mobilize,0-4,1-4,3-0,2-0
53,1,37,16,move2,move2,mobilize,0,move2,2-3,1-2,-1,-1
54,0,37,16,move2,move2,mobilize,0,move2,2-0,3-0,-1,-1
55,1,38,16,move1,move2,mobilize,0,move1,2-1,1-1,-1,-1
56,0,38,16,move1,move1,mobilize,1,move1,1-4,1-3,-1,-1
57,1,39,16,mobilize,move1,mobilize,0,mobilize,1-1,2-1,-1,-1
58,0,39,16,mobilize,move1,move1,2,move1,1-3,2-3,3-4,2-4
59,1,40,16,mobilize,move2,move1,1,move2,1-2,1-1,-1,-1
