turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,mobilize,move2,-1,None,-1,-1,-1,-1
1,1,0,0,move1,mobilize,mobilize,2,mobilize,1-0,2-1,-1,-1
2,0,0,0,move1,mobilize,mobilize,0,move1,2-4,2-3,-1,-1
3,1,0,0,move1,mobilize,mobilize,0,move1,3-0,3-1,-1,-1
4,0,0,1,move1,mobilize,mobilize,0,move1,2-3,2-2,-1,-1
5,1,0,1,capture,mobilize,mobilize,0,capture,2-0,3-0,-1,-1
6,0,0,5,capture,mobilize,mobilize,0,capture,2-2,2-1,-1,-1
7,1,3,5,mobilize,mobilize,mobilize,0,mobilize,3-1,3-4,3-0,-1
8,0,3,6,capture,mobilize,mobilize,0,capture,1-4,1-3,2-4,2-3
9,1,3,6,capture,swap,mobilize,1,swap,1-0,2-0,3-1,2-1
10,0,3,10,move1,swap,mobilize,0,move1,2-2,2-1,-1,-1
11,1,3,10,move1,move1,mobilize,1,move1,1-0,1-3,-1,-1
12,0,3,11,capture,move1,mobilize,0,capture,1-0,1-1,-1,-1
13,1,6,11,move1,move1,mobilize,0,move1,1-3,2-3,-1,-1
14,0,6,12,move1,move1,move2,2,move2,1-1,2-1,1-4,2-4
15,1,6,12,move1,move1,capture,2,capture,1-3,1-1,-1,-1
16,0,6,16,move1,move1,move2,2,move2,2-1,2-0,-1,-1
17,1,6,16,move1,move1,swap,2,swap,3-0,2-0,-1,-1
18,0,6,17,mobilize,move1,swap,0,mobilize,2-4,2-3,-1,-1
19,1,6,17,mobilize,move1,mobilize,2,mobilize,1-0,2-1,-1,-1
20,0,6,18,mobilize,move2,mobilize,1,move2,1-0,0-0,-1,-1
21,1,6,18,mobilize,move1,mobilize,1,move1,1-1,1-0,-1,-1
22,0,6,19,mobilize,move2,mobilize,1,move2,0-0,0-1,-1,-1
23,1,6,19,mobilize,swap,mobilize,1,swap,1-0,1-1,-1,-1
24,0,6,20,mobilize,move2,mobilize,1,move2,0-1,2-1,-1,-1
25,1,6,20,mobilize,swap,mobilize,1,swap,2-0,1-0,-1,-1
26,0,6,21,mobilize,move1,mobilize,1,move1,2-3,1-1,-1,-1
27,1,6,21,move2,move1,mobilize,0,move2,0-1,0-2,2-3,1-3
28,0,6,22,move2,move1,mobilize,1,move1,1-1,1-2,-1,-1
29,1,6,22,capture,move1,mobilize,0,capture,0-2,1-1,-1,-1
30,0,6,26,swap,move1,mobilize,0,swap,2-1,1-1,-1,-1
31,1,6,26,move1,move1,mobilize,0,move1,1-0,2-1,-1,-1
32,0,6,27,capture,move1,mobilize,0,capture,1-0,1-1,-1,-1
33,1,9,27,mobilize,move1,mobilize,0,mobilize,1-3,1-2,-1,-1
34,0,9,28,mobilize,swap,mobilize,1,swap,1-1,1-2,-1,-1
35,1,9,28,mobilize,move1,mobilize,1,move1,2-0,1-2,-1,-1
36,0,9,29,mobilize,move1,mobilize,1,move1,1-4,2-4,-1,-1
37,1,9,29,mobilize,move2,mobilize,1,move2,1-3,2-3,-1,-1
38,0,9,30,mobilize,swap,mobilize,1,swap,2-0,1-1,-1,-1
39,1,10,30,mobilize,capture,mobilize,1,capture,1-2,2-2,-1,-1
40,0,10,33,mobilize,move2,mobilize,1,move2,1-1,2-1,-1,-1
41,1,11,33,mobilize,mobilize,mobilize,1,mobilize,1-0,2-1,-1,-1
42,0,11,33,move2,mobilize,mobilize,0,move2,1-1,1-0,2-4,1-4
43,1,12,33,move2,mobilize,mobilize,0,move2,2-1,3-2,-1,-1
44,0,12,33,capture,mobilize,mobilize,0,capture,1-0,1-1,-1,-1
45,1,16,33,move1,mobilize,mobilize,0,move1,2-2,1-2,-1,-1
46,0,16,33,capture,mobilize,mobilize,0,capture,1-1,1-2,-1,-1
47,1,20,33,move2,mobilize,mobilize,0,move2,2-3,2-4,-1,-1
48,0,20,33,move1,mobilize,mobilize,0,move1,1-2,2-1,-1,-1
49,1,21,33,swap,mobilize,mobilize,0,swap,3-2,3-3,-1,-1
50,0,21,34,mobilize,mobilize,mobilize,0,mobilize,1-4,2-2,-1,-1
51,1,21,34,move1,mobilize,mobilize,0,move1,1-4,1-3,3-3,3-2
52,0,21,35,move1,mobilize,mobilize,0,move1,2-1,3-1,-1,-1
53,1,21,35,mobilize,mobilize,mobilize,0,mobilize,1-3,1-2,-1,-1
54,0,21,36,move2,mobilize,mobilize,0,move2,3-1,2-1,2-4,1-4
55,1,21,36,capture,mobilize,mobilize,0,capture,2-3,1-3,-1,-1
56,0,21,40,move1,mobilize,mobilize,0,move1,2-2,1-2,-1,-1
