turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,mobilize,move2,-1,None,-1,-1,-1,-1
1,1,0,0,move1,mobilize,move2,1,mobilize,2-0,2-1,3-0,4-0
2,0,0,1,move1,mobilize,move1,2,move1,2-4,2-2,-1,-1
3,1,0,1,move1,move1,move1,1,move1,2-1,3-1,4-0,3-0
4,0,0,2,move1,move1,move1,0,move1,3-4,2-4,-1,-1
5,1,0,2,capture,move1,move1,0,capture,1-0,0-0,-1,-1
6,0,0,3,capture,capture,move1,1,capture,1-4,1-3,-1,-1
7,1,0,3,capture,capture,mobilize,2,mobilize,3-1,3-2,-1,-1
8,0,0,7,capture,capture,mobilize,0,capture,2-2,3-2,-1,-1
9,1,0,7,capture,capture,swap,2,swap,1-0,2-0,3-0,3-1
10,0,0,7,capture,capture,move1,2,move1,2-2,2-0,-1,-1
11,1,1,7,capture,capture,move1,2,move1,3-1,3-2,-1,-1
12,0,1,7,capture,capture,capture,2,capture,1-3,1-2,-1,-1
13,1,5,7,capture,move1,capture,1,move1,2-2,1-2,3-2,-1
14,0,5,7,capture,move2,capture,1,move2,2-0,2-1,-1,-1
15,1,5,7,capture,capture,capture,1,capture,2-2,3-3,-1,-1
16,0,5,7,capture,capture,capture,-1,None,-1,-1,-1,-1
17,1,5,7,move2,swap,mobilize,-1,None,-1,-1,-1,-1
18,0,5,8,move2,swap,mobilize,2,mobilize,1-4,1-3,2-1,2-2
19,1,5,8,move2,swap,move2,2,move2,0-0,1-0,3-2,3-1
20,0,5,9,move1,swap,move2,0,move1,2-4,2-3,-1,-1
21,1,5,9,move1,swap,move2,2,move2,1-0,2-1,-1,-1
22,0,5,10,move1,swap,move2,1,swap,1-3,3-3,-1,-1
23,1,5,10,move1,move2,move2,1,move2,1-3,2-3,-1,-1
24,0,5,11,move1,swap,move2,1,swap,3-3,3-2,-1,-1
25,1,5,11,move1,swap,move1,2,move1,2-1,1-0,-1,-1
26,0,5,12,move2,swap,move1,0,move2,1-3,1-2,-1,-1
27,1,5,12,move1,swap,move1,0,move1,2-3,3-3,-1,-1
28,0,5,13,move1,move1,move1,1,move1,1-2,3-3,-1,-1
29,1,5,13,move1,swap,move1,1,swap,1-0,1-1,-1,-1
30,0,5,14,move1,mobilize,move1,1,mobilize,3-3,3-1,-1,-1
31,1,5,14,move1,swap,move1,1,swap,1-1,1-0,1-2,1-3
32,0,5,15,move1,capture,move1,1,capture,3-1,3-3,-1,-1
33,1,5,15,move2,capture,move1,0,move2,1-3,1-2,-1,-1
34,0,5,19,move2,move2,move1,1,move2,2-2,1-2,-1,-1
35,1,5,19,move2,move2,move1,1,move2,1-0,0-0,-1,-1
36,0,5,20,move2,move2,swap,2,swap,3-3,2-3,-1,-1
37,1,6,20,move2,move2,mobilize,2,mobilize,3-1,2-2,-1,-1
38,0,6,20,capture,move2,mobilize,0,capture,3-2,3-3,-1,-1
39,1,7,20,capture,mobilize,mobilize,1,mobilize,2-0,4-0,-1,-1
40,0,7,23,mobilize,mobilize,mobilize,0,mobilize,2-3,2-2,-1,-1
41,1,7,23,mobilize,capture,mobilize,1,capture,0-0,0-1,4-0,3-0
42,0,7,26,mobilize,move2,mobilize,1,move2,3-1,3-0,-1,-1
43,1,7,26,capture,move2,mobilize,0,capture,0-1,0-0,1-0,1-1
44,0,7,27,capture,capture,mobilize,1,capture,3-1,2-2,-1,-1
45,1,7,27,capture,capture,move1,2,move1,0-0,0-1,2-0,3-0
46,0,7,28,capture,capture,move2,2,move2,3-3,3-2,-1,-1
47,1,7,28,capture,capture,mobilize,2,mobilize,3-0,1-0,-1,-1
48,0,7,29,capture,capture,move1,2,move1,3-2,3-3,2-3,2-4
49,1,7,29,capture,capture,move1,2,move1,1-0,2-0,-1,-1
50,0,7,30,capture,capture,move1,2,move1,3-3,2-3,-1,-1
51,1,7,30,capture,capture,mobilize,2,mobilize,0-1,0-2,-1,-1
52,0,7,34,move1,capture,mobilize,0,move1,2-2,2-0,2-3,-1
53,1,7,34,move1,capture,capture,2,capture,0-2,0-3,1-0,2-0
54,0,7,38,move1,move1,capture,1,move1,2-2,2-0,2-3,-1
55,1,7,38,move1,move2,capture,1,move2,1-1,1-2,-1,-1
56,0,7,42,move1,move2,swap,2,swap,2-2,1-2,-1,-1
