turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,capture,mobilize,-1,None,-1,-1,-1,-1
1,1,0,0,move1,capture,mobilize,2,mobilize,1-2,2-2,5-2,4-2
2,0,0,0,move1,capture,move1,2,move1,5-4,5-3,1-4,1-5
3,1,0,0,swap,capture,move1,0,swap,2-2,3-2,-1,-1
4,0,0,0,move1,capture,move1,0,move1,3-5,3-2,-1,-1
5,1,3,0,move1,move1,move1,1,move1,3-1,3-2,-1,-1
6,0,3,0,move1,move1,mobilize,2,mobilize,5-3,4-3,-1,-1
7,1,3,0,move1,move1,mobilize,2,mobilize,3-5,3-4,4-2,3-2
8,0,3,4,move1,move1,capture,2,capture,5-4,4-4,4-3,3-3
9,1,6,4,move1,move1,capture,2,capture,3-4,3-3,-1,-1
10,0,6,7,move1,move1,move2,2,move2,3-5,3-4,-1,-1
11,1,10,7,mobilize,move1,move2,0,mobilize,3-2,3-3,-1,-1
12,0,10,7,move2,move1,move2,0,move2,4-4,4-5,1-5,2-5
13,1,14,7,move2,move1,move2,0,move2,1-2,3-2,-1,-1
14,0,14,7,move2,capture,move2,1,capture,4-5,4-4,-1,-1
15,1,21,7,move2,swap,move2,1,swap,3-3,3-5,3-2,-1
16,0,21,11,move2,move1,move2,1,move1,4-4,3-3,-1,-1
17,1,21,11,move2,move1,move2,0,move2,4-4,4-2,-1,-1
18,0,21,15,move2,move1,move2,2,move2,2-5,2-4,-1,-1
19,1,21,15,capture,move1,move2,0,capture,4-2,4-1,-1,-1
20,0,21,22,move1,move1,move2,0,move1,3-3,3-2,-1,-1
21,1,21,22,move1,move1,move2,2,move2,1-2,3-2,-1,-1
22,0,21,26,swap,move1,move2,0,swap,3-5,3-6,-1,-1
23,1,25,26,move1,move1,move2,0,move1,4-1,3-3,-1,-1
24,0,25,26,move1,move1,move1,2,move1,3-6,2-6,-1,-1
25,1,29,26,swap,move1,move1,0,swap,3-2,2-2,-1,-1
26,0,29,30,swap,move1,move1,0,swap,2-4,3-3,-1,-1
27,1,33,30,mobilize,move1,move1,0,mobilize,2-4,3-3,-1,-1
28,0,33,30,mobilize,capture,move1,1,capture,4-1,4-0,-1,-1
29,1,37,30,mobilize,capture,move2,2,move2,2-2,3-2,-1,-1
30,0,37,30,mobilize,capture,capture,2,capture,4-0,5-1,-1,-1
31,1,41,30,mobilize,capture,capture,0,mobilize,3-1,2-1,3-2,2-2
32,0,41,30,swap,capture,capture,0,swap,2-6,3-6,2-4,1-4
33,1,45,30,move1,capture,capture,0,move1,2-2,1-4,-1,-1
34,0,45,30,swap,capture,capture,0,swap,2-2,3-2,-1,-1
35,1,52,30,swap,capture,capture,1,capture,3-3,3-2,-1,-1
36,0,52,34,mobilize,capture,capture,0,mobilize,3-6,3-3,-1,-1
37,1,55,34,mobilize,capture,capture,1,capture,3-6,3-5,-1,-1
38,0,55,38,move2,capture,capture,0,move2,5-1,5-2,3-5,3-4
39,1,55,38,move1,capture,capture,0,move1,3-6,2-5,-1,-1
40,0,55,42,swap,capture,capture,0,swap,5-2,5-3,-1,-1
41,1,59,42,capture,capture,capture,0,capture,2-1,3-3,-1,-1
42,0,59,45,capture,mobilize,capture,1,mobilize,3-4,3-3,-1,-1
43,1,62,45,move2,mobilize,capture,0,move2,3-1,2-1,-1,-1
44,0,62,49,move2,mobilize,capture,1,mobilize,5-3,6-3,3-4,3-3
45,1,65,49,move2,mobilize,move1,2,move1,2-5,3-5,-1,-1
46,0,65,53,move2,mobilize,move1,0,move2,6-3,5-2,-1,-1
47,1,65,53,move2,move1,move1,1,move1,3-1,3-2,1-4,2-4
48,0,65,57,move2,move1,move1,0,move2,5-2,6-1,-1,-1
49,1,65,57,move1,move1,move1,0,move1,3-2,2-3,-1,-1
50,0,65,61,move1,move2,move1,1,move2,3-5,3-4,-1,-1
