turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,capture,mobilize,-1,None,-1,-1,-1,-1
1,1,0,0,move1,capture,mobilize,2,mobilize,3-1,3-2,1-2,2-2
2,0,0,0,move1,capture,move1,2,move1,3-5,2-5,1-4,2-4
3,1,4,0,swap,capture,move1,0,swap,3-2,3-3,-1,-1
4,0,4,0,swap,capture,move1,2,move1,2-5,1-5,-1,-1
5,1,8,0,swap,capture,move1,2,move1,2-2,3-2,-1,-1
6,0,8,0,swap,capture,mobilize,2,mobilize,5-4,6-4,-1,-1
7,1,12,0,swap,capture,mobilize,2,mobilize,3-2,2-2,5-2,4-2
8,0,12,0,swap,capture,capture,2,capture,6-4,6-5,2-4,2-5
9,1,16,0,capture,capture,capture,0,capture,2-2,2-5,-1,-1
10,0,16,3,move2,capture,capture,0,move2,1-5,2-5,-1,-1
11,1,20,3,mobilize,capture,capture,0,mobilize,4-2,3-2,-1,-1
12,0,20,3,move2,capture,capture,0,move2,6-5,6-6,2-2,1-2
13,1,24,3,move2,capture,capture,0,move2,3-1,2-2,-1,-1
14,0,24,6,move2,capture,capture,1,capture,1-2,2-2,-1,-1
15,1,28,6,swap,capture,capture,0,swap,3-1,2-2,-1,-1
16,0,28,6,move1,capture,capture,0,move1,1-2,2-2,-1,-1
17,1,35,6,move1,move2,capture,1,move2,1-2,2-2,-1,-1
18,0,35,6,move2,move2,capture,0,move2,1-5,2-5,-1,-1
19,1,42,6,move2,move2,capture,2,capture,3-3,3-5,3-2,-1
20,0,42,6,move1,move2,capture,0,move1,6-6,5-6,-1,-1
21,1,49,6,move1,move2,move2,2,move2,3-3,3-5,3-2,-1
22,0,49,6,swap,move2,move2,0,swap,3-5,3-6,-1,-1
23,1,53,6,swap,move1,move2,1,move1,1-2,2-3,-1,-1
24,0,53,6,swap,move1,move1,2,move1,5-6,4-6,-1,-1
25,1,57,6,swap,swap,move1,1,swap,2-3,2-2,-1,-1
26,0,57,6,swap,swap,move2,2,move2,2-5,2-6,-1,-1
27,1,61,6,swap,swap,mobilize,2,mobilize,2-2,2-3,-1,-1
28,0,61,10,swap,capture,mobilize,1,capture,3-6,3-3,-1,-1
29,1,65,10,capture,capture,mobilize,0,capture,3-6,3-3,-1,-1
30,0,65,10,capture,capture,move1,2,move1,4-6,4-5,3-6,3-5
31,1,72,10,mobilize,capture,move1,0,mobilize,3-3,3-5,3-2,-1
32,0,72,10,move1,capture,move1,0,move1,2-6,3-6,4-5,4-4
33,1,79,10,move1,move1,move1,1,move1,3-3,3-5,3-2,-1
34,0,79,10,move1,move1,move1,2,move1,3-6,2-6,-1,-1
35,1,83,10,move2,move1,move1,0,move2,3-2,2-2,-1,-1
36,0,83,10,mobilize,move1,move1,0,mobilize,4-4,2-4,-1,-1
37,1,87,10,mobilize,swap,move1,1,swap,2-2,3-2,-1,-1
38,0,87,10,move2,swap,move1,0,move2,2-6,2-5,2-4,1-4
39,1,91,10,move1,swap,move1,0,move1,2-3,3-4,-1,-1
40,0,91,10,move1,swap,swap,2,swap,3-5,3-6,-1,-1
41,1,95,10,move2,swap,swap,0,move2,3-2,2-2,-1,-1
42,0,95,10,mobilize,swap,swap,0,mobilize,1-4,0-3,-1,-1
43,1,99,10,capture,swap,swap,0,capture,3-4,2-4,2-2,2-3
44,0,99,10,capture,swap,mobilize,2,mobilize,0-3,2-4,-1,-1
45,1,103,10,capture,move1,mobilize,1,move1,0-3,2-4,-1,-1
46,0,103,10,capture,move1,move1,2,move1,2-5,3-5,0-3,0-4
47,1,107,10,capture,move1,move1,1,move1,2-4,3-4,-1,-1
48,0,107,10,capture,capture,move1,1,capture,0-4,0-5,-1,-1
49,1,114,10,capture,capture,move1,0,capture,3-4,3-5,-1,-1
50,0,114,10,capture,capture,move2,2,move2,0-5,0-4,-1,-1
