turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,mobilize,move2,-1,None,-1,-1,-1,-1
1,1,0,0,mobilize,mobilize,move2,0,mobilize,3-1,3-2,-1,-1
2,0,0,4,mobilize,mobilize,move1,2,move1,3-5,3-3,-1,-1
3,1,0,4,mobilize,move1,move1,1,move1,1-2,0-2,5-2,5-3
4,0,0,8,move1,move1,move1,0,move1,5-4,4-4,1-4,2-4
5,1,0,8,move1,capture,move1,1,capture,5-3,5-2,-1,-1
6,0,0,15,move1,capture,move1,1,capture,3-3,3-2,-1,-1
7,1,0,15,move1,capture,mobilize,2,mobilize,3-1,2-1,-1,-1
8,0,0,19,move1,capture,capture,2,capture,4-4,4-3,2-4,2-3
9,1,0,19,swap,capture,capture,0,swap,2-1,1-1,-1,-1
10,0,0,23,move1,capture,capture,0,move1,4-3,5-2,-1,-1
11,1,3,23,move1,move1,capture,1,move1,4-3,3-3,-1,-1
12,0,3,27,capture,move1,capture,0,capture,2-3,3-3,-1,-1
13,1,6,27,move1,move1,capture,0,move1,4-3,3-3,-1,-1
14,0,6,27,move2,move1,capture,0,move2,3-5,3-4,-1,-1
15,1,6,27,capture,move1,capture,0,capture,1-1,2-2,-1,-1
16,0,6,31,capture,move2,capture,1,move2,3-4,3-3,-1,-1
17,1,9,31,swap,move2,capture,0,swap,4-3,3-3,-1,-1
18,0,9,35,swap,mobilize,capture,1,mobilize,3-5,3-3,-1,-1
19,1,13,35,mobilize,mobilize,capture,0,mobilize,4-3,3-3,-1,-1
20,0,13,38,mobilize,mobilize,move2,2,move2,4-3,3-3,-1,-1
21,1,13,38,mobilize,move1,move2,1,move1,2-2,2-1,3-1,3-2
22,0,13,42,move2,move1,move2,0,move2,4-3,3-3,5-2,5-3
23,1,13,42,move2,move1,swap,2,swap,0-2,1-2,-1,-1
24,0,13,46,move2,move1,swap,0,move2,5-4,4-3,-1,-1
25,1,17,46,move2,move1,swap,2,swap,1-2,3-3,-1,-1
26,0,17,50,move2,move1,move1,2,move1,1-2,3-3,-1,-1
27,1,17,50,swap,move1,move1,0,swap,1-2,0-2,-1,-1
28,0,17,54,mobilize,move1,move1,0,mobilize,5-3,3-2,-1,-1
29,1,17,54,mobilize,move1,capture,2,capture,2-1,2-2,-1,-1
30,0,17,61,mobilize,move1,move2,2,move2,3-2,2-2,-1,-1
31,1,17,61,mobilize,move1,mobilize,2,mobilize,5-3,5-1,-1,-1
32,0,17,65,mobilize,swap,mobilize,1,swap,4-3,4-2,-1,-1
33,1,21,65,mobilize,mobilize,mobilize,1,mobilize,3-1,3-3,-1,-1
34,0,21,65,swap,mobilize,mobilize,0,swap,3-1,4-1,4-2,4-3
35,1,25,65,mobilize,mobilize,mobilize,0,mobilize,0-2,3-2,-1,-1
36,0,25,65,move2,mobilize,mobilize,0,move2,4-1,4-2,0-2,1-2
37,1,29,65,move2,mobilize,mobilize,0,move2,5-1,5-3,-1,-1
38,0,29,65,swap,mobilize,mobilize,0,swap,1-2,2-3,-1,-1
39,1,33,65,capture,mobilize,mobilize,0,capture,5-3,4-3,-1,-1
40,0,33,68,move1,mobilize,mobilize,0,move1,4-2,4-3,-1,-1
41,1,37,68,move1,move1,mobilize,1,move1,3-2,2-2,3-1,2-1
42,0,37,68,capture,move1,mobilize,0,capture,4-2,4-3,-1,-1
43,1,44,68,move2,move1,mobilize,0,move2,2-2,2-3,-1,-1
44,0,44,68,move1,move1,mobilize,0,move1,3-5,4-4,-1,-1
45,1,48,68,move1,move1,move2,2,move2,2-2,2-3,2-1,1-1
46,0,48,68,move1,move1,move1,2,move1,4-4,5-4,-1,-1
47,1,52,68,move1,mobilize,move1,1,mobilize,1-1,1-2,-1,-1
48,0,52,68,capture,mobilize,move1,0,capture,5-4,4-4,-1,-1
49,1,59,68,capture,mobilize,move1,0,capture,3-3,4-3,-1,-1
50,0,59,68,capture,move1,move1,1,move1,3-5,3-4,5-3,5-4
