turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,capture,mobilize,-1,None,-1,-1,-1,-1
1,1,0,0,move1,capture,mobilize,2,mobilize,3-1,2-1,1-2,1-3
2,0,0,0,move1,capture,move1,2,move1,3-5,4-5,1-4,2-4
3,1,0,0,swap,capture,move1,0,swap,5-2,5-3,-1,-1
4,0,0,0,swap,capture,move1,2,move1,4-5,5-5,-1,-1
5,1,3,0,swap,move1,move1,1,move1,5-3,5-4,-1,-1
6,0,3,0,swap,move1,mobilize,2,mobilize,2-4,2-3,-1,-1
7,1,3,0,swap,move1,mobilize,2,mobilize,1-3,1-2,5-3,5-2
8,0,3,0,swap,move1,capture,2,capture,5-5,5-6,3-5,4-5
9,1,3,0,swap,capture,capture,1,capture,2-1,1-1,-1,-1
10,0,3,0,move2,capture,capture,0,move2,2-3,1-1,-1,-1
11,1,7,0,mobilize,capture,capture,0,mobilize,2-3,3-3,-1,-1
12,0,7,0,move2,capture,capture,0,move2,4-5,5-5,1-1,0-1
13,1,11,0,move2,capture,capture,0,move2,1-2,0-2,-1,-1
14,0,11,0,capture,capture,capture,0,capture,5-5,6-5,-1,-1
15,1,18,0,swap,capture,capture,0,swap,0-2,0-1,-1,-1
16,0,18,4,move1,capture,capture,0,move1,3-5,3-3,-1,-1
17,1,18,4,move2,capture,capture,0,move2,3-5,2-5,-1,-1
18,0,18,8,move2,capture,capture,0,move2,5-6,3-6,-1,-1
19,1,18,8,capture,capture,capture,0,capture,0-2,1-3,-1,-1
20,0,18,8,capture,capture,capture,-1,None,-1,-1,-1,-1
21,1,18,8,move1,move2,swap,-1,None,-1,-1,-1,-1
22,0,18,8,move1,move2,swap,0,move1,3-3,3-4,-1,-1
23,1,18,8,move1,move1,swap,1,move1,2-5,2-3,-1,-1
24,0,18,8,move1,swap,swap,1,swap,3-6,2-6,-1,-1
25,1,22,8,move1,swap,swap,0,move1,2-3,3-3,-1,-1
26,0,22,8,mobilize,swap,swap,0,mobilize,3-4,2-4,-1,-1
27,1,26,8,mobilize,swap,swap,2,swap,1-3,2-4,-1,-1
28,0,26,8,capture,swap,swap,0,capture,2-6,1-6,1-3,0-3
29,1,26,8,capture,swap,capture,2,capture,3-3,0-3,-1,-1
30,0,26,8,capture,mobilize,capture,1,mobilize,3-3,5-2,-1,-1
31,1,30,8,capture,move1,capture,1,move1,0-3,0-4,2-4,2-3
32,0,30,8,capture,move1,capture,1,move1,5-2,4-2,-1,-1
33,1,34,8,capture,move1,capture,1,move1,2-3,2-4,-1,-1
34,0,34,8,capture,capture,capture,1,capture,1-6,0-6,-1,-1
35,1,34,8,capture,capture,capture,-1,None,-1,-1,-1,-1
36,0,34,8,mobilize,move1,move2,-1,None,-1,-1,-1,-1
37,1,38,8,mobilize,move1,move1,2,move1,2-4,2-2,-1,-1
38,0,38,8,mobilize,move1,swap,2,swap,0-6,1-6,-1,-1
39,1,42,8,mobilize,move1,capture,2,capture,0-4,1-6,-1,-1
40,0,42,8,mobilize,move1,capture,0,mobilize,0-4,0-5,4-2,3-2
41,1,46,8,move2,move1,capture,0,move2,1-6,0-6,2-2,2-3
42,0,46,8,mobilize,move1,capture,0,mobilize,0-5,0-4,-1,-1
43,1,53,8,mobilize,move1,capture,2,capture,3-3,3-2,-1,-1
44,0,53,8,move2,move1,capture,0,move2,0-4,0-5,3-5,3-4
45,1,60,8,move2,move1,move1,2,move1,0-6,0-5,-1,-1
46,0,60,8,move2,move1,move1,1,move1,6-5,6-4,-1,-1
47,1,64,8,move2,move1,move2,2,move2,0-6,0-5,-1,-1
48,0,64,8,move2,move1,move2,0,move2,3-4,2-4,-1,-1
49,1,68,8,move2,move1,move2,0,move2,0-5,0-3,-1,-1
50,0,68,8,mobilize,move1,move2,0,mobilize,6-4,5-4,-1,-1
