turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,capture,swap,move2,-1,None,-1,-1,-1,-1
1,1,4,0,capture,swap,move2,2,move2,3-1,3-3,-1,-1
2,0,4,4,capture,capture,move2,1,capture,5-4,3-3,-1,-1
3,1,4,4,capture,capture,move1,2,move1,1-2,2-1,-1,-1
4,0,4,8,capture,capture,move1,2,move1,1-4,2-4,-1,-1
5,1,4,8,capture,capture,swap,2,swap,5-4,5-3,-1,-1
6,0,4,12,capture,capture,capture,2,capture,2-4,2-1,-1,-1
7,1,4,12,capture,capture,capture,-1,None,-1,-1,-1,-1
8,0,4,12,move2,move2,mobilize,-1,None,-1,-1,-1,-1
9,1,4,12,mobilize,move2,mobilize,0,mobilize,5-2,6-3,-1,-1
10,0,4,16,mobilize,move1,mobilize,1,move1,2-1,2-3,-1,-1
11,1,4,16,mobilize,move1,mobilize,1,move1,2-4,3-4,-1,-1
12,0,4,20,mobilize,capture,mobilize,1,capture,2-3,2-4,-1,-1
13,1,7,20,mobilize,move1,mobilize,1,move1,5-3,3-3,6-3,-1
14,0,7,20,move2,move1,mobilize,0,move2,3-5,3-6,2-4,2-3
15,1,11,20,move2,move1,capture,2,capture,5-3,5-2,3-4,3-3
16,0,11,23,move2,move1,mobilize,2,mobilize,2-3,3-3,-1,-1
17,1,15,23,mobilize,move1,mobilize,0,mobilize,3-1,3-3,-1,-1
18,0,15,23,move1,move1,mobilize,0,move1,3-6,3-5,5-4,5-3
19,1,19,23,move1,move1,move2,2,move2,5-2,6-2,6-3,6-4
20,0,19,23,move1,move1,move2,0,move1,3-5,3-4,-1,-1
21,1,23,23,swap,move1,move2,0,swap,6-2,5-2,-1,-1
22,0,23,27,swap,move1,move2,0,swap,5-3,3-3,-1,-1
23,1,27,27,mobilize,move1,move2,0,mobilize,5-2,3-3,-1,-1
24,0,27,27,move1,move1,move2,0,move1,3-4,3-5,5-2,5-1
25,1,31,27,move1,move1,move2,0,move1,5-3,4-3,-1,-1
26,0,31,27,move2,move1,move2,0,move2,3-5,3-4,-1,-1
27,1,35,27,swap,move1,move2,0,swap,4-3,3-2,-1,-1
28,0,35,31,swap,move1,move2,0,swap,2-3,3-3,-1,-1
29,1,39,31,move2,move1,move2,0,move2,3-2,3-3,-1,-1
30,0,39,31,mobilize,move1,move2,0,mobilize,3-4,3-5,-1,-1
31,1,43,31,mobilize,move1,mobilize,2,mobilize,6-4,4-4,-1,-1
32,0,43,31,move1,move1,mobilize,0,move1,3-5,3-4,5-1,5-0
33,1,47,31,move1,move1,move2,2,move2,2-3,1-3,4-4,4-3
34,0,47,31,swap,move1,move2,0,swap,3-4,3-5,-1,-1
35,1,51,31,swap,move1,move1,2,move1,1-3,2-3,-1,-1
36,0,51,35,capture,move1,move1,0,capture,3-5,3-3,-1,-1
37,1,54,35,mobilize,move1,move1,0,mobilize,2-3,3-3,-1,-1
38,0,54,39,mobilize,move1,move1,0,mobilize,5-4,5-3,3-2,3-3
39,1,54,39,swap,move1,move1,0,swap,2-3,1-3,3-5,4-5
40,0,54,43,capture,move1,move1,0,capture,5-3,4-3,-1,-1
41,1,57,43,capture,move1,move1,0,capture,5-3,4-3,-1,-1
42,0,57,50,move1,move1,move1,0,move1,3-5,4-5,-1,-1
43,1,57,50,move1,capture,move1,1,capture,3-1,3-0,-1,-1
44,0,57,54,capture,capture,move1,0,capture,3-5,3-4,-1,-1
45,1,57,54,capture,capture,move1,2,move1,5-3,5-4,-1,-1
46,0,57,61,mobilize,capture,move1,0,mobilize,3-3,3-0,3-4,-1
47,1,57,61,move2,capture,move1,0,move2,1-3,1-4,5-4,4-4
48,0,57,68,move2,move1,move1,1,move1,3-3,3-1,3-4,-1
49,1,57,68,move1,move1,move1,0,move1,4-4,3-5,-1,-1
50,0,57,72,move2,move1,move1,0,move2,5-0,5-1,-1,-1
