turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,capture,mobilize,-1,None,-1,-1,-1,-1
1,1,0,0,mobilize,capture,mobilize,0,mobilize,3-1,3-2,-1,-1
2,0,0,0,mobilize,capture,move1,2,move1,3-5,4-5,1-4,2-4
3,1,4,0,swap,capture,move1,0,swap,3-2,3-3,1-2,1-3
4,0,4,0,swap,capture,move1,2,move1,4-5,5-5,-1,-1
5,1,8,0,move1,capture,move1,0,move1,5-2,5-4,-1,-1
6,0,8,3,move1,mobilize,move1,1,mobilize,5-5,5-4,-1,-1
7,1,12,3,move1,mobilize,move1,1,mobilize,1-3,2-3,3-1,3-2
8,0,12,3,move1,capture,move1,1,capture,5-2,6-2,2-4,3-4
9,1,19,3,move1,capture,move1,1,capture,3-3,3-4,-1,-1
10,0,19,3,move1,capture,move2,2,move2,3-5,2-5,-1,-1
11,1,23,3,move1,capture,mobilize,2,mobilize,2-3,2-2,-1,-1
12,0,23,3,move1,capture,move2,2,move2,5-5,4-5,2-5,1-5
13,1,30,3,move1,move2,move2,1,move2,3-2,6-2,2-2,-1
14,0,30,3,capture,move2,move2,0,capture,4-5,4-6,-1,-1
15,1,37,3,swap,move2,move2,0,swap,3-3,3-5,3-2,-1
16,0,37,3,swap,move2,move1,2,move1,4-6,4-4,-1,-1
17,1,41,3,swap,move2,move1,1,move2,2-2,3-1,-1,-1
18,0,41,3,swap,move2,move1,1,move2,3-5,3-6,-1,-1
19,1,45,3,swap,capture,move1,1,capture,3-1,2-2,-1,-1
20,0,45,3,swap,capture,move1,2,move1,1-5,1-4,-1,-1
21,1,52,3,swap,move2,move1,1,move2,3-3,3-6,3-2,-1
22,0,52,3,swap,move2,move1,0,swap,3-5,3-2,-1,-1
23,1,56,3,move1,move2,move1,0,move1,3-5,3-2,-1,-1
24,0,56,3,move1,move2,move1,0,move1,1-4,0-4,-1,-1
25,1,60,3,move1,swap,move1,1,swap,2-2,3-1,-1,-1
26,0,60,3,swap,swap,move1,0,swap,4-4,5-4,-1,-1
27,1,64,3,swap,swap,mobilize,2,mobilize,3-1,2-1,-1,-1
28,0,64,3,swap,swap,move1,2,move1,5-4,5-3,0-4,0-5
29,1,68,3,swap,swap,capture,2,capture,2-1,3-1,-1,-1
30,0,68,3,swap,swap,capture,1,swap,3-5,3-2,-1,-1
31,1,75,3,swap,swap,mobilize,2,mobilize,3-3,3-2,-1,-1
32,0,75,3,swap,swap,move1,2,move1,5-3,6-3,5-4,4-4
33,1,79,3,swap,swap,move2,2,move2,3-1,3-2,-1,-1
34,0,79,3,swap,swap,move1,2,move1,4-4,4-6,-1,-1
35,1,83,3,swap,swap,capture,2,capture,3-5,3-4,-1,-1
36,0,83,7,mobilize,swap,capture,0,mobilize,6-3,3-3,-1,-1
37,1,86,7,mobilize,swap,capture,2,capture,3-2,3-3,-1,-1
38,0,86,7,move1,swap,capture,0,move1,4-6,4-5,0-5,1-5
39,1,89,7,move1,swap,mobilize,2,mobilize,3-4,3-5,-1,-1
40,0,89,7,move1,swap,move2,2,move2,3-5,3-6,4-5,5-5
41,1,93,7,move1,swap,move2,0,move1,3-2,3-3,-1,-1
42,0,93,7,move1,swap,move2,0,move1,3-6,3-5,-1,-1
43,1,97,7,move1,swap,move2,2,move2,6-3,4-3,-1,-1
44,0,97,7,move1,mobilize,move2,1,mobilize,3-5,3-4,-1,-1
45,1,101,7,move1,mobilize,swap,2,swap,3-5,4-4,-1,-1
46,0,101,7,move1,move2,swap,1,move2,5-5,5-4,1-5,1-4
47,1,105,7,move1,move2,capture,2,capture,4-3,3-4,-1,-1
48,0,105,7,move1,move2,capture,1,move2,5-4,6-4,-1,-1
49,1,112,7,move1,move2,move1,2,move1,3-3,4-3,-1,-1
50,0,112,7,move1,capture,move1,1,capture,3-5,2-5,-1,-1
