turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,capture,swap,move2,-1,None,-1,-1,-1,-1
1,1,4,0,capture,swap,move2,2,move2,3-1,3-3,-1,-1
2,0,4,4,capture,capture,move2,1,capture,5-4,3-3,-1,-1
3,1,4,4,capture,capture,move1,2,move1,5-4,5-3,-1,-1
4,0,4,8,capture,capture,move1,2,move1,3-5,3-4,-1,-1
5,1,4,8,capture,capture,swap,2,swap,1-2,2-2,-1,-1
6,0,4,12,capture,capture,capture,2,capture,3-4,5-3,-1,-1
7,1,7,12,move2,capture,capture,0,move2,5-2,5-3,-1,-1
8,0,7,19,move2,move2,capture,1,move2,3-5,3-4,-1,-1
9,1,7,19,mobilize,move2,capture,0,mobilize,5-2,3-2,-1,-1
10,0,7,26,mobilize,move2,mobilize,2,mobilize,3-3,3-2,-1,-1
11,1,7,26,mobilize,move1,mobilize,1,move1,2-2,3-2,-1,-1
12,0,7,30,move1,move1,mobilize,0,move1,3-5,3-4,1-4,2-4
13,1,7,30,move1,move1,capture,2,capture,3-1,2-1,3-2,2-2
14,0,7,34,move1,move1,capture,0,move1,2-4,2-3,-1,-1
15,1,10,34,move1,move1,move2,2,move2,2-2,2-3,-1,-1
16,0,10,38,move1,move1,capture,2,capture,3-5,2-4,-1,-1
17,1,13,38,move1,move1,mobilize,2,mobilize,2-2,2-4,2-1,-1
18,0,13,42,mobilize,move1,mobilize,0,mobilize,3-4,4-4,-1,-1
