turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,capture,mobilize,-1,None,-1,-1,-1,-1
1,1,0,0,move1,capture,mobilize,2,mobilize,3-1,3-0,1-2,2-2
2,0,0,0,move1,capture,move1,2,move1,3-5,3-4,5-4,4-4
3,1,0,0,swap,capture,move1,0,swap,5-2,4-2,-1,-1
4,0,0,4,swap,capture,move1,2,move1,3-4,3-3,-1,-1
5,1,4,4,move1,capture,move1,0,move1,4-2,3-3,-1,-1
6,0,4,4,mobilize,capture,move1,0,mobilize,1-4,2-4,-1,-1
7,1,4,4,mobilize,capture,mobilize,2,mobilize,3-3,3-4,-1,-1
8,0,4,7,mobilize,capture,mobilize,1,capture,4-4,3-4,-1,-1
9,1,4,7,mobilize,capture,capture,2,capture,3-0,2-0,2-2,2-3
10,0,4,10,mobilize,move2,capture,1,move2,2-4,2-3,-1,-1
11,1,8,10,mobilize,mobilize,capture,1,mobilize,3-1,3-3,-1,-1
12,0,8,10,move2,mobilize,capture,0,move2,4-2,4-3,2-4,3-4
13,1,12,10,move2,mobilize,capture,0,move2,1-2,1-3,-1,-1
14,0,12,13,move2,mobilize,capture,2,capture,4-3,3-3,-1,-1
15,1,12,13,swap,mobilize,capture,0,swap,1-3,1-1,-1,-1
16,0,12,17,swap,move1,capture,1,move1,4-3,3-3,4-4,5-4
17,1,12,17,move2,move1,capture,0,move2,3-1,3-4,-1,-1
18,0,12,24,move2,move1,move2,2,move2,3-3,3-4,-1,-1
19,1,12,24,capture,move1,move2,0,capture,2-0,1-0,-1,-1
20,0,12,28,capture,move1,move1,2,move1,5-4,4-3,-1,-1
21,1,12,28,capture,move2,move1,1,move2,1-2,2-2,-1,-1
22,0,12,32,capture,move2,swap,2,swap,3-1,3-2,-1,-1
23,1,12,32,capture,move1,swap,1,move1,2-2,2-0,-1,-1
24,0,12,36,capture,move1,swap,1,move1,4-3,4-2,-1,-1
25,1,12,36,capture,swap,swap,1,swap,2-0,2-1,-1,-1
26,0,12,40,capture,move2,swap,1,move2,4-2,2-1,-1,-1
