turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,capture,swap,mobilize,-1,None,-1,-1,-1,-1
1,1,0,0,capture,swap,mobilize,2,mobilize,1-0,1-1,2-0,2-1
2,0,0,0,capture,swap,capture,2,capture,1-4,0-4,2-4,2-3
3,1,0,0,capture,move1,capture,1,move1,1-1,2-3,-1,-1
4,0,0,3,capture,move1,move2,2,move2,1-1,2-1,-1,-1
5,1,3,3,swap,move1,move2,0,swap,1-0,1-1,-1,-1
6,0,3,3,swap,move1,capture,2,capture,3-4,2-4,-1,-1
7,1,6,3,swap,move1,capture,2,capture,2-3,2-4,-1,-1
8,0,6,3,mobilize,move1,capture,0,mobilize,1-4,2-3,-1,-1
9,1,9,3,mobilize,move1,capture,2,capture,1-4,2-4,-1,-1
10,0,9,3,capture,move1,capture,0,capture,2-3,1-3,2-4,3-4
11,1,12,3,move1,move1,capture,0,move1,1-4,1-3,-1,-1
12,0,12,6,move1,move1,move2,2,move2,2-4,1-4,-1,-1
13,1,12,6,move1,move1,capture,2,capture,1-0,2-1,-1,-1
14,0,12,6,move1,move2,capture,1,move2,0-4,1-4,-1,-1
15,1,15,6,move1,move2,mobilize,2,mobilize,2-1,2-4,2-0,-1
16,0,15,6,move1,move2,capture,2,capture,1-4,0-4,2-4,2-3
17,1,18,6,move1,move2,capture,2,capture,2-1,2-3,2-0,-1
18,0,18,6,move1,capture,capture,1,capture,3-4,2-3,-1,-1
19,1,21,6,move1,move1,capture,1,move1,2-1,2-3,2-0,-1
20,0,21,6,move2,move1,capture,0,move2,1-4,1-3,-1,-1
21,1,24,6,move2,move1,move1,2,move1,2-1,2-4,2-0,-1
22,0,24,6,move2,move1,swap,2,swap,1-3,1-2,-1,-1
23,1,25,6,move2,swap,swap,1,swap,2-1,2-2,-1,-1
24,0,25,6,capture,swap,swap,0,capture,0-4,0-3,-1,-1
25,1,29,6,move1,swap,swap,0,move1,2-2,1-2,-1,-1
26,0,29,7,move1,capture,swap,1,capture,0-3,2-2,-1,-1
27,1,29,7,move1,capture,mobilize,2,mobilize,0-3,1-4,-1,-1
28,0,29,7,move1,capture,mobilize,2,mobilize,2-2,3-2,2-4,3-4
29,1,29,7,move1,capture,move1,2,move1,2-0,2-1,3-0,3-1
30,0,29,7,move1,capture,swap,2,swap,0-3,0-4,-1,-1
31,1,32,7,move1,capture,swap,1,capture,3-1,3-2,-1,-1
32,0,32,7,move1,capture,swap,0,move1,0-4,0-3,-1,-1
33,1,35,7,move1,capture,swap,1,capture,1-4,2-4,-1,-1
34,0,35,7,capture,capture,swap,0,capture,0-3,0-2,-1,-1
35,1,38,7,move2,capture,swap,0,move2,1-4,2-4,-1,-1
36,0,38,7,move2,capture,capture,2,capture,3-4,3-1,-1,-1
37,1,41,7,move2,capture,capture,1,capture,1-4,2-4,-1,-1
38,0,41,7,capture,capture,capture,0,capture,0-2,0-0,-1,-1
39,1,44,7,mobilize,capture,capture,0,mobilize,1-4,2-4,-1,-1
40,0,44,10,mobilize,capture,move2,2,move2,2-4,3-4,-1,-1
41,1,47,10,mobilize,swap,move2,1,swap,1-4,2-4,-1,-1
42,0,47,10,mobilize,swap,capture,2,capture,3-1,4-1,-1,-1
43,1,50,10,mobilize,swap,move1,2,move1,1-4,2-4,-1,-1
44,0,50,10,mobilize,swap,move1,2,move1,4-1,3-1,-1,-1
45,1,51,10,capture,swap,move1,0,capture,2-1,2-2,1-4,1-3
46,0,51,10,capture,swap,move2,2,move2,0-0,0-1,-1,-1
47,1,52,10,capture,swap,capture,2,capture,1-0,1-2,-1,-1
48,0,52,10,capture,move2,capture,1,move2,2-4,1-2,-1,-1
49,1,56,10,capture,move2,capture,0,capture,2-2,1-2,-1,-1
50,0,56,10,capture,swap,capture,1,swap,3-1,4-1,-1,-1
