turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,capture,mobilize,-1,None,-1,-1,-1,-1
1,1,0,0,capture,capture,mobilize,0,capture,1-0,1-1,-1,-1
2,0,0,0,capture,capture,move2,2,move2,1-4,1-3,2-4,2-3
3,1,0,0,capture,capture,move1,2,move1,3-0,2-1,-1,-1
4,0,0,0,capture,capture,move2,2,move2,3-4,2-4,-1,-1
5,1,3,0,capture,capture,move2,0,capture,2-1,2-3,2-0,-1
6,0,3,3,capture,capture,move2,0,capture,1-3,1-1,1-4,-1
7,1,6,3,capture,capture,move2,0,capture,2-1,2-4,2-0,-1
8,0,6,6,capture,capture,move2,0,capture,1-3,1-0,1-4,-1
9,1,9,6,swap,capture,move2,0,swap,2-1,2-4,2-0,-1
10,0,9,9,swap,move1,move2,1,move1,1-3,1-0,1-4,-1
11,1,9,9,move1,move1,move2,0,move1,1-0,1-3,-1,-1
12,0,9,9,move1,move1,capture,2,capture,1-0,1-2,-1,-1
13,1,12,9,move1,move1,move2,2,move2,1-3,1-4,-1,-1
14,0,12,9,move1,move1,mobilize,2,mobilize,1-2,2-3,-1,-1
15,1,12,9,capture,move1,mobilize,0,capture,1-3,1-2,-1,-1
16,0,12,12,mobilize,move1,mobilize,0,mobilize,2-3,2-1,2-4,-1
17,1,12,12,swap,move1,mobilize,0,swap,2-0,2-1,1-0,1-1
18,0,12,12,capture,move1,mobilize,0,capture,1-4,1-2,-1,-1
19,1,15,12,capture,move1,mobilize,0,capture,1-1,1-2,-1,-1
20,0,15,15,move2,move1,mobilize,0,move2,2-3,2-1,2-4,-1
21,1,15,15,move1,move1,mobilize,0,move1,1-4,1-2,-1,-1
22,0,15,15,capture,move1,mobilize,0,capture,3-4,3-3,-1,-1
23,1,16,15,capture,move1,swap,2,swap,1-2,2-2,1-1,2-1
24,0,16,18,mobilize,move1,swap,0,mobilize,2-3,2-2,-1,-1
25,1,16,18,mobilize,move1,swap,2,swap,2-0,2-3,-1,-1
26,0,16,18,mobilize,move1,capture,2,capture,3-3,2-3,-1,-1
27,1,19,18,mobilize,move1,swap,2,swap,3-3,2-3,-1,-1
28,0,19,18,move1,move1,swap,0,move1,1-4,1-3,2-4,2-3
29,1,19,18,move1,move1,capture,2,capture,3-3,2-3,-1,-1
30,0,19,21,move1,move1,capture,2,capture,2-0,2-1,-1,-1
31,1,22,21,move1,move1,move2,2,move2,2-3,1-3,-1,-1
32,0,22,21,move1,move1,capture,2,capture,1-4,3-4,-1,-1
33,1,25,21,move1,move1,capture,2,capture,2-3,3-3,-1,-1
34,0,25,24,move1,move1,swap,2,swap,2-0,1-0,-1,-1
35,1,25,24,move1,move1,move1,2,move1,1-0,2-0,-1,-1
36,0,25,24,mobilize,move1,move1,0,mobilize,1-0,1-1,-1,-1
37,1,25,24,mobilize,move1,move1,0,mobilize,2-0,2-1,3-0,3-1
38,0,25,24,capture,move1,move1,0,capture,1-1,1-2,3-4,2-4
39,1,28,24,capture,move1,move1,0,capture,2-3,2-4,-1,-1
40,0,28,27,move1,move1,move1,0,move1,2-4,2-3,-1,-1
41,1,28,27,capture,move1,move1,0,capture,1-0,2-0,-1,-1
42,0,28,27,capture,mobilize,move1,1,mobilize,1-2,1-3,-1,-1
43,1,31,27,move1,mobilize,move1,0,move1,2-1,2-4,2-0,-1
44,0,31,27,capture,mobilize,move1,0,capture,1-3,2-3,-1,-1
45,1,34,27,swap,mobilize,move1,0,swap,2-1,2-3,2-0,-1
46,0,34,27,capture,mobilize,move1,0,capture,2-4,2-1,-1,-1
47,1,37,27,move2,mobilize,move1,0,move2,2-4,3-4,-1,-1
48,0,37,27,capture,mobilize,move1,0,capture,2-1,2-3,-1,-1
49,1,40,27,swap,mobilize,move1,0,swap,2-4,3-4,-1,-1
50,0,40,27,move2,mobilize,move1,0,move2,3-4,2-4,-1,-1
