turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,capture,mobilize,-1,None,-1,-1,-1,-1
1,1,0,0,capture,capture,mobilize,0,capture,3-0,3-1,-1,-1
2,0,0,0,capture,capture,move2,2,move2,1-4,1-3,2-4,2-3
3,1,0,0,capture,capture,move1,2,move1,2-0,2-1,-1,-1
4,0,0,0,capture,capture,move2,2,move2,3-4,2-4,-1,-1
5,1,1,0,capture,capture,capture,2,capture,3-1,2-2,-1,-1
6,0,1,3,capture,capture,capture,0,capture,2-3,2-2,-1,-1
7,1,4,3,capture,capture,capture,2,capture,2-1,2-3,2-0,-1
8,0,4,6,capture,capture,capture,0,capture,1-3,1-0,1-4,-1
9,1,7,6,capture,swap,capture,1,swap,2-1,2-4,2-0,-1
10,0,7,9,move1,swap,capture,0,move1,1-3,1-0,1-4,-1
11,1,10,9,move1,swap,move1,2,move1,2-1,2-4,2-0,-1
12,0,10,9,move1,capture,move1,1,capture,2-4,2-1,-1,-1
13,1,13,9,move1,move2,move1,1,move2,2-0,2-1,-1,-1
14,0,13,9,move1,mobilize,move1,1,mobilize,3-4,2-3,-1,-1
15,1,13,9,move1,mobilize,capture,2,capture,1-0,0-0,-1,-1
16,0,13,12,move1,mobilize,mobilize,2,mobilize,1-4,2-4,-1,-1
17,1,13,12,move1,mobilize,swap,2,swap,1-0,1-1,2-0,2-1
18,0,13,13,capture,mobilize,swap,0,capture,2-3,2-2,-1,-1
19,1,13,13,capture,capture,swap,1,capture,1-1,0-1,2-1,2-0
20,0,13,13,capture,capture,move2,2,move2,2-2,2-0,-1,-1
21,1,13,13,capture,capture,move1,2,move1,2-2,2-4,-1,-1
22,0,13,16,capture,capture,move1,0,capture,1-4,2-4,-1,-1
23,1,16,16,swap,capture,move1,0,swap,1-0,2-0,-1,-1
24,0,16,19,swap,mobilize,move1,1,mobilize,1-3,1-0,1-4,-1
25,1,16,19,swap,swap,move1,1,swap,0-1,1-1,1-0,2-0
26,0,16,19,swap,swap,move2,2,move2,2-4,2-3,-1,-1
27,1,16,19,swap,swap,mobilize,2,mobilize,1-1,2-1,-1,-1
28,0,16,20,swap,swap,move1,2,move1,1-3,1-2,2-3,2-2
29,1,17,20,capture,swap,move1,0,capture,2-1,2-2,-1,-1
30,0,17,23,capture,swap,move1,0,capture,2-1,2-0,-1,-1
31,1,21,23,move2,swap,move1,0,move2,2-2,2-1,-1,-1
32,0,21,23,capture,swap,move1,0,capture,2-4,1-3,-1,-1
33,1,25,23,capture,swap,move1,0,capture,2-2,1-2,-1,-1
34,0,25,26,move1,swap,move1,0,move1,1-3,1-0,1-4,-1
35,1,26,26,capture,swap,move1,0,capture,1-0,2-0,-1,-1
36,0,26,26,capture,swap,mobilize,2,mobilize,1-3,2-3,-1,-1
37,1,30,26,capture,swap,mobilize,0,capture,2-2,2-3,-1,-1
38,0,30,26,capture,swap,mobilize,2,mobilize,1-4,1-3,3-4,3-3
39,1,31,26,capture,swap,capture,2,capture,0-0,0-1,2-0,1-0
40,0,31,26,capture,move1,capture,1,move1,1-3,0-1,-1,-1
41,1,32,26,capture,capture,capture,1,capture,1-3,1-2,-1,-1
42,0,32,26,capture,capture,capture,-1,None,-1,-1,-1,-1
43,1,32,26,mobilize,move1,capture,-1,None,-1,-1,-1,-1
44,0,32,26,move1,move1,capture,0,move1,0-1,1-1,3-3,2-3
45,1,36,26,move1,move1,capture,2,capture,1-0,1-1,-1,-1
46,0,36,29,move1,move1,move2,2,move2,2-3,2-2,-1,-1
47,1,37,29,move1,move1,swap,2,swap,2-0,2-2,-1,-1
48,0,37,29,move1,move1,capture,2,capture,1-4,1-2,-1,-1
49,1,41,29,move1,move1,move2,2,move2,2-2,2-3,-1,-1
50,0,41,29,move1,move1,swap,2,swap,1-2,2-3,-1,-1
