turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,capture,capture,-1,None,-1,-1,-1,-1
1,1,0,0,capture,capture,capture,0,capture,1-0,0-0,-1,-1
2,0,0,0,capture,capture,capture,-1,None,-1,-1,-1,-1
3,1,0,0,move1,swap,move1,-1,None,-1,-1,-1,-1
4,0,0,0,move2,swap,move1,0,move2,2-4,2-3,-1,-1
5,1,0,0,capture,swap,move1,0,capture,3-0,3-1,-1,-1
6,0,0,0,capture,swap,capture,2,capture,1-4,2-4,-1,-1
7,1,0,0,capture,capture,capture,1,capture,2-0,2-3,-1,-1
8,0,0,3,capture,capture,capture,0,capture,2-4,2-3,-1,-1
9,1,3,3,capture,capture,mobilize,2,mobilize,1-0,2-0,0-0,-1
10,0,3,3,capture,capture,capture,2,capture,2-4,2-3,3-4,3-3
11,1,3,3,capture,capture,capture,-1,None,-1,-1,-1,-1
12,0,3,3,mobilize,capture,capture,-1,None,-1,-1,-1,-1
13,1,3,3,swap,capture,capture,0,swap,1-0,1-1,3-1,3-0
14,0,3,3,move2,capture,capture,0,move2,1-4,1-1,-1,-1
15,1,3,3,move2,capture,capture,0,move2,3-0,4-1,-1,-1
16,0,3,4,mobilize,capture,capture,0,mobilize,1-1,2-2,-1,-1
17,1,3,4,capture,capture,capture,0,capture,0-0,1-0,1-4,0-4
18,0,3,4,capture,capture,capture,-1,None,-1,-1,-1,-1
19,1,3,4,move2,mobilize,swap,-1,None,-1,-1,-1,-1
20,0,3,5,move1,mobilize,swap,0,move1,3-3,3-2,-1,-1
21,1,3,5,move1,mobilize,swap,0,move1,4-1,4-0,-1,-1
22,0,3,6,swap,mobilize,swap,0,swap,3-2,3-3,-1,-1
23,1,3,6,swap,move2,swap,1,move2,1-0,1-1,0-4,0-3
24,0,3,7,swap,capture,swap,1,capture,3-3,3-2,-1,-1
25,1,3,7,capture,capture,swap,0,capture,1-1,2-3,-1,-1
26,0,3,11,capture,capture,swap,0,capture,2-2,2-3,-1,-1
27,1,4,11,capture,capture,move1,2,move1,1-0,2-2,-1,-1
28,0,4,14,move1,capture,move1,0,move1,3-2,2-2,-1,-1
29,1,4,14,move1,capture,capture,2,capture,2-0,2-1,-1,-1
30,0,4,17,move1,move1,capture,1,move1,1-1,2-1,-1,-1
31,1,7,17,move1,move1,mobilize,2,mobilize,2-0,1-0,-1,-1
32,0,7,18,move1,move1,mobilize,2,mobilize,1-1,1-2,3-2,2-2
33,1,7,18,move1,move1,capture,2,capture,2-0,2-1,0-3,1-3
34,0,7,22,move1,move1,capture,2,capture,1-2,1-3,-1,-1
35,1,7,22,move1,move1,capture,0,move1,2-1,1-1,-1,-1
36,0,7,26,move1,move1,capture,2,capture,1-2,1-1,-1,-1
37,1,7,26,swap,move1,capture,0,swap,1-0,0-0,-1,-1
38,0,7,27,swap,capture,capture,1,capture,1-4,1-3,-1,-1
39,1,7,27,move1,capture,capture,0,move1,0-0,1-2,-1,-1
40,0,7,31,move1,mobilize,capture,1,mobilize,1-3,1-2,-1,-1
41,1,7,31,move1,swap,capture,1,swap,2-0,2-1,4-0,3-0
42,0,7,35,move1,swap,capture,2,capture,2-2,2-1,-1,-1
43,1,8,35,move1,move2,capture,1,move2,2-0,2-2,-1,-1
44,0,8,38,move1,move2,move2,2,move2,0-0,1-0,-1,-1
45,1,9,38,move1,move2,move2,1,move2,1-0,1-1,-1,-1
46,0,9,38,move1,capture,move2,1,capture,0-0,1-0,-1,-1
47,1,10,38,move1,capture,capture,2,capture,1-1,0-0,-1,-1
48,0,10,41,move1,mobilize,capture,1,mobilize,1-0,0-0,-1,-1
49,1,11,41,capture,mobilize,capture,0,capture,3-0,3-1,-1,-1
50,0,11,44,move2,mobilize,capture,0,move2,1-0,0-0,-1,-1
