turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,mobilize,swap,move2,-1,None,-1,-1,-1,-1
1,1,0,0,mobilize,swap,move2,2,move2,1-0,2-1,-1,-1
2,0,0,0,mobilize,mobilize,move2,1,mobilize,2-4,2-1,-1,-1
3,1,1,0,mobilize,mobilize,move1,2,move1,2-4,2-2,-1,-1
4,0,1,0,move1,mobilize,move1,0,move1,1-4,1-3,3-4,3-3
5,1,2,0,swap,mobilize,move1,0,swap,3-0,3-1,-1,-1
6,0,2,0,swap,mobilize,move1,1,mobilize,1-3,1-2,3-3,2-3
7,1,3,0,move2,mobilize,move1,0,move2,2-0,2-1,-1,-1
8,0,3,0,move2,move1,move1,1,move1,2-0,1-0,2-3,1-3
9,1,4,0,move2,move2,move1,1,move2,3-1,3-2,-1,-1
10,0,4,0,move2,move2,move1,0,move2,1-0,1-1,-1,-1
11,1,5,0,move2,move2,move1,2,move1,2-1,3-1,-1,-1
12,0,5,0,move1,move2,move1,0,move1,1-1,0-2,-1,-1
13,1,6,0,mobilize,move2,move1,0,mobilize,3-1,2-1,-1,-1
14,0,6,0,mobilize,move1,move1,1,move1,1-3,0-3,-1,-1
15,1,7,0,mobilize,move2,move1,1,move2,2-1,3-1,-1,-1
16,0,7,0,mobilize,mobilize,move1,1,mobilize,0-3,1-3,-1,-1
17,1,8,0,mobilize,mobilize,move2,2,move2,3-1,2-1,-1,-1
18,0,8,0,mobilize,mobilize,move2,2,move2,0-2,1-1,-1,-1
19,1,9,0,mobilize,mobilize,move1,2,move1,3-2,3-1,-1,-1
20,0,9,0,mobilize,mobilize,move1,2,move1,1-2,0-2,-1,-1
21,1,10,0,mobilize,mobilize,move1,2,move1,3-1,3-2,-1,-1
22,0,10,0,capture,mobilize,move1,0,capture,0-2,0-1,1-3,1-2
23,1,14,0,capture,mobilize,move1,0,capture,2-1,1-1,-1,-1
24,0,14,3,mobilize,mobilize,move1,0,mobilize,1-2,2-2,-1,-1
25,1,15,3,move1,mobilize,move1,0,move1,1-0,1-1,3-2,2-2
26,0,15,3,move1,move1,move1,1,move1,0-1,0-2,1-4,1-3
27,1,16,3,move2,move1,move1,0,move2,1-1,0-1,-1,-1
28,0,16,3,swap,move1,move1,0,swap,1-3,0-3,-1,-1
29,1,16,3,capture,move1,move1,0,capture,2-2,0-2,-1,-1
30,0,16,7,move2,move1,move1,0,move2,2-2,2-1,-1,-1
31,1,16,7,move2,move1,move1,1,move1,1-0,1-1,-1,-1
32,0,16,8,move2,move1,move1,1,move1,0-3,1-3,-1,-1
33,1,16,8,move2,move1,move1,0,move2,0-1,1-0,-1,-1
34,0,16,9,move2,move1,move1,1,move1,1-3,2-3,-1,-1
35,1,16,9,move2,mobilize,move1,1,mobilize,0-2,0-1,-1,-1
36,0,16,10,move2,mobilize,mobilize,2,mobilize,2-3,1-3,-1,-1
37,1,16,10,move1,mobilize,mobilize,0,move1,1-0,2-1,-1,-1
38,0,16,11,move2,mobilize,mobilize,0,move2,1-3,2-3,-1,-1
39,1,16,11,move2,mobilize,mobilize,0,move2,2-1,1-0,-1,-1
40,0,16,12,capture,mobilize,mobilize,0,capture,2-3,1-3,-1,-1
41,1,19,12,mobilize,mobilize,mobilize,0,mobilize,1-1,1-2,-1,-1
42,0,19,13,move1,mobilize,mobilize,0,move1,1-3,2-3,1-4,2-4
43,1,19,13,move1,mobilize,mobilize,1,mobilize,1-1,1-2,0-1,0-2
44,0,19,14,move1,move2,mobilize,1,move2,2-3,1-3,2-4,1-4
45,1,19,14,move1,swap,mobilize,1,swap,0-2,1-1,-1,-1
46,0,19,14,move1,move1,mobilize,1,move1,2-2,1-2,-1,-1
47,1,20,14,move1,move1,mobilize,2,mobilize,1-0,2-0,1-1,2-1
48,0,20,14,move2,move1,mobilize,0,move2,1-2,1-1,-1,-1
49,1,21,14,move1,move1,mobilize,0,move1,2-0,3-1,-1,-1
50,0,21,14,mobilize,move1,mobilize,0,mobilize,1-1,1-2,-1,-1
