turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,move2,move2,-1,None,-1,-1,-1,-1
1,1,0,0,move1,move2,move2,1,move2,1-0,2-1,-1,-1
2,0,0,1,move1,move2,move1,2,move1,2-4,2-2,-1,-1
3,1,0,1,move1,move1,move1,1,move1,3-0,3-1,-1,-1
4,0,0,2,move1,move1,move1,1,move1,3-4,3-3,-1,-1
5,1,0,2,mobilize,move1,move1,0,mobilize,2-0,3-0,-1,-1
6,0,0,3,mobilize,move1,move1,0,mobilize,1-4,1-3,3-3,2-3
7,1,0,3,mobilize,mobilize,move1,1,mobilize,3-0,2-0,-1,-1
8,0,0,4,mobilize,mobilize,mobilize,2,mobilize,1-3,1-2,-1,-1
9,1,0,4,capture,mobilize,mobilize,0,capture,2-1,1-1,2-0,1-0
10,0,0,8,move1,mobilize,mobilize,0,move1,1-2,1-1,-1,-1
11,1,0,8,move1,mobilize,move1,2,move1,1-0,1-1,3-1,2-1
12,0,0,9,move1,mobilize,move1,1,mobilize,1-2,0-2,2-3,3-3
13,1,0,9,move1,mobilize,move1,0,move1,1-1,1-0,-1,-1
14,0,0,10,move1,move2,move1,1,move2,0-2,0-3,3-3,3-2
15,1,0,10,mobilize,move2,move1,0,mobilize,1-0,1-1,-1,-1
16,0,0,11,mobilize,move2,move1,2,move1,0-3,0-2,-1,-1
17,1,0,11,mobilize,swap,move1,1,swap,1-1,1-0,-1,-1
18,0,0,12,mobilize,move2,move1,1,move2,0-2,1-0,-1,-1
19,1,0,12,mobilize,move2,move1,1,move2,0-2,1-1,-1,-1
20,0,0,13,mobilize,move1,move1,1,move1,3-2,2-3,-1,-1
21,1,0,13,mobilize,move1,move1,1,move1,1-1,1-2,-1,-1
22,0,0,14,mobilize,move2,move1,1,move2,1-0,0-0,-1,-1
23,1,0,14,capture,move2,move1,0,capture,2-0,1-0,2-1,1-1
24,0,0,18,move2,move2,move1,0,move2,0-0,1-0,-1,-1
25,1,0,18,swap,move2,move1,0,swap,1-0,2-1,-1,-1
26,0,0,19,swap,move1,move1,1,move1,0-0,0-2,-1,-1
27,1,1,19,move2,move1,move1,0,move2,1-1,2-2,-1,-1
28,0,1,19,move2,move1,move1,2,move1,1-1,0-1,-1,-1
29,1,2,19,move2,mobilize,move1,1,mobilize,1-2,1-1,-1,-1
30,0,2,19,move2,mobilize,capture,2,capture,2-3,3-3,-1,-1
31,1,6,19,move2,mobilize,move2,2,move2,1-1,0-1,-1,-1
32,0,6,19,move2,capture,move2,1,capture,0-2,1-2,1-4,0-4
33,1,10,19,move2,move1,move2,1,move1,1-1,1-2,-1,-1
34,0,10,19,move2,move1,move2,2,move2,3-3,3-2,-1,-1
35,1,11,19,move2,move1,move2,1,move1,1-1,1-2,-1,-1
36,0,11,19,move2,move1,move2,0,move2,3-2,3-1,-1,-1
37,1,12,19,move2,mobilize,move2,1,mobilize,2-1,1-1,-1,-1
38,0,12,19,move2,move2,move2,1,move2,0-4,0-3,3-1,3-2
39,1,13,19,move1,move2,move2,0,move1,1-1,0-2,-1,-1
40,0,13,19,move2,move2,move2,0,move2,0-3,0-4,-1,-1
41,1,14,19,mobilize,move2,move2,0,mobilize,0-2,1-3,-1,-1
42,0,14,19,mobilize,move2,move2,1,move2,1-4,2-3,-1,-1
43,1,15,19,mobilize,move1,move2,1,move1,1-3,0-2,-1,-1
44,0,15,19,mobilize,move1,move1,2,move1,0-4,1-3,-1,-1
45,1,16,19,mobilize,swap,move1,1,swap,0-2,0-1,-1,-1
46,0,16,20,mobilize,move1,move1,1,move1,3-2,2-2,-1,-1
47,1,16,20,mobilize,move1,move1,1,move1,0-1,1-1,-1,-1
48,0,16,21,mobilize,move1,move2,2,move2,1-3,1-4,-1,-1
49,1,16,21,mobilize,move1,mobilize,2,mobilize,3-2,2-1,-1,-1
50,0,16,22,mobilize,mobilize,mobilize,1,mobilize,1-4,2-4,-1,-1
