turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,mobilize,move2,-1,None,-1,-1,-1,-1
1,1,1,0,move1,mobilize,move2,2,move2,2-0,2-2,-1,-1
2,0,1,0,move1,mobilize,move1,2,move1,3-4,2-3,-1,-1
3,1,2,0,move1,capture,move1,1,capture,1-0,1-1,3-0,4-0
4,0,2,3,move1,move1,move1,1,move1,2-3,2-2,-1,-1
5,1,2,3,move1,move1,move1,1,move1,1-1,2-1,-1,-1
6,0,2,3,move2,move1,move1,0,move2,1-4,1-3,-1,-1
7,1,3,3,move2,move1,move1,0,move2,2-1,2-2,-1,-1
8,0,3,3,mobilize,move1,move1,0,mobilize,2-4,1-4,-1,-1
9,1,4,3,mobilize,move1,mobilize,2,mobilize,4-0,4-1,-1,-1
10,0,4,3,mobilize,move2,mobilize,1,move2,1-4,2-4,-1,-1
11,1,5,3,mobilize,move2,mobilize,0,mobilize,1-0,2-0,4-1,4-2
12,0,5,3,mobilize,move2,mobilize,1,move2,1-3,1-4,-1,-1
13,1,6,3,mobilize,move2,mobilize,1,move2,4-2,4-3,-1,-1
14,0,6,3,mobilize,mobilize,mobilize,1,mobilize,1-4,1-2,-1,-1
15,1,7,3,swap,mobilize,mobilize,0,swap,2-0,1-0,4-3,4-4
16,0,7,3,swap,move1,mobilize,1,move1,2-4,1-4,2-3,1-3
17,1,8,3,swap,move1,move1,2,move1,1-0,2-0,4-4,4-3
18,0,8,4,move1,move1,move1,0,move1,1-4,2-2,-1,-1
19,1,8,4,mobilize,move1,move1,0,mobilize,4-3,3-3,-1,-1
20,0,8,5,mobilize,move1,move1,1,move1,1-3,2-3,-1,-1
21,1,8,5,move2,move1,move1,0,move2,1-4,1-3,3-3,3-4
22,0,8,6,capture,move1,move1,0,capture,1-2,2-1,-1,-1
23,1,11,6,move1,move1,move1,0,move1,1-3,2-3,-1,-1
24,0,11,7,move1,move1,move1,0,move1,1-4,2-4,-1,-1
25,1,11,7,move1,swap,move1,1,swap,1-3,1-2,-1,-1
26,0,11,8,capture,swap,move1,0,capture,2-4,2-3,-1,-1
27,1,12,8,capture,move2,move1,1,move2,1-2,2-2,-1,-1
28,0,12,11,move1,move2,move1,0,move1,2-1,2-2,-1,-1
29,1,12,11,move1,move2,mobilize,2,mobilize,1-0,0-0,-1,-1
30,0,12,12,move1,move1,mobilize,1,move1,1-2,2-2,-1,-1
31,1,12,12,move1,move2,mobilize,1,move2,3-4,3-3,-1,-1
32,0,12,13,move1,capture,mobilize,1,capture,2-1,3-2,-1,-1
33,1,15,13,move1,move1,mobilize,1,move1,3-3,2-3,-1,-1
34,0,15,14,move1,move1,mobilize,0,move1,1-4,1-3,-1,-1
35,1,15,14,mobilize,move1,mobilize,0,mobilize,3-3,4-3,-1,-1
36,0,15,15,move2,move1,mobilize,0,move2,3-2,3-3,1-3,2-3
37,1,15,15,move1,move1,mobilize,0,move1,2-0,2-1,-1,-1
38,0,15,16,move1,move1,mobilize,0,move1,3-3,3-2,-1,-1
39,1,15,16,mobilize,move1,mobilize,0,mobilize,2-1,2-0,-1,-1
40,0,15,17,mobilize,mobilize,mobilize,1,mobilize,3-2,3-1,-1,-1
41,1,15,17,mobilize,mobilize,move1,2,move1,0-0,0-1,4-3,4-4
42,0,15,18,mobilize,mobilize,move2,2,move2,3-1,3-2,-1,-1
43,1,15,18,mobilize,mobilize,move1,2,move1,4-4,2-4,-1,-1
44,0,15,19,mobilize,mobilize,move2,2,move2,3-2,3-1,-1,-1
45,1,15,19,mobilize,mobilize,move2,2,move2,2-0,2-1,-1,-1
46,0,15,20,mobilize,mobilize,swap,2,swap,3-1,3-2,-1,-1
47,1,16,20,mobilize,mobilize,move1,2,move1,0-1,2-2,-1,-1
48,0,16,20,mobilize,mobilize,move1,0,mobilize,0-1,1-1,2-3,1-3
49,1,17,20,mobilize,mobilize,move2,2,move2,2-4,2-3,-1,-1
50,0,17,20,mobilize,mobilize,move2,2,move2,1-1,1-2,-1,-1
