turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,mobilize,swap,move2,-1,None,-1,-1,-1,-1
1,1,1,0,mobilize,swap,move2,2,move2,2-0,2-2,-1,-1
2,0,1,0,mobilize,swap,move2,0,mobilize,2-4,2-3,3-4,4-4
3,1,2,0,mobilize,swap,move1,2,move1,1-0,0-0,-1,-1
4,0,2,0,move1,swap,move1,0,move1,2-3,3-3,4-4,3-4
5,1,3,0,move1,swap,move1,1,swap,3-0,3-3,-1,-1
6,0,3,0,move1,swap,mobilize,2,mobilize,1-4,2-4,-1,-1
7,1,4,0,move1,swap,move2,2,move2,0-0,0-1,3-3,3-2
8,0,4,0,move1,swap,move2,0,move1,3-0,4-0,-1,-1
9,1,5,0,move1,move2,move2,1,move2,3-2,2-4,-1,-1
10,0,5,0,move1,move2,move2,1,move2,3-4,4-3,-1,-1
11,1,6,0,move1,move2,move1,2,move1,2-4,2-3,-1,-1
12,0,6,0,move1,move2,move1,2,move1,4-3,4-2,-1,-1
13,1,7,0,move1,move2,mobilize,2,mobilize,0-1,0-2,-1,-1
14,0,7,0,move1,move2,mobilize,0,move1,4-2,4-1,-1,-1
15,1,8,0,move1,move2,mobilize,1,move2,2-3,1-2,-1,-1
16,0,8,0,move1,mobilize,mobilize,1,mobilize,4-1,4-3,-1,-1
17,1,9,0,move2,mobilize,mobilize,0,move2,1-2,1-1,-1,-1
18,0,9,0,move2,mobilize,mobilize,0,move2,3-2,3-1,-1,-1
19,1,10,0,move2,mobilize,move1,2,move1,0-2,0-3,1-1,1-0
20,0,10,0,move2,move1,move1,1,move1,3-1,3-2,4-3,3-3
21,1,11,0,move1,move1,move1,0,move1,1-0,1-2,-1,-1
22,0,11,0,move1,capture,move1,1,capture,3-2,4-2,-1,-1
23,1,15,0,move1,capture,move1,1,capture,2-2,4-2,1-2,-1
24,0,15,0,move1,capture,mobilize,2,mobilize,3-3,4-3,-1,-1
25,1,15,0,move1,capture,move1,2,move1,2-2,2-3,1-2,1-3
26,0,15,0,swap,capture,move1,0,swap,4-0,3-0,-1,-1
27,1,18,0,swap,move2,move1,1,move2,1-3,1-4,-1,-1
28,0,18,0,swap,mobilize,move1,1,mobilize,1-4,2-4,-1,-1
29,1,19,0,swap,capture,move1,1,capture,2-3,2-2,1-3,1-2
30,0,19,0,swap,capture,move2,2,move2,4-3,4-2,-1,-1
31,1,23,0,swap,move2,move2,1,move2,2-2,4-2,1-2,-1
32,0,23,0,swap,move2,mobilize,2,mobilize,3-0,3-2,-1,-1
33,1,24,0,move1,move2,mobilize,0,move1,1-2,3-2,-1,-1
34,0,24,0,move1,move2,move2,2,move2,1-2,1-3,1-4,0-4
35,1,25,0,move1,move1,move2,1,move1,3-2,4-2,-1,-1
36,0,25,0,move1,move1,mobilize,2,mobilize,2-4,3-3,-1,-1
37,1,26,0,move1,swap,mobilize,1,swap,0-3,0-2,-1,-1
38,0,26,0,move1,swap,mobilize,2,mobilize,3-3,3-2,0-4,0-3
39,1,27,0,move1,swap,move2,2,move2,0-2,1-2,4-2,4-3
40,0,27,0,move1,swap,move1,2,move1,1-3,0-4,-1,-1
41,1,28,0,move1,move1,move1,1,move1,4-3,3-2,-1,-1
42,0,28,0,move1,move1,move1,0,move1,0-3,0-2,-1,-1
43,1,29,0,move1,move1,move1,1,move1,3-2,3-1,-1,-1
44,0,29,0,move1,move1,move1,1,move1,4-3,4-2,-1,-1
45,1,30,0,move1,mobilize,move1,1,mobilize,3-1,3-2,-1,-1
46,0,30,0,move1,mobilize,move1,2,move1,0-4,1-4,-1,-1
47,1,31,0,move1,mobilize,mobilize,2,mobilize,1-2,1-3,-1,-1
48,0,31,0,move1,move2,mobilize,1,move2,4-2,4-3,1-4,0-4
49,1,32,0,move2,move2,mobilize,0,move2,1-3,1-2,-1,-1
50,0,32,0,move2,move2,move1,2,move1,4-3,4-4,0-4,1-4
