turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,mobilize,move2,-1,None,-1,-1,-1,-1
1,1,1,0,move1,mobilize,move2,2,move2,2-0,2-2,-1,-1
2,0,1,0,move1,mobilize,move1,2,move1,3-4,2-3,-1,-1
3,1,2,0,move1,capture,move1,1,capture,1-0,1-1,3-0,3-1
4,0,2,3,move1,move1,move1,1,move1,2-3,2-2,-1,-1
5,1,2,3,move1,move1,move1,0,move1,1-1,1-2,-1,-1
6,0,2,3,move2,move1,move1,0,move2,2-3,1-3,-1,-1
7,1,3,3,move2,move1,move1,0,move2,3-1,2-2,-1,-1
8,0,3,3,move2,mobilize,move1,1,mobilize,2-4,2-3,-1,-1
9,1,4,3,move2,mobilize,mobilize,2,mobilize,1-0,1-1,-1,-1
10,0,4,3,move2,mobilize,mobilize,0,move2,1-4,0-3,-1,-1
11,1,5,3,mobilize,mobilize,mobilize,0,mobilize,1-1,2-1,-1,-1
12,0,5,3,move2,mobilize,mobilize,0,move2,0-3,0-2,2-3,3-3
13,1,6,3,move2,mobilize,mobilize,0,move2,2-1,3-2,-1,-1
14,0,6,3,move2,mobilize,mobilize,1,mobilize,0-2,0-3,3-3,2-3
15,1,7,3,swap,mobilize,mobilize,0,swap,1-2,2-1,-1,-1
16,0,7,4,move1,mobilize,mobilize,0,move1,0-3,2-2,-1,-1
17,1,7,4,move1,mobilize,mobilize,0,move1,2-1,2-0,-1,-1
18,0,7,5,move1,mobilize,mobilize,0,move1,1-3,1-2,-1,-1
19,1,7,5,mobilize,mobilize,mobilize,0,mobilize,2-0,2-1,-1,-1
20,0,7,6,move1,mobilize,mobilize,0,move1,2-3,3-3,1-2,1-3
21,1,7,6,move2,mobilize,mobilize,0,move2,2-1,2-0,-1,-1
22,0,7,7,move2,capture,mobilize,1,capture,3-3,2-3,1-3,1-2
23,1,10,7,move2,move1,mobilize,1,move1,3-2,2-2,-1,-1
24,0,10,8,move2,move1,move1,2,move1,1-4,2-4,1-2,2-2
25,1,10,8,swap,move1,move1,0,swap,2-0,2-1,-1,-1
26,0,10,9,capture,move1,move1,0,capture,2-4,3-2,-1,-1
27,1,13,9,move2,move1,move1,0,move2,2-4,2-3,-1,-1
28,0,13,10,move2,move1,move1,0,move2,1-4,2-3,-1,-1
29,1,13,10,move1,move1,move1,0,move1,2-1,1-2,-1,-1
30,0,13,11,move1,move1,move1,0,move1,3-2,3-3,-1,-1
31,1,13,11,move2,move1,move1,0,move2,2-4,1-4,-1,-1
32,0,13,12,move2,capture,move1,1,capture,3-3,3-2,-1,-1
33,1,16,12,move2,move2,move1,1,move2,1-2,2-2,-1,-1
34,0,16,13,move2,move2,swap,2,swap,3-2,2-2,-1,-1
35,1,17,13,move2,move2,move2,2,move2,0-3,2-2,-1,-1
36,0,17,13,mobilize,move2,move2,0,mobilize,0-3,1-3,-1,-1
37,1,18,13,mobilize,move1,move2,1,move1,1-2,2-1,-1,-1
38,0,18,13,mobilize,move1,mobilize,2,mobilize,2-4,3-3,-1,-1
39,1,19,13,mobilize,mobilize,mobilize,1,mobilize,1-4,2-4,-1,-1
40,0,19,13,swap,mobilize,mobilize,0,swap,1-3,1-2,3-3,3-2
41,1,20,13,mobilize,mobilize,mobilize,0,mobilize,2-4,2-3,-1,-1
42,0,20,13,move2,mobilize,mobilize,0,move2,1-2,1-3,3-2,3-3
43,1,21,13,move1,mobilize,mobilize,0,move1,2-1,1-2,-1,-1
44,0,21,13,move1,mobilize,mobilize,0,move1,2-4,1-4,-1,-1
45,1,22,13,mobilize,mobilize,mobilize,0,mobilize,1-2,0-2,-1,-1
46,0,22,13,move1,mobilize,mobilize,0,move1,1-3,1-2,3-3,3-2
47,1,23,13,move1,mobilize,mobilize,0,move1,2-3,1-3,-1,-1
48,0,23,13,move1,mobilize,mobilize,0,move1,1-4,2-4,-1,-1
49,1,24,13,mobilize,mobilize,mobilize,0,mobilize,1-3,2-3,-1,-1
50,0,24,13,move2,mobilize,mobilize,0,move2,1-2,1-3,3-2,3-3
