turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,mobilize,swap,move2,-1,None,-1,-1,-1,-1
1,1,1,0,mobilize,swap,move2,2,move2,2-0,2-2,-1,-1
2,0,1,0,mobilize,swap,move2,0,mobilize,2-4,2-3,3-4,4-4
3,1,2,0,mobilize,swap,move1,2,move1,1-0,2-1,-1,-1
4,0,2,0,move1,swap,move1,0,move1,2-3,3-3,4-4,3-4
5,1,3,0,move1,swap,move1,1,swap,3-0,3-3,-1,-1
6,0,3,0,move1,swap,mobilize,2,mobilize,1-4,2-4,-1,-1
7,1,4,0,move2,swap,mobilize,0,move2,3-3,2-3,-1,-1
8,0,4,0,move1,swap,mobilize,0,move1,3-0,2-0,-1,-1
9,1,5,0,move2,swap,mobilize,0,move2,2-1,1-1,-1,-1
10,0,5,0,move2,swap,mobilize,0,move2,3-4,3-2,-1,-1
11,1,6,0,move1,swap,mobilize,0,move1,1-1,2-1,-1,-1
12,0,6,0,move1,swap,move1,2,move1,2-0,3-0,3-2,3-3
13,1,7,0,move1,mobilize,move1,1,mobilize,2-1,3-3,-1,-1
14,0,7,0,move1,mobilize,move1,0,move1,3-0,4-0,-1,-1
15,1,8,0,move2,mobilize,move1,0,move2,3-3,3-2,-1,-1
16,0,8,0,move2,mobilize,mobilize,2,mobilize,4-0,3-0,-1,-1
17,1,9,0,move2,mobilize,mobilize,0,move2,3-2,3-3,-1,-1
18,0,9,0,move2,mobilize,mobilize,0,move2,2-4,1-4,-1,-1
19,1,10,0,move1,mobilize,mobilize,0,move1,3-3,2-4,-1,-1
20,0,10,0,move1,mobilize,move1,2,move1,1-4,0-4,3-0,3-1
21,1,11,0,move1,mobilize,move1,0,move1,2-4,1-4,-1,-1
22,0,11,0,move1,capture,move1,1,capture,0-4,0-3,3-1,4-1
23,1,15,0,move1,capture,move1,1,capture,2-2,2-1,-1,-1
24,0,15,3,move1,mobilize,move1,1,mobilize,2-4,1-4,-1,-1
25,1,16,3,move1,mobilize,move1,0,move1,1-0,1-1,-1,-1
26,0,16,3,move1,swap,move1,1,swap,0-3,0-4,4-1,4-2
27,1,17,3,move2,swap,move1,0,move2,1-1,2-1,-1,-1
28,0,17,3,move2,mobilize,move1,1,mobilize,2-4,2-3,-1,-1
29,1,18,3,capture,mobilize,move1,0,capture,2-4,1-3,-1,-1
30,0,18,3,capture,move2,move1,1,move2,4-2,4-3,2-3,3-3
31,1,19,3,capture,move2,move1,2,move1,1-3,1-2,-1,-1
32,0,19,3,capture,mobilize,move1,1,mobilize,3-3,1-3,-1,-1
33,1,23,3,mobilize,mobilize,move1,0,mobilize,1-2,1-3,-1,-1
34,0,23,3,mobilize,mobilize,move2,2,move2,1-4,1-3,-1,-1
35,1,24,3,mobilize,mobilize,move1,2,move1,2-1,1-1,-1,-1
36,0,24,3,mobilize,mobilize,move1,1,mobilize,4-3,3-3,1-3,1-4
37,1,25,3,mobilize,mobilize,move1,2,move1,1-1,2-1,-1,-1
38,0,25,3,mobilize,mobilize,move2,2,move2,3-3,3-4,-1,-1
39,1,26,3,mobilize,mobilize,move1,2,move1,2-1,1-1,-1,-1
40,0,26,3,mobilize,capture,move1,1,capture,0-4,0-3,3-4,4-4
41,1,30,3,mobilize,move2,move1,1,move2,1-2,1-4,1-1,-1
42,0,30,3,mobilize,move2,move2,2,move2,1-4,0-4,-1,-1
43,1,31,3,mobilize,mobilize,move2,1,mobilize,1-1,2-1,-1,-1
44,0,31,3,mobilize,mobilize,move1,2,move1,0-4,1-3,-1,-1
45,1,32,3,mobilize,mobilize,move1,2,move1,2-1,1-1,-1,-1
46,0,32,3,swap,mobilize,move1,0,swap,0-3,0-2,1-3,1-4
47,1,33,3,swap,mobilize,move1,2,move1,1-1,2-1,-1,-1
48,0,33,3,swap,move2,move1,1,move2,0-2,0-3,4-4,4-3
49,1,34,3,swap,move2,move1,2,move1,2-1,1-1,-1,-1
50,0,34,3,swap,mobilize,move1,1,mobilize,0-3,1-3,-1,-1
