turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,swap,swap,mobilize,-1,None,-1,-1,-1,-1
1,1,0,0,swap,swap,move2,2,move2,1-0,1-1,2-0,2-1
2,0,0,0,swap,swap,swap,2,swap,1-4,2-3,-1,-1
3,1,0,0,move1,swap,swap,0,move1,1-1,2-3,-1,-1
4,0,0,0,move1,move1,swap,1,move1,1-1,2-3,-1,-1
5,1,0,0,swap,move1,swap,0,swap,3-0,2-0,-1,-1
6,0,0,0,swap,move1,swap,0,swap,2-4,2-1,-1,-1
7,1,0,0,mobilize,move1,swap,0,mobilize,1-1,2-1,-1,-1
8,0,0,0,mobilize,move1,move2,2,move2,1-1,2-1,-1,-1
9,1,1,0,mobilize,move1,capture,2,capture,1-1,2-2,-1,-1
10,0,1,3,mobilize,move1,capture,2,capture,2-1,2-0,-1,-1
11,1,5,3,mobilize,move1,move1,2,move1,2-2,2-3,-1,-1
12,0,5,3,move2,move1,move1,0,move2,1-4,1-3,3-4,3-3
13,1,6,3,swap,move1,move1,0,swap,2-4,2-3,-1,-1
14,0,6,3,move2,move1,move1,0,move2,1-3,2-3,-1,-1
15,1,7,3,mobilize,move1,move1,0,mobilize,1-0,1-2,-1,-1
16,0,7,3,mobilize,swap,move1,1,swap,2-1,3-1,-1,-1
17,1,7,3,mobilize,mobilize,move1,1,mobilize,2-2,2-3,-1,-1
18,0,7,4,capture,mobilize,move1,0,capture,3-1,2-1,3-3,3-2
19,1,10,4,move1,mobilize,move1,0,move1,2-3,2-2,-1,-1
20,0,10,5,move1,move2,move1,1,move2,1-4,2-4,2-1,2-2
21,1,10,5,move1,move1,move1,1,move1,1-2,0-3,-1,-1
22,0,10,6,swap,move1,move1,0,swap,2-4,3-4,-1,-1
23,1,11,6,swap,move1,move1,0,swap,0-3,2-2,-1,-1
24,0,11,6,capture,move1,move1,0,capture,3-4,2-3,-1,-1
25,1,15,6,move1,move1,move1,0,move1,1-3,2-3,-1,-1
26,0,15,6,move1,move1,move1,0,move1,3-2,3-1,-1,-1
27,1,16,6,capture,move1,move1,0,capture,3-4,3-3,-1,-1
28,0,16,9,move2,move1,move1,0,move2,1-4,1-3,-1,-1
29,1,17,9,swap,move1,move1,0,swap,1-0,1-2,-1,-1
30,0,17,9,swap,move1,move1,0,swap,1-4,1-2,-1,-1
31,1,18,9,move2,move1,move1,0,move2,1-4,1-2,-1,-1
32,0,18,9,mobilize,move1,move1,0,mobilize,1-4,1-3,-1,-1
33,1,19,9,mobilize,mobilize,move1,1,mobilize,3-3,3-2,-1,-1
34,0,19,9,capture,mobilize,move1,0,capture,1-3,2-3,3-1,2-1
35,1,23,9,swap,mobilize,move1,0,swap,2-2,2-3,-1,-1
36,0,23,9,swap,mobilize,move1,0,swap,0-3,1-2,-1,-1
37,1,24,9,move2,mobilize,move1,0,move2,0-3,1-2,-1,-1
38,0,24,9,move2,capture,move1,1,capture,0-3,1-3,2-1,1-1
39,1,28,9,move2,move1,move1,1,move1,1-2,1-3,-1,-1
40,0,28,9,swap,move1,move1,0,swap,2-4,1-3,-1,-1
41,1,29,9,swap,move1,move1,0,swap,3-2,1-3,-1,-1
42,0,29,9,swap,move1,move1,0,swap,1-4,1-2,-1,-1
43,1,30,9,move1,move1,move1,0,move1,1-4,1-2,-1,-1
44,0,30,9,swap,move1,move1,0,swap,1-1,2-1,-1,-1
45,1,31,9,swap,swap,move1,1,swap,1-3,2-3,-1,-1
46,0,31,9,move2,swap,move1,0,move2,1-4,2-3,-1,-1
47,1,32,9,move2,capture,move1,1,capture,1-4,2-3,-1,-1
48,0,32,12,move2,mobilize,move1,1,mobilize,3-2,2-2,-1,-1
49,1,33,12,move2,move2,move1,1,move2,2-3,2-2,1-0,1-1
50,0,33,12,move1,move2,move1,0,move1,1-4,2-3,-1,-1
