turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,swap,swap,mobilize,-1,None,-1,-1,-1,-1
1,1,0,0,swap,swap,move2,2,move2,1-0,1-1,2-0,2-1
2,0,0,0,swap,swap,swap,2,swap,1-4,0-3,-1,-1
3,1,0,0,move1,swap,swap,0,move1,2-1,2-4,-1,-1
4,0,0,0,move1,swap,move1,2,move1,2-1,3-0,-1,-1
5,1,0,0,swap,swap,move1,0,swap,2-4,2-3,-1,-1
6,0,0,0,swap,swap,swap,2,swap,3-4,2-4,-1,-1
7,1,0,0,mobilize,swap,swap,0,mobilize,1-1,0-3,-1,-1
8,0,0,0,move2,swap,swap,0,move2,1-1,0-1,3-0,4-0
9,1,1,0,capture,swap,swap,0,capture,2-3,2-2,-1,-1
10,0,1,1,capture,capture,swap,1,capture,2-4,2-2,-1,-1
11,1,4,1,move1,capture,swap,0,move1,2-1,2-2,-1,-1
12,0,4,1,move1,capture,move2,2,move2,0-1,2-1,-1,-1
13,1,7,1,move1,swap,move2,1,swap,2-4,1-4,-1,-1
14,0,7,1,move1,swap,move2,2,move2,2-1,3-1,-1,-1
15,1,7,1,move1,swap,mobilize,2,mobilize,2-4,1-3,-1,-1
16,0,7,1,move1,swap,swap,2,swap,3-1,3-2,1-4,2-4
17,1,7,1,mobilize,swap,swap,0,mobilize,0-1,0-2,-1,-1
18,0,7,2,capture,swap,swap,0,capture,3-2,2-2,4-0,4-1
19,1,7,2,capture,move1,swap,1,move1,0-3,2-4,-1,-1
20,0,7,6,move2,move1,swap,0,move2,0-3,1-3,-1,-1
21,1,7,6,move1,move1,swap,0,move1,1-0,1-2,-1,-1
22,0,7,7,move1,swap,swap,1,swap,0-3,1-3,-1,-1
23,1,7,7,move1,swap,swap,1,swap,2-4,1-3,-1,-1
24,0,7,8,capture,swap,swap,0,capture,2-4,3-4,-1,-1
25,1,10,8,move1,swap,swap,0,move1,1-2,2-2,-1,-1
26,0,10,8,move1,swap,swap,0,move1,3-4,4-4,-1,-1
27,1,11,8,swap,swap,swap,0,swap,1-2,2-2,-1,-1
28,0,11,9,move2,swap,swap,0,move2,4-1,2-2,-1,-1
29,1,11,9,swap,swap,swap,0,swap,0-2,1-2,-1,-1
30,0,11,9,swap,swap,swap,2,swap,2-2,4-1,-1,-1
31,1,11,9,move2,swap,swap,0,move2,2-2,1-4,-1,-1
32,0,11,10,capture,swap,swap,0,capture,4-4,3-4,-1,-1
33,1,14,10,swap,swap,swap,0,swap,1-2,2-2,-1,-1
34,0,14,10,swap,swap,capture,2,capture,3-4,1-3,-1,-1
35,1,17,10,swap,swap,move1,2,move1,3-4,2-4,-1,-1
36,0,17,10,swap,swap,swap,2,swap,1-3,2-3,-1,-1
37,1,17,10,move2,swap,swap,0,move2,1-2,2-4,-1,-1
38,0,17,10,move2,swap,swap,2,swap,2-3,3-4,-1,-1
39,1,17,10,mobilize,swap,swap,0,mobilize,1-4,1-3,-1,-1
40,0,17,10,mobilize,move1,swap,1,move1,3-4,1-3,-1,-1
41,1,17,10,mobilize,move1,mobilize,2,mobilize,3-4,1-3,-1,-1
42,0,17,10,mobilize,move1,move1,2,move1,1-2,0-2,3-4,3-3
43,1,17,10,mobilize,move1,move1,1,move1,2-4,1-4,-1,-1
44,0,17,10,move2,move1,move1,0,move2,0-2,0-1,3-3,3-2
45,1,17,10,move2,swap,move1,1,swap,1-4,2-4,-1,-1
46,0,17,10,capture,swap,move1,0,capture,3-2,3-3,-1,-1
47,1,20,10,capture,swap,move1,0,capture,2-3,3-3,-1,-1
48,0,20,10,capture,swap,mobilize,2,mobilize,4-1,4-2,-1,-1
49,1,23,10,move2,swap,mobilize,0,move2,1-3,1-4,-1,-1
50,0,23,10,move1,swap,mobilize,0,move1,4-2,3-2,-1,-1
