turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,swap,capture,-1,None,-1,-1,-1,-1
1,1,0,0,capture,swap,capture,0,capture,1-0,1-1,-1,-1
2,0,0,0,capture,move1,capture,1,move1,1-4,1-1,-1,-1
3,1,3,0,swap,move1,capture,0,swap,1-4,2-4,-1,-1
4,0,3,3,swap,move1,move1,2,move1,2-4,1-4,-1,-1
5,1,3,3,move2,move1,move1,0,move2,3-0,1-1,-1,-1
6,0,3,3,mobilize,move1,move1,0,mobilize,3-0,3-2,-1,-1
7,1,3,3,mobilize,capture,move1,1,capture,1-1,2-1,-1,-1
8,0,3,3,swap,capture,move1,0,swap,2-4,2-3,3-4,3-3
9,1,6,3,swap,swap,move1,1,swap,2-1,2-3,2-0,-1
10,0,6,3,mobilize,swap,move1,0,mobilize,3-3,2-1,-1,-1
11,1,6,3,mobilize,capture,move1,1,capture,3-3,2-1,-1,-1
12,0,6,4,move2,capture,move1,0,move2,3-2,2-2,3-3,2-3
13,1,9,4,move2,mobilize,move1,1,mobilize,2-1,2-2,-1,-1
14,0,9,4,move2,mobilize,swap,2,swap,1-4,1-3,-1,-1
15,1,9,4,move2,mobilize,swap,2,swap,2-0,2-3,-1,-1
16,0,9,4,move2,mobilize,move2,2,move2,2-4,2-3,-1,-1
17,1,10,4,move2,move2,move2,1,move2,1-0,1-1,2-1,2-2
18,0,10,4,move2,move2,move2,0,move2,2-0,2-1,-1,-1
19,1,11,4,swap,move2,move2,0,swap,1-1,1-2,-1,-1
20,0,11,5,move1,move2,move2,0,move1,2-1,2-2,-1,-1
21,1,11,5,mobilize,move2,move2,0,mobilize,2-4,1-4,-1,-1
22,0,11,6,mobilize,swap,move2,1,swap,2-3,3-2,-1,-1
23,1,11,6,mobilize,move1,move2,1,move1,1-4,1-3,-1,-1
24,0,11,7,mobilize,move1,move1,2,move1,1-4,2-3,-1,-1
25,1,11,7,mobilize,swap,move1,1,swap,2-1,1-1,-1,-1
26,0,11,8,mobilize,swap,move1,1,swap,3-2,1-2,-1,-1
27,1,11,8,mobilize,swap,move1,1,swap,1-1,1-2,-1,-1
28,0,11,9,mobilize,swap,move1,1,swap,1-1,1-2,-1,-1
29,1,11,9,mobilize,move1,move1,1,move1,1-1,1-2,-1,-1
30,0,11,10,mobilize,swap,move1,1,swap,1-1,2-1,-1,-1
31,1,11,10,mobilize,move1,move1,1,move1,1-3,2-3,-1,-1
32,0,11,11,mobilize,capture,move1,1,capture,2-1,1-1,-1,-1
33,1,14,11,mobilize,move1,move1,1,move1,2-3,1-3,-1,-1
34,0,14,12,swap,move1,move1,0,swap,1-1,2-1,1-4,1-3
35,1,15,12,swap,move1,move1,0,swap,3-2,2-2,-1,-1
36,0,15,12,mobilize,move1,move1,0,mobilize,3-2,2-3,-1,-1
37,1,16,12,capture,move1,move1,0,capture,3-2,3-1,1-2,1-1
38,0,16,15,move2,move1,move1,0,move2,2-1,1-1,-1,-1
39,1,17,15,move2,capture,move1,1,capture,1-0,1-1,-1,-1
40,0,17,18,move2,swap,move1,1,swap,2-1,1-1,-1,-1
41,1,18,18,move2,swap,move1,1,swap,1-0,2-1,-1,-1
42,0,18,18,move2,move1,move1,1,move1,1-0,2-1,-1,-1
43,1,19,18,move2,move2,move1,1,move2,1-0,1-1,-1,-1
44,0,19,18,move2,move2,mobilize,2,mobilize,1-3,1-2,-1,-1
45,1,20,18,move2,move2,mobilize,0,move2,3-1,3-2,-1,-1
46,0,20,18,move2,move2,mobilize,0,move2,1-2,1-3,-1,-1
47,1,21,18,move2,move2,mobilize,0,move2,1-1,1-2,-1,-1
48,0,21,18,mobilize,move2,mobilize,0,mobilize,1-3,2-4,-1,-1
49,1,22,18,move1,move2,mobilize,0,move1,3-2,3-3,1-2,1-3
50,0,22,18,move1,capture,mobilize,1,capture,2-1,1-2,-1,-1
