turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,mobilize,move2,-1,None,-1,-1,-1,-1
1,1,0,0,move1,mobilize,capture,2,capture,1-0,2-1,-1,-1
2,0,0,0,move1,mobilize,capture,0,move1,1-4,1-3,-1,-1
3,1,3,0,move1,mobilize,move1,2,move1,2-1,2-4,2-0,-1
4,0,3,0,move1,mobilize,move2,2,move2,1-3,1-2,-1,-1
5,1,3,0,move1,mobilize,swap,2,swap,2-1,3-1,-1,-1
6,0,3,1,move1,swap,swap,1,swap,1-2,2-2,1-4,1-3
7,1,3,1,capture,swap,swap,0,capture,3-1,2-1,-1,-1
8,0,3,5,swap,swap,swap,0,swap,2-2,2-1,-1,-1
9,1,3,5,swap,swap,swap,0,swap,1-0,1-3,-1,-1
10,0,3,6,move1,swap,swap,0,move1,1-0,3-0,-1,-1
11,1,3,6,move1,swap,swap,0,move1,1-3,1-2,-1,-1
12,0,3,7,move1,swap,swap,1,swap,3-0,1-0,-1,-1
13,1,3,7,move2,swap,swap,0,move2,1-2,1-1,-1,-1
14,0,3,8,move2,mobilize,swap,1,mobilize,1-0,3-0,-1,-1
15,1,3,8,swap,mobilize,swap,0,swap,1-1,2-1,-1,-1
16,0,3,9,swap,mobilize,move2,2,move2,3-0,2-0,-1,-1
17,1,3,9,swap,mobilize,move2,0,swap,3-0,2-0,-1,-1
18,0,3,10,capture,mobilize,move2,0,capture,3-0,2-0,-1,-1
19,1,6,10,capture,mobilize,move2,0,capture,2-1,2-0,-1,-1
20,0,6,14,move2,mobilize,move2,0,move2,2-2,2-1,-1,-1
21,1,6,14,move1,mobilize,move2,0,move1,3-0,2-1,-1,-1
22,0,6,15,move1,mobilize,mobilize,2,mobilize,1-4,1-2,-1,-1
23,1,6,15,swap,mobilize,mobilize,0,swap,1-0,1-1,-1,-1
24,0,6,16,mobilize,mobilize,mobilize,0,mobilize,1-2,2-1,-1,-1
25,1,6,16,swap,mobilize,mobilize,0,swap,2-0,1-0,1-1,0-1
26,0,6,17,swap,move2,mobilize,1,move2,2-1,2-0,3-4,3-3
27,1,6,17,swap,move2,mobilize,2,mobilize,1-0,1-1,0-1,0-2
28,0,6,18,swap,move1,mobilize,1,move1,3-3,2-4,-1,-1
29,1,6,18,swap,mobilize,mobilize,1,mobilize,1-1,0-1,-1,-1
30,0,6,19,swap,swap,mobilize,1,swap,2-0,2-1,2-4,2-3
31,1,6,19,capture,swap,mobilize,0,capture,0-1,2-1,-1,-1
32,0,6,23,swap,swap,mobilize,0,swap,2-2,2-1,2-3,-1
33,1,6,23,capture,swap,mobilize,0,capture,1-0,0-1,-1,-1
34,0,6,24,capture,mobilize,mobilize,1,mobilize,1-0,1-2,-1,-1
35,1,9,24,move2,mobilize,mobilize,0,move2,0-2,1-2,-1,-1
36,0,9,25,move1,mobilize,mobilize,0,move1,2-3,1-3,-1,-1
37,1,9,25,move1,move1,mobilize,1,move1,0-1,1-1,0-2,1-2
38,0,9,26,move1,capture,mobilize,1,capture,1-4,0-4,-1,-1
39,1,12,26,move1,move1,mobilize,1,move1,1-2,1-3,-1,-1
40,0,12,27,move1,move1,move2,2,move2,0-4,0-3,1-4,1-3
41,1,12,27,move1,move1,swap,2,swap,1-0,2-1,-1,-1
42,0,12,28,move1,swap,swap,1,swap,1-3,2-3,-1,-1
43,1,12,28,move1,move2,swap,1,move2,1-1,2-3,-1,-1
44,0,12,29,swap,move2,swap,0,swap,1-1,0-1,-1,-1
45,1,12,29,swap,swap,swap,1,swap,1-2,1-1,-1,-1
46,0,12,30,swap,swap,move1,2,move1,0-1,2-1,-1,-1
47,1,12,30,move2,swap,move1,0,move2,0-1,2-1,-1,-1
48,0,12,31,move2,capture,move1,1,capture,0-3,1-1,-1,-1
49,1,15,31,move2,move1,move1,1,move1,2-1,1-1,-1,-1
50,0,15,32,swap,move1,move1,0,swap,0-1,1-2,-1,-1
