turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,swap,capture,-1,None,-1,-1,-1,-1
1,1,0,0,capture,swap,capture,0,capture,2-0,2-1,-1,-1
2,0,0,0,capture,move1,capture,1,move1,2-4,2-1,-1,-1
3,1,3,0,capture,move1,swap,2,swap,2-4,3-4,-1,-1
4,0,3,3,move1,move1,swap,0,move1,1-4,2-4,-1,-1
5,1,3,3,move1,move1,move2,2,move2,2-0,2-1,-1,-1
6,0,3,3,move1,move1,mobilize,2,mobilize,1-4,2-4,-1,-1
7,1,3,3,move1,move1,capture,2,capture,1-0,0-0,2-1,1-1
8,0,3,6,move1,move1,swap,2,swap,2-0,3-0,-1,-1
9,1,3,6,swap,move1,swap,0,swap,1-1,2-1,-1,-1
10,0,3,6,mobilize,move1,swap,0,mobilize,2-4,2-1,-1,-1
11,1,3,6,mobilize,move1,capture,2,capture,2-4,2-1,-1,-1
12,0,3,9,mobilize,move1,move2,2,move2,2-0,2-1,-1,-1
13,1,3,9,mobilize,move1,mobilize,2,mobilize,1-0,1-1,-1,-1
14,0,3,9,swap,move1,mobilize,0,swap,2-4,2-3,2-0,2-1
15,1,3,9,swap,move1,swap,2,swap,3-0,2-0,1-1,1-2
16,0,3,10,swap,move2,swap,1,move2,2-1,2-2,-1,-1
17,1,4,10,swap,move2,move2,2,move2,2-0,2-2,-1,-1
18,0,4,11,move2,move2,move2,0,move2,3-4,2-2,-1,-1
19,1,4,11,swap,move2,move2,0,swap,1-2,0-3,-1,-1
20,0,4,12,swap,move1,move2,1,move1,2-0,2-1,-1,-1
21,1,5,12,mobilize,move1,move2,0,mobilize,0-3,2-2,-1,-1
22,0,5,12,mobilize,move1,swap,2,swap,0-3,1-2,-1,-1
23,1,6,12,mobilize,move1,move1,2,move1,3-4,2-3,-1,-1
24,0,6,12,move1,move1,move1,0,move1,3-4,3-3,2-1,1-1
25,1,7,12,move1,move1,swap,2,swap,0-0,0-1,-1,-1
26,0,7,12,move1,move1,swap,2,swap,3-3,2-3,-1,-1
27,1,8,12,move1,swap,swap,1,swap,0-1,0-2,-1,-1
28,0,8,12,swap,swap,swap,0,swap,2-3,1-3,-1,-1
29,1,9,12,swap,swap,swap,0,swap,3-3,1-2,-1,-1
30,0,9,12,swap,swap,swap,0,swap,3-3,1-2,-1,-1
31,1,10,12,swap,swap,mobilize,2,mobilize,0-2,1-2,-1,-1
32,0,10,12,capture,swap,mobilize,0,capture,1-1,1-2,-1,-1
33,1,14,12,move1,swap,mobilize,0,move1,1-1,1-2,-1,-1
34,0,14,12,swap,swap,mobilize,0,swap,0-2,1-2,-1,-1
35,1,15,12,swap,mobilize,mobilize,1,mobilize,1-1,1-3,-1,-1
36,0,15,12,capture,mobilize,mobilize,0,capture,1-4,1-3,-1,-1
37,1,16,12,capture,mobilize,move1,2,move1,1-4,2-4,3-3,3-2
38,0,16,15,mobilize,mobilize,move1,0,mobilize,1-2,2-2,-1,-1
39,1,17,15,capture,mobilize,move1,0,capture,3-2,2-2,1-0,2-0
40,0,17,18,move1,mobilize,move1,0,move1,1-2,2-2,-1,-1
41,1,17,18,move1,move2,move1,1,move2,2-4,2-3,2-0,2-1
42,0,17,18,move1,move1,move1,1,move1,1-1,0-2,-1,-1
43,1,18,18,move1,move2,move1,1,move2,2-1,2-2,-1,-1
44,0,18,18,move1,capture,move1,1,capture,0-2,1-1,-1,-1
45,1,22,18,move1,move2,move1,1,move2,2-3,1-3,-1,-1
46,0,22,18,move1,swap,move1,1,swap,1-4,1-3,-1,-1
47,1,23,18,move1,move2,move1,1,move2,1-0,1-2,-1,-1
48,0,23,18,move1,swap,move1,1,swap,1-0,0-1,-1,-1
49,1,24,18,move1,mobilize,move1,1,mobilize,2-3,1-1,-1,-1
50,0,24,18,move1,move2,move1,1,move2,1-3,0-3,0-1,0-2
