turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,swap,swap,mobilize,-1,None,-1,-1,-1,-1
1,1,0,0,swap,swap,move2,2,move2,1-0,1-1,2-0,2-1
2,0,0,0,swap,swap,swap,2,swap,3-4,2-3,-1,-1
3,1,0,0,move1,swap,swap,0,move1,1-1,2-3,-1,-1
4,0,0,0,move1,move1,swap,1,move1,1-1,2-3,-1,-1
5,1,0,0,swap,move1,swap,0,swap,1-1,0-1,-1,-1
6,0,0,0,swap,swap,swap,1,swap,1-4,1-3,-1,-1
7,1,0,0,swap,mobilize,swap,1,mobilize,2-1,1-3,-1,-1
8,0,0,1,swap,move2,swap,1,move2,2-1,2-2,2-4,1-4
9,1,0,1,swap,move2,capture,2,capture,1-3,1-4,-1,-1
10,0,0,5,swap,move2,capture,2,capture,1-3,1-4,-1,-1
11,1,0,5,swap,move1,capture,1,move1,0-1,0-0,-1,-1
12,0,0,6,swap,move2,capture,1,move2,1-3,1-2,-1,-1
13,1,0,6,swap,swap,capture,1,swap,1-0,0-1,-1,-1
14,0,0,6,move2,swap,capture,0,move2,2-2,0-1,-1,-1
15,1,0,6,mobilize,swap,capture,0,mobilize,2-2,3-3,-1,-1
16,0,0,9,mobilize,swap,swap,2,swap,0-1,0-0,-1,-1
17,1,0,9,mobilize,swap,swap,0,mobilize,1-0,0-0,3-0,2-0
18,0,0,10,capture,swap,swap,0,capture,0-1,1-1,2-3,2-2
19,1,0,10,capture,swap,move1,2,move1,3-3,1-2,-1,-1
20,0,0,14,move2,swap,move1,0,move2,1-1,1-2,-1,-1
21,1,0,14,move1,swap,move1,0,move1,0-0,0-1,-1,-1
22,0,0,14,move1,swap,move1,1,swap,2-2,1-0,-1,-1
23,1,0,14,move1,swap,swap,2,swap,2-2,2-3,-1,-1
24,0,0,14,move1,capture,swap,1,capture,3-3,2-3,-1,-1
25,1,0,14,move1,capture,swap,0,move1,2-0,2-1,-1,-1
26,0,0,17,move1,move1,swap,1,move1,1-1,2-1,-1,-1
27,1,0,17,move1,capture,swap,1,capture,2-0,3-0,-1,-1
28,0,0,20,move1,move2,swap,1,move2,2-3,3-3,-1,-1
29,1,0,20,move1,move2,move1,2,move1,2-0,2-3,-1,-1
30,0,0,20,move1,swap,move1,1,swap,1-1,2-1,-1,-1
31,1,0,20,move1,move2,move1,1,move2,2-3,2-1,-1,-1
32,0,0,21,capture,move2,move1,0,capture,2-3,2-2,-1,-1
33,1,0,21,capture,move2,move1,2,move1,3-0,4-0,-1,-1
34,0,0,25,move2,move2,move1,0,move2,2-2,2-1,-1,-1
35,1,0,25,move2,move2,move1,2,move1,0-1,0-2,-1,-1
36,0,0,26,swap,move2,move1,0,swap,1-0,2-1,-1,-1
37,1,0,26,swap,swap,move1,1,swap,3-0,4-1,-1,-1
38,0,0,26,swap,swap,move1,0,swap,2-2,4-1,-1,-1
39,1,1,26,swap,capture,move1,1,capture,4-0,4-1,-1,-1
40,0,1,29,swap,swap,move1,1,swap,2-1,2-2,-1,-1
41,1,1,29,swap,swap,mobilize,2,mobilize,1-0,1-1,-1,-1
42,0,1,29,swap,swap,mobilize,2,mobilize,2-0,3-0,2-1,3-1
43,1,1,29,swap,swap,swap,2,swap,0-2,0-3,1-1,1-2
44,0,1,29,swap,swap,swap,0,swap,4-0,4-1,-1,-1
45,1,1,29,swap,swap,swap,2,swap,1-2,3-1,-1,-1
46,0,1,29,move2,swap,swap,0,move2,1-2,3-1,-1,-1
47,1,1,29,move1,swap,swap,0,move1,1-2,0-2,-1,-1
48,0,1,29,move1,mobilize,swap,1,mobilize,3-0,4-0,-1,-1
49,1,1,29,move2,mobilize,swap,0,move2,0-3,1-3,-1,-1
50,0,1,29,move2,mobilize,capture,2,capture,4-0,3-0,-1,-1
