turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,swap,swap,mobilize,-1,None,-1,-1,-1,-1
1,1,0,0,swap,swap,move2,2,move2,1-0,1-1,2-0,2-1
2,0,0,0,swap,swap,swap,2,swap,1-4,0-4,-1,-1
3,1,0,0,move1,swap,swap,0,move1,2-1,2-4,-1,-1
4,0,0,1,move1,swap,swap,0,move1,2-1,2-2,-1,-1
5,1,0,1,swap,swap,swap,0,swap,1-1,0-1,-1,-1
6,0,0,2,swap,swap,swap,1,swap,3-4,2-4,-1,-1
7,1,1,2,swap,mobilize,swap,1,mobilize,3-0,2-2,-1,-1
8,0,1,3,swap,mobilize,move2,2,move2,2-4,2-2,-1,-1
9,1,1,3,swap,capture,move2,1,capture,0-1,1-1,3-4,3-3
10,0,1,4,swap,capture,capture,2,capture,3-0,2-1,-1,-1
11,1,1,4,move1,capture,capture,0,move1,2-4,0-4,-1,-1
12,0,1,8,move1,capture,move2,2,move2,2-1,1-1,-1,-1
13,1,1,8,swap,capture,move2,0,swap,0-4,1-4,-1,-1
14,0,1,12,swap,move2,move2,1,move2,2-4,1-4,-1,-1
15,1,1,12,swap,mobilize,move2,1,mobilize,3-3,2-3,-1,-1
16,0,1,13,swap,mobilize,swap,2,swap,2-1,1-1,-1,-1
17,1,2,13,swap,mobilize,mobilize,2,mobilize,2-3,2-2,-1,-1
18,0,2,14,capture,mobilize,mobilize,0,capture,1-1,2-2,-1,-1
19,1,2,14,capture,move1,mobilize,1,move1,1-0,0-0,1-1,0-1
20,0,2,18,move2,move1,mobilize,0,move2,2-2,2-0,2-3,-1
21,1,2,18,move1,move1,mobilize,0,move1,1-0,1-1,-1,-1
22,0,2,19,move1,move1,swap,2,swap,2-4,1-4,2-3,1-3
23,1,2,19,move1,swap,swap,1,swap,0-1,0-2,-1,-1
24,0,2,20,move1,capture,swap,1,capture,1-4,0-2,-1,-1
25,1,2,20,move1,capture,move1,2,move1,1-4,1-3,-1,-1
26,0,2,24,move1,move1,move1,1,move1,1-4,1-3,-1,-1
27,1,2,24,move1,move1,move2,2,move2,1-1,1-2,-1,-1
28,0,2,25,move1,move1,move2,2,move2,0-2,0-4,-1,-1
29,1,2,25,move1,move1,move1,2,move1,1-2,0-1,-1,-1
30,0,2,26,move1,move1,swap,2,swap,1-4,2-4,-1,-1
31,1,3,26,move1,move1,move2,2,move2,1-0,2-2,-1,-1
32,0,3,26,move1,move1,capture,2,capture,0-4,1-4,-1,-1
33,1,4,26,capture,move1,capture,0,capture,0-1,1-1,-1,-1
34,0,4,29,capture,move1,swap,2,swap,1-0,1-1,-1,-1
35,1,5,29,capture,swap,swap,1,swap,2-0,3-0,-1,-1
36,0,5,30,capture,swap,move1,2,move1,1-4,2-2,-1,-1
37,1,5,30,capture,swap,mobilize,2,mobilize,0-0,0-1,-1,-1
38,0,5,34,mobilize,swap,mobilize,0,mobilize,2-4,1-4,-1,-1
39,1,5,34,mobilize,move2,mobilize,1,move2,3-0,1-0,-1,-1
40,0,5,35,mobilize,swap,mobilize,1,swap,3-0,4-0,-1,-1
41,1,6,35,mobilize,swap,mobilize,1,swap,1-0,2-2,-1,-1
42,0,6,36,mobilize,swap,mobilize,1,swap,2-4,2-2,-1,-1
43,1,6,36,mobilize,swap,mobilize,0,mobilize,0-1,0-2,2-0,2-1
44,0,6,37,mobilize,swap,capture,2,capture,1-0,2-0,4-0,3-0
45,1,9,37,mobilize,swap,swap,2,swap,2-1,2-2,-1,-1
46,0,9,37,mobilize,move1,swap,1,move1,2-0,2-1,-1,-1
47,1,9,37,swap,move1,swap,0,swap,0-2,0-1,2-0,1-0
48,0,9,38,swap,swap,swap,1,swap,2-1,2-2,-1,-1
49,1,10,38,swap,move2,swap,1,move2,0-1,2-2,-1,-1
50,0,10,38,swap,capture,swap,1,capture,1-4,1-2,-1,-1
