turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,mobilize,move2,-1,None,-1,-1,-1,-1
1,1,0,0,move1,mobilize,mobilize,2,mobilize,2-0,3-1,-1,-1
2,0,0,0,move1,mobilize,mobilize,0,move1,3-6,3-5,-1,-1
3,1,0,0,move1,move1,mobilize,1,move1,3-1,3-2,4-0,4-1
4,0,0,0,move1,move1,move1,2,move1,2-6,2-5,4-6,3-6
5,1,3,0,move1,capture,move1,1,capture,3-2,3-3,-1,-1
6,0,3,3,move1,capture,move1,1,capture,3-5,3-3,3-6,-1
7,1,3,3,mobilize,capture,move1,0,mobilize,4-1,3-1,-1,-1
8,0,3,3,mobilize,capture,capture,2,capture,2-5,2-6,-1,-1
9,1,3,3,swap,capture,capture,0,swap,2-0,2-1,3-0,4-0
10,0,3,3,swap,capture,capture,-1,None,-1,-1,-1,-1
11,1,3,3,move1,move1,capture,-1,None,-1,-1,-1,-1
12,0,3,3,move1,move1,capture,0,move1,2-6,2-5,-1,-1
13,1,3,3,move2,move1,capture,0,move2,4-0,4-1,-1,-1
14,0,3,6,capture,move1,capture,0,capture,3-5,3-3,-1,-1
15,1,3,6,capture,move2,capture,1,move2,3-1,3-2,-1,-1
16,0,3,12,capture,move2,swap,2,swap,3-3,3-2,-1,-1
17,1,6,12,capture,move2,mobilize,2,mobilize,2-1,3-3,-1,-1
18,0,6,15,mobilize,move2,mobilize,0,mobilize,2-1,2-0,-1,-1
19,1,9,15,mobilize,move2,mobilize,1,move2,2-0,3-1,-1,-1
20,0,9,15,move1,move2,mobilize,0,move1,2-5,3-5,2-1,2-2
21,1,12,15,move1,move2,move2,2,move2,4-1,4-2,3-1,3-2
22,0,12,16,move1,swap,move2,1,swap,2-2,1-3,-1,-1
23,1,16,16,move1,swap,move2,2,move2,4-2,5-3,-1,-1
24,0,16,20,move1,swap,move2,1,swap,3-6,3-3,-1,-1
