turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,capture,capture,-1,None,-1,-1,-1,-1
1,1,0,0,capture,capture,capture,0,capture,1-0,1-1,-1,-1
2,0,0,0,capture,capture,capture,-1,None,-1,-1,-1,-1
3,1,0,0,move1,swap,move1,-1,None,-1,-1,-1,-1
4,0,0,0,move1,swap,move2,2,move2,3-4,3-3,-1,-1
5,1,0,0,move1,swap,capture,2,capture,3-0,2-1,-1,-1
6,0,0,0,capture,swap,capture,0,capture,3-3,3-2,-1,-1
7,1,3,0,capture,swap,capture,0,capture,2-1,2-4,2-0,-1
8,0,3,0,capture,capture,capture,1,capture,3-2,1-1,-1,-1
9,1,6,0,mobilize,capture,capture,0,mobilize,2-1,2-4,2-0,-1
10,0,6,3,mobilize,capture,capture,1,capture,1-1,2-1,-1,-1
11,1,9,3,mobilize,mobilize,capture,1,mobilize,1-0,1-1,-1,-1
12,0,9,3,capture,mobilize,capture,0,capture,1-4,1-3,2-4,2-3
13,1,10,3,capture,capture,capture,1,capture,3-2,2-2,2-0,2-1
14,0,10,6,capture,swap,capture,1,swap,2-3,2-2,-1,-1
15,1,13,6,move2,swap,capture,0,move2,2-1,2-3,2-0,-1
16,0,13,6,move2,swap,capture,0,move2,1-3,2-4,-1,-1
17,1,16,6,move2,swap,mobilize,2,mobilize,2-1,2-4,2-0,-1
18,0,16,6,move2,swap,capture,2,capture,1-4,1-3,3-4,4-4
19,1,19,6,move2,swap,move2,2,move2,2-1,2-4,2-0,-1
20,0,19,6,mobilize,swap,move2,0,mobilize,1-4,2-3,-1,-1
21,1,20,6,swap,swap,move2,0,swap,2-1,2-2,1-0,1-1
22,0,20,6,swap,move1,move2,1,move1,2-3,2-0,-1,-1
23,1,21,6,swap,move1,move2,1,move1,1-1,2-1,-1,-1
24,0,21,6,swap,swap,move2,1,swap,2-0,1-0,-1,-1
25,1,22,6,swap,swap,swap,2,swap,2-3,3-2,-1,-1
26,0,22,6,swap,capture,swap,1,capture,4-4,3-2,-1,-1
27,1,26,6,swap,capture,swap,1,capture,2-2,3-2,-1,-1
28,0,26,6,swap,capture,move2,2,move2,1-0,2-1,-1,-1
29,1,30,6,swap,move1,move2,1,move1,2-2,2-1,-1,-1
30,0,30,6,swap,move1,move2,1,move1,2-4,3-4,-1,-1
31,1,31,6,capture,move1,move2,0,capture,1-0,1-3,-1,-1
32,0,31,6,capture,move1,move1,2,move1,3-4,2-3,-1,-1
33,1,35,6,move2,move1,move1,0,move2,1-3,1-4,-1,-1
34,0,35,6,move2,capture,move1,1,capture,2-3,3-3,-1,-1
35,1,39,6,move2,capture,move1,1,capture,1-3,1-4,-1,-1
36,0,39,6,swap,capture,move1,0,swap,3-3,4-3,-1,-1
37,1,43,6,swap,move1,move1,1,move1,1-3,1-4,-1,-1
38,0,43,6,swap,move1,capture,2,capture,1-0,0-0,-1,-1
39,1,47,6,swap,move1,capture,2,capture,1-3,1-4,-1,-1
40,0,47,6,capture,move1,capture,0,capture,1-4,4-4,-1,-1
41,1,48,6,capture,move1,capture,1,move1,1-4,2-4,-1,-1
42,0,48,6,capture,mobilize,capture,1,mobilize,4-3,4-2,-1,-1
43,1,49,6,capture,capture,capture,1,capture,2-4,2-3,1-3,1-2
44,0,49,6,capture,capture,capture,-1,None,-1,-1,-1,-1
45,1,53,6,mobilize,capture,capture,0,mobilize,2-2,4-2,1-2,-1
46,0,53,6,capture,capture,capture,0,capture,1-4,1-3,4-4,4-3
47,1,57,6,move2,capture,capture,0,move2,2-3,1-3,-1,-1
48,0,57,6,move2,capture,capture,0,move2,4-3,4-1,-1,-1
49,1,58,6,mobilize,capture,capture,0,mobilize,2-3,1-3,-1,-1
50,0,58,6,mobilize,capture,capture,0,mobilize,1-4,2-4,4-1,4-2
51,1,62,6,mobilize,capture,capture,1,capture,2-2,4-2,1-2,-1
52,0,62,6,swap,capture,capture,0,swap,2-4,3-4,0-0,0-1
53,1,66,6,swap,swap,capture,1,swap,1-3,1-4,-1,-1
54,0,66,6,swap,capture,capture,1,capture,0-1,1-2,-1,-1
55,1,70,6,swap,capture,capture,1,capture,1-3,1-4,-1,-1
56,0,70,6,move2,capture,capture,0,move2,1-2,1-3,-1,-1
57,1,74,6,move2,capture,capture,1,capture,1-2,1-3,-1,-1
58,0,74,6,move1,capture,capture,0,move1,3-4,4-4,-1,-1
59,1,75,6,mobilize,capture,capture,0,mobilize,0-1,1-1,-1,-1
60,0,75,6,capture,capture,capture,0,capture,4-4,3-4,2-4,2-3
61,1,79,6,capture,capture,capture,0,capture,1-2,1-4,1-1,-1
62,0,79,9,capture,capture,move2,2,move2,2-3,2-2,-1,-1
63,1,82,9,mobilize,capture,move2,0,mobilize,1-2,1-4,1-1,-1
64,0,82,9,mobilize,capture,move2,2,move2,2-3,0-3,-1,-1
65,1,85,9,mobilize,move2,move2,1,move2,1-2,1-4,1-1,-1
66,0,85,9,mobilize,mobilize,move2,1,mobilize,3-4,2-3,-1,-1
67,1,86,9,mobilize,mobilize,move2,0,mobilize,1-2,2-2,1-0,2-0
68,0,86,9,move1,mobilize,move2,0,move1,2-3,2-4,1-4,1-3
69,1,87,9,move1,mobilize,move2,0,move1,1-1,2-1,-1,-1
70,0,87,9,move1,capture,move2,1,capture,2-4,2-3,0-3,0-2
71,1,91,9,move1,move1,move2,1,move1,2-2,2-3,-1,-1
72,0,91,9,capture,move1,move2,0,capture,1-4,0-4,-1,-1
73,1,92,9,capture,move1,capture,2,capture,2-0,1-1,-1,-1
74,0,92,9,capture,move1,capture,1,move1,0-4,0-3,-1,-1
75,1,93,9,capture,swap,capture,1,swap,1-1,1-2,-1,-1
76,0,93,9,capture,swap,capture,1,swap,0-3,1-2,-1,-1
77,1,97,9,capture,swap,capture,0,capture,2-2,1-2,-1,-1
78,0,97,9,capture,mobilize,capture,1,mobilize,1-4,0-3,-1,-1
79,1,101,9,capture,mobilize,capture,0,capture,1-4,1-3,-1,-1
80,0,101,9,capture,capture,capture,1,capture,0-3,0-4,0-2,1-2
81,1,105,9,move1,capture,capture,0,move1,1-4,2-4,-1,-1
82,0,105,9,swap,capture,capture,0,swap,1-2,1-3,-1,-1
83,1,109,9,swap,capture,capture,1,capture,1-4,2-4,-1,-1
84,0,109,10,move2,capture,capture,0,move2,2-4,2-2,-1,-1
85,1,112,10,move2,capture,capture,1,capture,1-4,1-3,-1,-1
86,0,112,10,swap,capture,capture,0,swap,2-2,3-2,-1,-1
87,1,115,10,swap,swap,capture,1,swap,2-4,3-4,-1,-1
88,0,115,10,move1,swap,capture,0,move1,3-4,1-4,-1,-1
89,1,118,10,move1,swap,mobilize,2,mobilize,2-4,1-4,-1,-1
90,0,118,10,move1,swap,swap,2,swap,0-4,0-3,3-2,4-2
91,1,119,10,move2,swap,swap,0,move2,2-1,2-2,-1,-1
