turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,capture,capture,-1,None,-1,-1,-1,-1
1,1,0,0,capture,capture,capture,0,capture,1-0,0-0,-1,-1
2,0,0,0,capture,capture,capture,-1,None,-1,-1,-1,-1
3,1,0,0,move1,swap,move1,-1,None,-1,-1,-1,-1
4,0,0,0,move2,swap,move1,0,move2,2-4,2-3,-1,-1
5,1,0,0,capture,swap,move1,0,capture,3-0,3-1,-1,-1
6,0,0,1,capture,swap,capture,2,capture,2-3,2-2,-1,-1
7,1,1,1,capture,capture,capture,1,capture,2-0,2-2,-1,-1
8,0,1,1,capture,capture,capture,-1,None,-1,-1,-1,-1
9,1,1,1,capture,mobilize,capture,-1,None,-1,-1,-1,-1
10,0,1,1,capture,mobilize,capture,1,mobilize,1-4,1-3,2-0,2-1
11,1,5,1,capture,mobilize,capture,2,capture,3-1,2-1,-1,-1
12,0,5,1,capture,capture,capture,1,capture,1-3,1-2,1-4,0-4
13,1,9,1,capture,swap,capture,1,swap,2-2,1-2,-1,-1
14,0,9,2,capture,move2,capture,1,move2,3-4,2-2,-1,-1
15,1,9,2,capture,move2,capture,1,move2,3-1,2-0,-1,-1
16,0,9,6,mobilize,move2,capture,0,mobilize,1-4,3-4,0-4,-1
17,1,9,6,capture,move2,capture,0,capture,1-0,1-1,2-0,3-0
18,0,9,7,capture,move2,capture,1,move2,0-4,1-3,-1,-1
19,1,9,7,capture,mobilize,capture,1,mobilize,0-0,0-2,-1,-1
20,0,9,11,swap,mobilize,capture,0,swap,1-3,1-1,1-4,-1
21,1,10,11,move1,mobilize,capture,0,move1,1-0,2-2,-1,-1
22,0,10,11,move1,mobilize,capture,0,move1,1-3,1-2,-1,-1
23,1,11,11,swap,mobilize,capture,0,swap,0-2,0-1,-1,-1
24,0,11,14,swap,mobilize,swap,2,swap,1-2,2-2,-1,-1
25,1,11,14,swap,capture,swap,1,capture,0-1,1-1,3-0,3-1
26,0,11,17,swap,capture,swap,1,capture,1-0,2-0,-1,-1
27,1,14,17,swap,move2,swap,1,move2,2-0,1-0,-1,-1
28,0,14,18,swap,move1,swap,1,move1,2-4,2-2,-1,-1
29,1,14,18,move1,move1,swap,0,move1,1-1,1-2,-1,-1
30,0,14,19,move1,move1,capture,2,capture,1-4,1-2,-1,-1
31,1,14,19,move1,move1,capture,0,move1,3-1,3-2,-1,-1
32,0,14,23,move1,move1,capture,2,capture,2-2,3-2,-1,-1
33,1,14,23,move1,capture,capture,1,capture,1-4,2-4,-1,-1
34,0,14,27,move1,mobilize,capture,1,mobilize,1-1,1-0,-1,-1
35,1,17,27,move1,mobilize,capture,2,capture,1-0,1-1,-1,-1
36,0,17,31,move1,mobilize,move1,2,move1,1-4,2-4,-1,-1
37,1,17,31,move1,capture,move1,1,capture,2-0,2-1,1-0,1-1
38,0,17,35,move1,swap,move1,1,swap,1-2,1-1,-1,-1
39,1,17,35,move2,swap,move1,0,move2,1-0,2-0,-1,-1
40,0,17,36,move2,move1,move1,1,move1,1-2,2-1,-1,-1
41,1,17,36,move2,move1,mobilize,2,mobilize,1-2,0-2,-1,-1
42,0,17,37,swap,move1,mobilize,0,swap,1-4,2-3,-1,-1
