turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,capture,capture,capture,-1,None,-1,-1,-1,-1
1,1,0,0,capture,capture,capture,-1,None,-1,-1,-1,-1
2,0,0,0,swap,move2,capture,-1,None,-1,-1,-1,-1
3,1,1,0,swap,capture,capture,1,capture,2-0,2-2,-1,-1
4,0,1,1,capture,capture,capture,0,capture,1-4,2-2,-1,-1
5,1,4,1,mobilize,capture,capture,0,mobilize,1-4,2-4,-1,-1
6,0,4,5,mobilize,capture,capture,1,capture,2-4,1-4,-1,-1
7,1,4,5,move2,capture,capture,0,move2,1-0,1-1,2-0,2-1
8,0,4,9,move2,move1,capture,1,move1,2-2,2-1,-1,-1
9,1,4,9,mobilize,move1,capture,0,mobilize,1-1,1-2,-1,-1
10,0,4,13,mobilize,move1,move2,2,move2,2-2,1-2,-1,-1
11,1,4,13,capture,move1,move2,0,capture,2-0,2-1,1-0,1-1
12,0,4,17,capture,move1,move2,0,capture,2-2,2-1,-1,-1
13,1,4,17,capture,mobilize,move2,1,mobilize,1-1,1-2,-1,-1
14,0,4,21,mobilize,mobilize,move2,0,mobilize,2-2,1-2,-1,-1
15,1,4,21,swap,mobilize,move2,0,swap,1-0,1-1,2-0,2-1
16,0,4,21,swap,mobilize,move2,0,swap,2-2,2-1,-1,-1
17,1,5,21,move1,mobilize,move2,0,move1,3-0,2-1,-1,-1
18,0,5,21,move1,mobilize,move1,2,move1,3-0,3-2,-1,-1
19,1,6,21,move1,mobilize,move1,0,move1,1-1,1-2,-1,-1
20,0,6,21,move1,move2,move1,1,move2,3-2,3-3,2-4,2-3
21,1,7,21,capture,move2,move1,0,capture,1-2,1-1,-1,-1
22,0,7,24,move1,move2,move1,0,move1,2-3,2-2,-1,-1
23,1,8,24,move1,capture,move1,1,capture,1-1,2-2,-1,-1
24,0,8,27,move1,swap,move1,1,swap,2-3,2-2,-1,-1
25,1,9,27,move1,swap,move1,0,move1,2-1,2-2,-1,-1
26,0,9,27,swap,swap,move1,0,swap,3-4,2-4,-1,-1
27,1,10,27,swap,swap,move1,0,swap,2-0,2-3,-1,-1
28,0,10,27,mobilize,swap,move1,0,mobilize,2-0,2-3,-1,-1
29,1,11,27,mobilize,capture,move1,1,capture,2-0,2-3,-1,-1
30,0,11,30,mobilize,move2,move1,1,move2,3-3,2-3,-1,-1
31,1,12,30,mobilize,capture,move1,1,capture,3-0,2-1,-1,-1
32,0,12,33,mobilize,move1,move1,1,move1,2-0,2-1,-1,-1
33,1,13,33,capture,move1,move1,0,capture,3-0,3-1,1-0,1-1
34,0,13,33,capture,mobilize,move1,1,mobilize,3-3,2-3,-1,-1
35,1,17,33,capture,mobilize,move1,0,capture,2-2,2-3,-1,-1
36,0,17,33,capture,capture,move1,1,capture,2-0,2-1,2-4,2-3
37,1,21,33,mobilize,capture,move1,0,mobilize,2-2,2-3,-1,-1
38,0,21,36,mobilize,swap,move1,1,swap,2-1,1-1,-1,-1
39,1,22,36,mobilize,capture,move1,1,capture,1-0,2-1,-1,-1
40,0,22,36,move2,capture,move1,0,move2,1-4,1-3,2-4,2-3
41,1,26,36,move2,move2,move1,1,move2,2-2,2-3,-1,-1
42,0,26,36,capture,move2,move1,0,capture,1-0,1-2,-1,-1
43,1,30,36,move2,move2,move1,0,move2,2-2,1-2,-1,-1
44,0,30,36,capture,move2,move1,0,capture,1-3,2-3,-1,-1
45,1,34,36,capture,move2,move1,0,capture,2-2,2-3,-1,-1
46,0,34,36,capture,move1,move1,1,move1,3-4,2-3,-1,-1
47,1,38,36,mobilize,move1,move1,0,mobilize,2-2,2-3,-1,-1
48,0,38,36,mobilize,capture,move1,1,capture,2-4,2-3,-1,-1
49,1,42,36,mobilize,capture,move1,1,capture,2-2,2-3,-1,-1
50,0,42,36,mobilize,capture,move1,2,move1,2-4,2-3,-1,-1
51,1,46,36,mobilize,capture,move1,1,capture,2-2,2-3,-1,-1
52,0,46,36,move2,capture,move1,0,move2,3-4,3-3,1-4,1-3
53,1,50,36,move2,mobilize,move1,1,mobilize,2-2,2-4,2-1,-1
54,0,50,36,move2,capture,move1,1,capture,3-3,2-3,1-4,2-4
55,1,54,36,move2,swap,move1,1,swap,2-2,2-3,-1,-1
56,0,54,36,mobilize,swap,move1,0,mobilize,1-3,2-3,-1,-1
57,1,55,36,mobilize,swap,move1,1,swap,3-1,2-3,-1,-1
58,0,55,36,mobilize,move1,move1,1,move1,1-4,2-3,-1,-1
59,1,56,36,mobilize,capture,move1,1,capture,1-4,1-3,-1,-1
60,0,56,39,mobilize,capture,move1,1,capture,3-1,2-1,-1,-1
61,1,60,39,mobilize,move2,move1,1,move2,1-3,2-3,-1,-1
62,0,60,39,capture,move2,move1,0,capture,2-4,2-3,3-1,2-1
63,1,64,39,capture,move2,move1,0,capture,1-3,2-3,-1,-1
64,0,64,42,mobilize,move2,move1,0,mobilize,1-4,1-3,-1,-1
65,1,65,42,mobilize,move2,capture,2,capture,1-0,1-1,-1,-1
66,0,65,45,mobilize,move2,capture,2,capture,2-1,1-1,-1,-1
67,1,69,45,mobilize,move2,capture,2,capture,2-0,2-1,-1,-1
68,0,69,45,mobilize,move1,capture,1,move1,1-4,2-3,-1,-1
69,1,73,45,mobilize,move1,move1,2,move1,2-2,2-3,-1,-1
70,0,73,45,mobilize,capture,move1,1,capture,2-4,2-3,-1,-1
71,1,77,45,mobilize,move1,move1,1,move1,2-2,2-3,-1,-1
72,0,77,45,mobilize,capture,move1,1,capture,2-4,2-3,-1,-1
73,1,81,45,mobilize,move2,move1,1,move2,2-2,2-3,-1,-1
