turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,capture,mobilize,-1,None,-1,-1,-1,-1
1,1,0,0,mobilize,capture,mobilize,0,mobilize,2-0,2-1,-1,-1
2,0,0,0,mobilize,capture,move1,2,move1,1-4,1-3,2-4,2-3
3,1,1,0,swap,capture,move1,0,swap,1-0,2-0,2-1,2-2
4,0,1,0,swap,capture,move1,2,move1,3-4,2-4,-1,-1
5,1,5,0,swap,move1,move1,1,move1,2-2,2-3,-1,-1
6,0,5,0,swap,mobilize,move1,1,mobilize,1-3,2-3,-1,-1
7,1,6,0,mobilize,mobilize,move1,0,mobilize,2-0,2-3,-1,-1
8,0,6,0,mobilize,mobilize,capture,2,capture,2-4,3-4,-1,-1
9,1,10,0,mobilize,mobilize,capture,2,capture,3-0,2-0,-1,-1
10,0,10,3,mobilize,mobilize,move2,2,move2,2-4,2-3,-1,-1
11,1,11,3,mobilize,mobilize,move2,0,mobilize,1-0,1-1,3-0,3-1
12,0,11,3,move2,mobilize,move2,0,move2,2-4,2-3,1-4,1-3
13,1,12,3,move2,move2,move2,1,move2,1-1,1-2,3-1,2-1
14,0,12,3,move2,capture,move2,1,capture,3-4,3-2,-1,-1
15,1,16,3,move2,swap,move2,1,swap,1-2,1-3,-1,-1
16,0,16,3,move1,swap,move2,0,move1,3-2,4-1,-1,-1
17,1,17,3,move2,swap,move2,0,move2,1-2,1-1,-1,-1
18,0,17,3,move2,swap,move2,2,move2,1-4,3-4,-1,-1
19,1,18,3,capture,swap,move2,0,capture,1-1,2-0,-1,-1
20,0,18,3,capture,move1,move2,1,move1,2-3,2-0,-1,-1
21,1,22,3,move2,move1,move2,0,move2,2-1,2-0,-1,-1
22,0,22,3,swap,move1,move2,0,swap,4-1,4-0,-1,-1
23,1,23,3,swap,move1,move1,2,move1,2-3,1-2,-1,-1
24,0,23,3,move1,move1,move1,0,move1,4-0,2-1,-1,-1
25,1,24,3,swap,move1,move1,0,swap,4-0,4-1,-1,-1
26,0,24,3,swap,move2,move1,1,move2,3-4,4-4,-1,-1
27,1,25,3,mobilize,move2,move1,0,mobilize,4-1,2-1,-1,-1
28,0,25,3,mobilize,capture,move1,1,capture,4-4,3-3,-1,-1
29,1,26,3,mobilize,capture,capture,2,capture,1-2,1-1,-1,-1
30,0,26,3,capture,capture,capture,0,capture,1-4,0-4,4-1,4-0
31,1,26,3,capture,capture,capture,-1,None,-1,-1,-1,-1
32,0,26,3,swap,move1,move1,-1,None,-1,-1,-1,-1
33,1,27,3,swap,move1,move1,1,move1,1-1,1-2,-1,-1
34,0,27,3,swap,capture,move1,1,capture,4-0,3-0,-1,-1
35,1,28,3,swap,capture,mobilize,2,mobilize,1-2,1-1,-1,-1
36,0,28,3,swap,capture,capture,2,capture,0-4,1-4,3-0,2-0
37,1,32,3,swap,swap,capture,1,swap,2-1,2-0,-1,-1
38,0,32,4,mobilize,swap,capture,0,mobilize,1-4,2-2,-1,-1
39,1,35,4,mobilize,swap,move2,2,move2,1-4,2-4,-1,-1
40,0,35,5,mobilize,swap,swap,2,swap,3-3,3-4,-1,-1
41,1,36,5,mobilize,move1,swap,1,move1,1-4,2-2,-1,-1
42,0,36,5,move2,move1,swap,0,move2,3-4,4-4,2-4,2-3
43,1,37,5,move1,move1,swap,0,move1,1-1,2-0,-1,-1
44,0,37,5,move2,move1,swap,0,move2,1-4,1-3,-1,-1
45,1,38,5,move2,move1,move2,2,move2,2-0,2-3,-1,-1
46,0,38,5,move1,move1,move2,0,move1,2-0,3-0,-1,-1
47,1,39,5,move1,move1,move1,2,move1,2-3,3-2,-1,-1
48,0,39,5,move1,move2,move1,1,move2,4-4,4-3,-1,-1
49,1,40,5,mobilize,move2,move1,0,mobilize,2-1,3-1,-1,-1
50,0,40,5,mobilize,move2,move1,0,mobilize,1-3,0-3,3-0,4-0
51,1,41,5,mobilize,move2,move1,2,move1,3-1,2-1,-1,-1
52,0,41,5,swap,move2,move1,0,swap,0-3,0-4,4-0,4-1
53,1,42,5,swap,move2,move2,2,move2,3-2,3-1,-1,-1
54,0,42,5,swap,move2,mobilize,2,mobilize,0-4,2-4,-1,-1
55,1,43,5,swap,capture,mobilize,1,capture,3-1,2-0,-1,-1
56,0,43,5,swap,capture,capture,2,capture,2-4,1-4,4-3,4-4
57,1,44,5,capture,capture,capture,0,capture,2-0,4-1,-1,-1
58,0,44,8,move1,capture,capture,0,move1,2-0,2-1,-1,-1
59,1,48,8,move1,move1,capture,1,move1,1-0,2-0,-1,-1
60,0,48,8,move1,move1,capture,0,move1,4-4,4-3,-1,-1
61,1,49,8,mobilize,move1,capture,0,mobilize,4-1,3-1,-1,-1
62,0,49,8,mobilize,move1,capture,1,move1,4-3,4-4,-1,-1
63,1,50,8,move1,move1,capture,0,move1,3-1,2-1,1-0,2-0
64,0,50,8,move1,move2,capture,1,move2,4-4,3-4,-1,-1
65,1,54,8,move1,move2,swap,2,swap,2-2,2-4,2-1,-1
66,0,54,8,move1,move2,swap,1,move2,3-4,4-3,-1,-1
67,1,55,8,move1,move1,swap,1,move1,2-0,1-1,-1,-1
68,0,55,8,swap,move1,swap,0,swap,4-3,3-3,-1,-1
69,1,56,8,swap,move1,swap,1,move1,1-1,1-2,-1,-1
70,0,56,8,mobilize,move1,swap,0,mobilize,3-3,1-2,-1,-1
71,1,57,8,mobilize,move2,swap,1,move2,3-3,2-3,-1,-1
72,0,57,8,mobilize,move2,swap,0,mobilize,1-4,1-3,1-2,1-1
73,1,58,8,mobilize,move2,swap,2,swap,2-1,1-3,-1,-1
74,0,58,8,capture,move2,swap,0,capture,2-1,2-0,1-1,1-0
75,1,62,8,move2,move2,swap,0,move2,2-2,2-0,2-3,-1
76,0,62,8,move2,capture,swap,1,capture,1-4,0-3,-1,-1
77,1,66,8,move2,move2,swap,1,move2,2-3,2-4,-1,-1
78,0,66,8,move2,move2,swap,0,move2,1-4,3-4,-1,-1
79,1,67,8,move1,move2,swap,0,move1,1-3,1-2,-1,-1
80,0,67,8,move1,capture,swap,1,capture,0-3,0-4,-1,-1
81,1,68,8,capture,capture,swap,0,capture,2-3,1-3,-1,-1
82,0,68,8,capture,capture,mobilize,2,mobilize,3-4,1-3,-1,-1
83,1,72,8,mobilize,capture,mobilize,0,mobilize,1-2,1-3,-1,-1
84,0,72,8,swap,capture,mobilize,0,swap,1-0,1-1,1-4,1-3
85,1,76,8,swap,move1,mobilize,1,move1,1-2,1-3,-1,-1
86,0,76,8,swap,capture,mobilize,1,capture,1-1,0-1,-1,-1
87,1,77,8,swap,capture,mobilize,0,swap,3-4,1-4,-1,-1
88,0,77,8,swap,capture,capture,2,capture,0-4,0-3,3-4,3-3
89,1,78,8,move2,capture,capture,0,move2,1-4,0-3,-1,-1
90,0,78,8,mobilize,capture,capture,0,mobilize,0-1,0-2,-1,-1
91,1,82,8,mobilize,mobilize,capture,1,mobilize,1-2,0-2,-1,-1
92,0,82,8,mobilize,capture,capture,1,capture,2-4,3-4,3-3,2-3
93,1,86,8,mobilize,move1,capture,1,move1,2-2,2-3,-1,-1
94,0,86,8,mobilize,move1,capture,1,move1,3-4,3-3,-1,-1
95,1,87,8,mobilize,move2,capture,1,move2,0-3,1-3,-1,-1
96,0,87,8,mobilize,move1,capture,1,move1,3-3,4-4,-1,-1
97,1,91,8,mobilize,move1,move2,2,move2,1-3,1-4,-1,-1
98,0,91,8,move1,move1,move2,0,move1,4-4,3-4,2-4,2-3
99,1,92,8,move1,move1,move1,2,move1,1-3,0-2,-1,-1
100,0,92,8,swap,move1,move1,0,swap,3-4,4-4,-1,-1
