turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,capture,mobilize,-1,None,-1,-1,-1,-1
1,1,0,0,capture,capture,mobilize,0,capture,3-0,3-1,-1,-1
2,0,0,0,capture,capture,move2,2,move2,1-4,1-3,2-4,2-3
3,1,0,0,capture,capture,move1,2,move1,2-0,2-1,-1,-1
4,0,0,1,capture,capture,move2,2,move2,2-3,2-2,-1,-1
5,1,3,1,capture,capture,move2,0,capture,2-1,2-2,-1,-1
6,0,3,4,capture,capture,move2,0,capture,1-3,1-0,1-4,-1
7,1,3,4,capture,capture,capture,2,capture,1-0,3-0,-1,-1
8,0,3,4,capture,capture,capture,-1,None,-1,-1,-1,-1
9,1,6,4,capture,capture,capture,1,capture,3-1,3-4,3-0,-1
10,0,6,4,capture,capture,capture,-1,None,-1,-1,-1,-1
11,1,6,4,swap,move1,move1,-1,None,-1,-1,-1,-1
12,0,6,4,capture,move1,move1,0,capture,1-3,2-1,-1,-1
13,1,9,4,move2,move1,move1,0,move2,1-3,1-4,-1,-1
14,0,9,5,mobilize,move1,move1,0,mobilize,2-1,2-2,-1,-1
15,1,9,5,capture,move1,move1,0,capture,3-0,2-0,3-1,4-1
16,0,9,9,mobilize,move1,move1,0,mobilize,1-4,1-3,-1,-1
17,1,9,9,swap,move1,move1,0,swap,1-0,0-0,4-1,3-1
18,0,9,10,swap,capture,move1,1,capture,2-4,2-3,-1,-1
19,1,9,10,swap,capture,capture,2,capture,2-0,1-0,-1,-1
20,0,9,11,move2,capture,capture,0,move2,2-3,3-1,-1,-1
21,1,12,11,move2,capture,move1,2,move1,2-3,2-2,-1,-1
22,0,12,14,move2,capture,move1,1,capture,2-4,2-3,-1,-1
23,1,12,14,swap,capture,move1,0,swap,0-0,0-1,-1,-1
24,0,12,14,swap,capture,mobilize,2,mobilize,2-4,2-3,-1,-1
25,1,12,14,swap,capture,swap,2,swap,1-0,1-1,2-0,2-1
26,0,12,17,swap,capture,swap,1,capture,3-1,2-1,-1,-1
27,1,12,17,swap,capture,mobilize,2,mobilize,0-1,3-1,-1,-1
28,0,12,20,swap,move1,mobilize,1,move1,0-1,1-1,-1,-1
29,1,12,20,swap,move1,capture,2,capture,3-1,2-1,1-0,1-1
30,0,12,23,swap,move1,move1,2,move1,0-1,1-1,-1,-1
31,1,12,23,swap,move2,move1,1,move2,2-0,3-0,-1,-1
32,0,12,24,swap,move2,capture,2,capture,2-3,2-2,-1,-1
33,1,12,24,swap,capture,capture,1,capture,2-1,2-0,-1,-1
34,0,12,25,capture,capture,capture,0,capture,0-1,2-0,-1,-1
35,1,15,25,capture,capture,capture,1,capture,1-0,2-0,-1,-1
36,0,15,25,capture,capture,capture,-1,None,-1,-1,-1,-1
37,1,15,25,mobilize,move2,move1,-1,None,-1,-1,-1,-1
38,0,15,26,capture,move2,move1,0,capture,1-4,1-3,2-4,2-3
39,1,15,26,capture,move1,move1,1,move1,3-0,4-1,-1,-1
40,0,15,27,capture,capture,move1,1,capture,1-3,1-2,-1,-1
41,1,15,27,capture,capture,mobilize,2,mobilize,1-0,2-0,-1,-1
42,0,15,31,mobilize,capture,mobilize,0,mobilize,2-2,2-0,2-3,-1
43,1,15,31,mobilize,capture,capture,2,capture,4-1,4-2,1-0,1-1
44,0,15,35,mobilize,move1,capture,1,move1,1-2,1-1,-1,-1
45,1,15,35,move2,move1,capture,0,move2,0-1,0-2,1-0,0-0
46,0,15,39,move2,move1,capture,2,capture,1-2,0-2,-1,-1
47,1,15,39,swap,move1,capture,0,swap,4-2,4-1,-1,-1
48,0,15,40,swap,capture,capture,1,capture,2-3,1-3,-1,-1
49,1,16,40,move2,capture,capture,0,move2,4-1,2-2,-1,-1
50,0,16,43,move2,swap,capture,1,swap,1-2,1-0,1-3,-1
