turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,capture,mobilize,-1,None,-1,-1,-1,-1
1,1,0,0,capture,capture,mobilize,0,capture,2-0,2-1,-1,-1
2,0,0,0,capture,capture,move2,2,move2,1-4,1-3,3-4,3-3
3,1,1,0,capture,capture,move1,2,move1,2-1,2-2,-1,-1
4,0,1,0,capture,capture,move2,2,move2,2-4,1-4,-1,-1
5,1,2,0,capture,capture,capture,2,capture,1-0,2-1,-1,-1
6,0,2,0,capture,capture,capture,-1,None,-1,-1,-1,-1
7,1,2,0,capture,capture,capture,-1,None,-1,-1,-1,-1
8,0,2,0,capture,capture,capture,-1,None,-1,-1,-1,-1
9,1,2,0,swap,move1,move1,-1,None,-1,-1,-1,-1
10,0,2,0,swap,capture,move1,1,capture,3-3,2-3,-1,-1
11,1,6,0,swap,move2,move1,1,move2,2-2,2-3,-1,-1
12,0,6,0,swap,move2,mobilize,2,mobilize,1-3,2-3,-1,-1
13,1,7,0,capture,move2,mobilize,0,capture,2-1,2-3,-1,-1
14,0,7,3,mobilize,move2,mobilize,0,mobilize,2-1,2-2,-1,-1
15,1,8,3,swap,move2,mobilize,0,swap,2-3,2-2,1-0,2-0
16,0,8,4,capture,move2,mobilize,0,capture,1-4,2-2,-1,-1
17,1,11,4,capture,move2,mobilize,0,capture,2-0,2-1,-1,-1
18,0,11,8,move2,move2,mobilize,0,move2,2-4,1-4,-1,-1
19,1,11,8,move1,move2,mobilize,0,move1,1-0,1-2,-1,-1
20,0,11,9,move1,capture,mobilize,1,capture,3-4,2-3,-1,-1
21,1,14,9,move1,swap,mobilize,1,swap,1-2,2-2,-1,-1
22,0,14,9,mobilize,swap,mobilize,0,mobilize,1-4,1-3,-1,-1
23,1,15,9,swap,swap,mobilize,0,swap,1-2,2-2,2-0,2-1
24,0,15,10,move2,swap,mobilize,0,move2,2-4,2-2,-1,-1
25,1,16,10,move2,mobilize,mobilize,1,mobilize,3-0,2-2,-1,-1
26,0,16,10,move1,mobilize,mobilize,0,move1,3-0,3-1,-1,-1
27,1,17,10,capture,mobilize,mobilize,0,capture,2-1,1-1,-1,-1
28,0,17,13,move1,mobilize,mobilize,0,move1,2-3,2-2,-1,-1
29,1,17,13,move2,mobilize,mobilize,0,move2,1-1,1-2,-1,-1
30,0,17,14,capture,mobilize,mobilize,0,capture,3-1,2-2,-1,-1
31,1,20,14,capture,mobilize,mobilize,0,capture,1-2,1-3,-1,-1
32,0,20,18,swap,mobilize,mobilize,0,swap,2-2,1-2,-1,-1
33,1,21,18,move2,mobilize,mobilize,0,move2,1-0,2-2,-1,-1
34,0,21,18,move2,mobilize,mobilize,1,mobilize,1-4,1-3,1-0,1-1
35,1,22,18,capture,mobilize,mobilize,0,capture,2-0,2-1,-1,-1
36,0,22,21,capture,mobilize,mobilize,0,capture,2-3,2-2,-1,-1
37,1,25,21,capture,mobilize,mobilize,0,capture,2-4,2-3,-1,-1
38,0,25,24,move1,mobilize,mobilize,0,move1,1-1,1-0,-1,-1
39,1,26,24,move1,capture,mobilize,1,capture,2-1,2-2,1-0,2-0
40,0,26,27,move1,mobilize,mobilize,1,mobilize,1-4,2-4,-1,-1
41,1,27,27,swap,mobilize,mobilize,0,swap,2-0,2-1,-1,-1
42,0,27,27,swap,capture,mobilize,1,capture,1-4,2-4,1-1,1-2
43,1,31,27,swap,swap,mobilize,1,swap,2-2,1-2,-1,-1
44,0,31,28,capture,swap,mobilize,0,capture,2-4,2-2,-1,-1
45,1,34,28,move2,swap,mobilize,0,move2,2-4,1-4,-1,-1
46,0,34,29,capture,swap,mobilize,0,capture,1-3,2-3,-1,-1
47,1,37,29,capture,swap,mobilize,0,capture,2-4,2-3,-1,-1
48,0,37,33,move1,swap,mobilize,0,move1,2-2,2-1,-1,-1
49,1,38,33,move1,move1,mobilize,1,move1,1-0,2-2,-1,-1
50,0,38,33,move1,move1,capture,2,capture,1-0,1-1,1-4,1-3
