turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,swap,move2,-1,None,-1,-1,-1,-1
1,1,0,0,move1,swap,move1,2,move1,2-0,3-1,-1,-1
2,0,0,0,move2,swap,move1,0,move2,3-6,3-5,-1,-1
3,1,3,0,move2,swap,move1,0,move2,3-1,3-3,-1,-1
4,0,3,3,move2,swap,move1,1,swap,3-5,3-3,-1,-1
5,1,6,3,move2,swap,move1,1,swap,3-0,3-3,-1,-1
6,0,6,6,move2,move2,move1,1,move2,3-0,3-3,-1,-1
7,1,6,6,mobilize,move2,move1,0,mobilize,4-0,3-1,-1,-1
8,0,6,9,swap,move2,move1,0,swap,2-6,2-5,4-6,4-5
9,1,9,9,move1,move2,move1,0,move1,3-0,3-3,-1,-1
10,0,9,9,move1,mobilize,move1,1,mobilize,2-5,1-4,-1,-1
11,1,12,9,move1,mobilize,move1,1,mobilize,3-5,3-4,3-1,3-2
12,0,12,10,capture,mobilize,move1,0,capture,1-4,1-3,-1,-1
13,1,18,10,move1,mobilize,move1,0,move1,3-2,3-0,3-3,-1
14,0,18,11,move1,mobilize,move1,0,move1,2-6,2-5,-1,-1
15,1,21,11,move1,move1,move1,1,move1,3-4,2-4,3-2,2-2
16,0,21,12,move1,move1,move1,0,move1,2-5,3-5,-1,-1
17,1,24,12,mobilize,move1,move1,0,mobilize,2-4,3-4,-1,-1
18,0,24,13,mobilize,move1,move1,1,move1,3-5,2-5,-1,-1
19,1,27,13,mobilize,mobilize,move1,1,mobilize,2-2,3-2,-1,-1
20,0,27,14,capture,mobilize,move1,0,capture,2-5,2-4,4-5,4-4
21,1,33,14,capture,mobilize,move1,0,capture,3-4,2-4,-1,-1
22,0,33,18,move2,mobilize,move1,0,move2,4-4,3-4,-1,-1
23,1,36,18,capture,mobilize,move1,0,capture,2-0,2-2,-1,-1
24,0,36,19,capture,move2,move1,1,move2,2-6,2-5,4-4,4-5
25,1,39,19,capture,capture,move1,1,capture,3-2,2-1,-1,-1
26,0,39,20,capture,capture,mobilize,2,mobilize,2-5,3-5,-1,-1
27,1,42,20,capture,capture,move1,2,move1,2-2,3-2,2-1,3-1
28,0,42,21,capture,capture,mobilize,2,mobilize,3-5,2-5,-1,-1
29,1,45,21,capture,capture,move2,2,move2,3-2,2-2,3-1,2-1
30,0,45,22,capture,capture,move1,2,move1,2-5,1-4,-1,-1
31,1,48,22,capture,capture,swap,2,swap,2-2,3-2,-1,-1
32,0,48,26,capture,capture,move2,2,move2,4-5,3-3,-1,-1
33,1,51,26,move1,capture,move2,0,move1,3-2,3-3,-1,-1
34,0,51,27,move1,capture,move1,2,move1,2-6,1-5,-1,-1
35,1,54,27,move1,capture,move1,0,move1,3-2,3-3,-1,-1
36,0,54,28,move1,capture,move1,0,move1,1-5,2-5,-1,-1
37,1,57,28,mobilize,capture,move1,0,mobilize,4-5,3-5,-1,-1
38,0,57,32,mobilize,capture,move1,1,capture,2-5,3-5,-1,-1
39,1,60,32,capture,capture,move1,0,capture,2-0,1-0,2-1,1-1
40,0,60,36,swap,capture,move1,0,swap,1-3,1-1,1-4,-1
41,1,64,36,move1,capture,move1,0,move1,1-0,1-3,-1,-1
42,0,64,39,move1,move2,move1,1,move2,1-0,2-0,-1,-1
43,1,68,39,move1,move1,move1,1,move1,2-0,2-2,-1,-1
44,0,68,39,move2,move1,move1,0,move2,1-0,1-1,-1,-1
45,1,72,39,mobilize,move1,move1,0,mobilize,2-2,1-2,-1,-1
46,0,72,39,capture,move1,move1,0,capture,1-1,1-0,2-5,2-4
47,1,79,39,mobilize,move1,move1,0,mobilize,1-3,1-4,-1,-1
48,0,79,39,swap,move1,move1,0,swap,1-0,1-1,2-4,1-4
49,1,83,39,swap,move2,move1,1,move2,1-2,2-2,-1,-1
50,0,83,42,move2,move2,move1,0,move2,1-4,3-3,-1,-1
51,1,84,42,swap,move2,move1,0,swap,2-2,1-2,-1,-1
52,0,84,45,move2,move2,move1,0,move2,2-6,1-4,-1,-1
53,1,85,45,move2,move2,move1,0,move2,2-6,2-4,-1,-1
54,0,85,48,move1,move2,move1,0,move1,1-1,2-2,-1,-1
55,1,86,48,move1,move2,move1,1,move2,2-4,3-4,-1,-1
56,0,86,51,move2,move2,move1,0,move2,1-4,2-4,-1,-1
57,1,87,51,capture,move2,move1,0,capture,3-4,3-5,-1,-1
58,0,87,57,move1,move2,move1,0,move1,2-2,1-2,-1,-1
59,1,88,57,mobilize,move2,move1,0,mobilize,2-0,2-1,-1,-1
60,0,88,60,move1,move2,move1,0,move1,2-2,3-2,2-4,3-4
61,1,89,60,move1,capture,move1,1,capture,3-5,2-4,-1,-1
62,0,89,66,move1,swap,move1,1,swap,3-4,2-4,-1,-1
63,1,92,66,move1,swap,move1,1,swap,1-3,3-3,-1,-1
64,0,92,69,move1,swap,move1,1,swap,1-3,3-3,-1,-1
65,1,95,69,move1,capture,move1,1,capture,1-3,3-3,-1,-1
66,0,95,73,move1,mobilize,move1,1,mobilize,3-2,3-3,-1,-1
67,1,95,73,move1,move2,move1,1,move2,2-0,1-0,2-1,1-1
68,0,95,77,move1,move2,move1,0,move1,3-2,3-3,-1,-1
69,1,95,77,move1,mobilize,move1,1,mobilize,3-0,2-1,-1,-1
70,0,95,81,move1,mobilize,move1,0,move1,3-4,2-4,-1,-1
71,1,95,81,move1,mobilize,move1,0,move1,1-1,1-2,-1,-1
72,0,95,85,swap,mobilize,move1,0,swap,2-4,1-4,-1,-1
73,1,98,85,capture,mobilize,move1,0,capture,2-1,3-3,-1,-1
74,0,98,89,capture,mobilize,move1,0,capture,1-3,1-2,-1,-1
75,1,104,89,mobilize,mobilize,move1,0,mobilize,2-0,2-1,-1,-1
76,0,104,90,mobilize,mobilize,move1,2,move1,2-6,2-5,-1,-1
77,1,107,90,mobilize,mobilize,move1,0,mobilize,1-0,1-1,2-0,2-1
78,0,107,91,mobilize,mobilize,swap,2,swap,2-5,2-4,-1,-1
79,1,110,91,mobilize,mobilize,move1,2,move1,1-1,1-4,-1,-1
80,0,110,92,move2,mobilize,move1,0,move2,2-4,3-4,1-1,1-2
81,1,113,92,move2,move2,move1,1,move2,1-4,2-4,2-1,2-2
82,0,113,93,capture,move2,move1,0,capture,3-4,3-5,-1,-1
83,1,119,93,move1,move2,move1,0,move1,2-2,1-2,-1,-1
84,0,119,94,mobilize,move2,move1,0,mobilize,2-6,3-6,-1,-1
85,1,122,94,mobilize,move2,move1,0,mobilize,2-4,3-4,2-2,3-2
86,0,122,95,mobilize,move1,move1,1,move1,3-6,2-5,-1,-1
87,1,125,95,mobilize,move2,move1,1,move2,3-2,2-2,-1,-1
88,0,125,96,mobilize,move2,move1,2,move1,3-5,4-5,-1,-1
