turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move2,move1,capture,-1,None,-1,-1,-1,-1
1,1,0,0,move2,move1,capture,0,move2,1-0,2-1,-1,-1
2,0,0,1,move1,move1,capture,0,move1,2-4,2-2,-1,-1
3,1,3,1,move1,move1,swap,2,swap,2-1,2-2,-1,-1
4,0,3,1,mobilize,move1,swap,0,mobilize,2-4,2-3,-1,-1
5,1,3,1,mobilize,capture,swap,1,capture,3-0,3-1,-1,-1
6,0,3,2,swap,capture,swap,0,swap,1-4,2-4,2-3,2-2
7,1,6,2,swap,swap,swap,1,swap,2-1,2-2,-1,-1
8,0,6,2,move2,swap,swap,0,move2,2-4,2-1,-1,-1
9,1,7,2,swap,swap,swap,0,swap,2-4,2-2,-1,-1
10,0,7,3,mobilize,swap,swap,0,mobilize,1-4,2-2,-1,-1
11,1,7,3,mobilize,capture,swap,1,capture,3-1,2-1,-1,-1
12,0,7,7,mobilize,move1,swap,1,move1,3-1,2-1,-1,-1
13,1,7,7,move1,move1,swap,0,move1,2-0,2-1,1-0,1-1
14,0,7,8,mobilize,move1,swap,0,mobilize,3-4,3-3,-1,-1
15,1,7,8,mobilize,move1,capture,2,capture,1-4,3-3,-1,-1
16,0,7,12,mobilize,move1,mobilize,2,mobilize,3-1,2-1,-1,-1
17,1,7,12,move2,move1,mobilize,0,move2,3-3,2-3,1-1,1-2
18,0,7,13,move2,move1,move1,2,move1,3-1,3-2,1-4,1-3
19,1,7,13,mobilize,move1,move1,0,mobilize,1-0,1-1,-1,-1
20,0,7,14,mobilize,move1,move1,1,move1,3-2,3-3,-1,-1
21,1,7,14,mobilize,move1,move1,1,move1,1-1,2-1,-1,-1
22,0,7,15,mobilize,capture,move1,1,capture,3-3,3-2,-1,-1
23,1,10,15,mobilize,move2,move1,1,move2,2-3,1-3,-1,-1
24,0,10,16,mobilize,move1,move1,1,move1,1-4,1-3,-1,-1
25,1,10,16,mobilize,move2,move1,1,move2,1-2,1-1,-1,-1
26,0,10,17,mobilize,swap,move1,1,swap,1-3,1-2,-1,-1
27,1,10,17,mobilize,move1,move1,1,move1,1-1,1-2,-1,-1
28,0,10,18,mobilize,capture,move1,1,capture,3-2,3-1,-1,-1
29,1,13,18,mobilize,mobilize,move1,1,mobilize,2-1,1-1,-1,-1
30,0,13,19,capture,mobilize,move1,0,capture,3-1,3-2,1-4,1-3
31,1,16,19,move2,mobilize,move1,0,move2,2-3,1-3,-1,-1
32,0,16,20,move2,mobilize,move1,0,move2,1-4,1-3,-1,-1
33,1,16,20,move2,mobilize,move1,2,move1,1-2,1-1,-1,-1
34,0,16,21,mobilize,mobilize,move1,0,mobilize,1-3,1-2,-1,-1
35,1,16,21,mobilize,mobilize,capture,2,capture,2-3,1-3,-1,-1
36,0,16,25,mobilize,mobilize,swap,2,swap,1-2,1-1,-1,-1
37,1,16,25,mobilize,mobilize,capture,2,capture,1-0,1-2,-1,-1
38,0,16,29,mobilize,mobilize,move1,2,move1,2-2,2-1,-1,-1
39,1,16,29,mobilize,mobilize,move1,2,move1,2-0,2-1,-1,-1
40,0,16,30,mobilize,mobilize,move2,2,move2,1-0,2-0,-1,-1
41,1,16,30,mobilize,mobilize,move1,2,move1,1-3,2-3,-1,-1
42,0,16,31,mobilize,mobilize,move1,2,move1,3-2,3-1,-1,-1
43,1,16,31,swap,mobilize,move1,0,swap,2-3,1-3,2-1,1-1
44,0,16,32,move1,mobilize,move1,0,move1,2-0,1-1,-1,-1
45,1,16,32,move1,mobilize,move1,1,mobilize,1-3,2-3,2-0,2-1
46,0,16,33,capture,mobilize,move1,0,capture,3-1,3-2,-1,-1
47,1,19,33,swap,mobilize,move1,0,swap,2-1,1-1,-1,-1
48,0,19,34,move2,mobilize,move1,0,move2,1-4,2-3,-1,-1
49,1,19,34,move2,mobilize,move1,1,mobilize,1-4,1-3,2-1,1-1
50,0,19,35,move2,mobilize,move2,2,move2,2-3,3-3,-1,-1
51,1,19,35,move2,mobilize,move2,0,move2,1-3,0-2,-1,-1
52,0,19,36,move1,mobilize,move2,0,move1,3-3,4-2,-1,-1
53,1,19,36,move1,mobilize,swap,2,swap,1-1,0-1,-1,-1
54,0,19,37,move1,mobilize,move1,2,move1,4-2,1-2,-1,-1
55,1,19,37,move1,move2,move1,1,move2,0-2,0-3,4-2,4-1
56,0,19,38,move1,move2,move1,1,move2,3-2,2-1,-1,-1
57,1,19,38,move1,move2,move1,1,move2,4-1,3-1,-1,-1
58,0,19,39,capture,move2,move1,0,capture,1-2,1-1,-1,-1
59,1,22,39,move2,move2,move1,0,move2,3-1,2-1,-1,-1
60,0,22,40,capture,move2,move1,0,capture,1-4,1-2,-1,-1
61,1,25,40,move1,move2,move1,0,move1,0-1,1-1,-1,-1
62,0,25,41,mobilize,move2,move1,0,mobilize,1-4,1-3,-1,-1
63,1,25,41,mobilize,mobilize,move1,1,mobilize,3-1,2-1,-1,-1
64,0,25,42,mobilize,mobilize,capture,2,capture,1-3,2-3,-1,-1
65,1,28,42,mobilize,mobilize,move1,2,move1,2-1,2-2,-1,-1
66,0,28,43,mobilize,mobilize,move1,0,mobilize,1-2,2-2,1-4,1-3
67,1,28,43,capture,mobilize,move1,0,capture,0-3,0-2,2-1,1-1
68,0,28,44,capture,mobilize,capture,2,capture,1-3,1-2,-1,-1
69,1,31,44,mobilize,mobilize,capture,0,mobilize,0-2,1-2,-1,-1
70,0,31,45,move2,mobilize,capture,0,move2,1-4,1-3,2-3,3-3
71,1,31,45,swap,mobilize,capture,0,swap,0-2,1-2,-1,-1
72,0,31,49,swap,mobilize,move1,2,move1,2-2,1-2,-1,-1
73,1,31,49,swap,mobilize,move1,0,swap,1-0,1-3,-1,-1
74,0,31,50,swap,mobilize,move1,0,swap,1-0,1-1,-1,-1
75,1,31,50,swap,move1,move1,1,move1,1-3,1-2,0-1,0-2
76,0,31,51,move1,move1,move1,0,move1,3-3,1-2,-1,-1
77,1,31,51,move1,move1,move1,0,move1,0-2,0-1,-1,-1
78,0,31,52,capture,move1,move1,0,capture,1-1,2-1,-1,-1
79,1,31,52,capture,capture,move1,1,capture,0-1,1-1,-1,-1
80,0,31,56,swap,capture,move1,0,swap,2-1,1-1,-1,-1
81,1,34,56,swap,move1,move1,1,move1,2-0,2-1,-1,-1
82,0,34,57,swap,move1,move1,1,move1,1-4,1-3,-1,-1
83,1,34,57,move2,move1,move1,0,move2,3-3,1-2,-1,-1
84,0,34,58,move2,capture,move1,1,capture,3-3,2-3,-1,-1
85,1,37,58,move2,mobilize,move1,1,mobilize,1-2,1-3,-1,-1
86,0,37,59,move2,mobilize,capture,2,capture,1-4,2-4,-1,-1
87,1,40,59,move2,mobilize,move2,2,move2,1-2,2-2,-1,-1
88,0,40,60,move2,move2,move2,1,move2,1-4,1-3,2-3,2-2
89,1,40,60,move1,move2,move2,0,move1,2-0,1-1,-1,-1
90,0,40,61,mobilize,move2,move2,0,mobilize,1-3,2-3,-1,-1
91,1,40,61,mobilize,move1,move2,1,move1,1-0,0-1,-1,-1
92,0,40,62,mobilize,move1,mobilize,2,mobilize,2-4,3-3,-1,-1
93,1,40,62,mobilize,swap,mobilize,1,swap,0-1,0-2,-1,-1
94,0,40,63,mobilize,mobilize,mobilize,1,mobilize,3-3,1-2,-1,-1
95,1,40,63,swap,mobilize,mobilize,0,swap,3-3,3-4,0-2,0-1
96,0,40,64,swap,mobilize,mobilize,0,swap,2-3,1-1,-1,-1
97,1,40,64,move1,mobilize,mobilize,0,move1,0-1,1-2,-1,-1
98,0,40,65,move1,move2,mobilize,1,move2,1-1,2-1,0-1,0-2
99,1,40,65,move1,move2,move2,2,move2,3-4,2-4,1-2,1-3
100,0,40,66,move1,move2,move2,0,move1,0-2,1-2,-1,-1
