turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,mobilize,move2,-1,None,-1,-1,-1,-1
1,1,0,0,move1,mobilize,swap,2,swap,2-0,3-1,-1,-1
2,0,0,0,move1,mobilize,swap,1,mobilize,2-4,2-3,4-4,4-3
3,1,0,0,move1,mobilize,mobilize,2,mobilize,4-0,4-3,-1,-1
4,0,0,0,move1,mobilize,mobilize,2,mobilize,2-3,1-3,3-4,2-4
5,1,0,0,move1,move2,mobilize,1,move2,3-1,4-1,4-3,4-2
6,0,0,0,move1,capture,mobilize,1,capture,2-4,4-4,-1,-1
7,1,3,0,move1,capture,mobilize,1,capture,4-2,4-4,4-1,-1
8,0,3,3,move1,capture,mobilize,1,capture,4-0,4-1,-1,-1
9,1,6,3,move1,move1,mobilize,1,move1,3-0,4-0,-1,-1
10,0,6,5,move1,move2,mobilize,1,move2,1-3,1-2,-1,-1
11,1,8,5,move1,move2,move2,2,move2,3-0,3-1,4-2,5-2
12,0,8,5,move1,swap,move2,1,swap,1-2,2-2,-1,-1
13,1,10,5,move1,move1,move2,1,move1,2-0,2-2,-1,-1
14,0,10,5,move1,move1,swap,2,swap,3-4,2-3,-1,-1
15,1,14,5,swap,move1,swap,0,swap,2-2,1-2,-1,-1
16,0,14,7,move1,move1,swap,0,move1,2-0,1-2,-1,-1
17,1,18,7,move1,move1,capture,2,capture,2-0,1-2,-1,-1
18,0,18,7,move1,move1,capture,1,move1,2-0,3-0,-1,-1
19,1,25,7,move1,move1,move1,2,move1,3-1,3-0,-1,-1
20,0,25,7,move1,move1,mobilize,2,mobilize,2-3,1-3,-1,-1
21,1,29,7,move2,move1,mobilize,0,move2,3-1,2-1,-1,-1
22,0,29,7,move2,move1,capture,2,capture,3-4,3-3,1-3,0-3
23,1,33,7,move2,move1,capture,1,move1,2-1,2-2,-1,-1
24,0,33,7,move2,move2,capture,1,move2,3-3,3-4,-1,-1
25,1,37,7,move1,move2,capture,0,move1,2-2,1-1,-1,-1
26,0,37,7,move1,move2,capture,0,move1,2-4,2-3,-1,-1
27,1,41,7,move1,capture,capture,1,capture,1-1,0-2,-1,-1
28,0,41,7,move1,capture,capture,0,move1,2-3,1-3,-1,-1
29,1,48,7,move1,move1,capture,1,move1,1-2,1-3,-1,-1
30,0,48,7,move1,mobilize,capture,1,mobilize,2-4,2-3,-1,-1
31,1,55,7,move1,mobilize,swap,2,swap,0-2,0-3,-1,-1
32,0,55,7,move2,mobilize,swap,0,move2,3-4,4-4,-1,-1
33,1,59,7,move2,mobilize,move2,2,move2,0-2,2-3,-1,-1
34,0,59,7,move2,mobilize,move2,2,move2,2-4,1-4,-1,-1
35,1,63,7,capture,mobilize,move2,0,capture,2-3,1-3,-1,-1
36,0,63,7,capture,mobilize,capture,2,capture,4-4,2-4,-1,-1
37,1,70,7,mobilize,mobilize,capture,0,mobilize,1-3,1-4,-1,-1
38,0,70,7,mobilize,mobilize,capture,0,mobilize,2-4,2-3,3-4,4-4
39,1,77,7,mobilize,mobilize,move1,2,move1,1-3,2-3,-1,-1
40,0,77,7,mobilize,mobilize,mobilize,2,mobilize,4-4,4-3,-1,-1
41,1,79,7,move2,mobilize,mobilize,0,move2,1-2,2-2,1-3,2-3
42,0,79,7,move2,mobilize,capture,2,capture,2-4,3-4,4-3,4-2
43,1,84,7,move2,mobilize,swap,2,swap,5-2,4-2,-1,-1
44,0,84,7,move2,mobilize,swap,2,swap,2-4,2-3,-1,-1
45,1,88,7,move2,mobilize,swap,1,mobilize,2-2,1-2,2-4,1-4
46,0,88,7,move2,mobilize,move1,2,move1,2-3,1-4,-1,-1
47,1,92,7,move2,mobilize,swap,2,swap,2-3,1-3,-1,-1
48,0,92,7,move2,move2,swap,1,move2,0-2,0-1,1-4,2-4
49,1,96,7,move1,move2,swap,0,move1,1-3,2-2,-1,-1
