turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,mobilize,capture,mobilize,-1,None,-1,-1,-1,-1
1,1,0,0,mobilize,capture,swap,2,swap,3-0,3-1,4-0,5-0
2,0,0,0,move1,capture,swap,0,move1,2-4,2-3,3-4,3-3
3,1,0,0,mobilize,capture,swap,0,mobilize,3-1,2-1,-1,-1
4,0,0,0,move2,capture,swap,0,move2,2-3,2-2,3-3,3-4
5,1,3,0,move2,capture,swap,1,capture,2-1,2-2,2-0,-1
6,0,3,0,move2,capture,swap,0,move2,2-4,2-2,-1,-1
7,1,5,0,capture,capture,swap,0,capture,5-0,5-2,-1,-1
8,0,5,3,move1,capture,swap,0,move1,2-2,2-1,-1,-1
9,1,5,3,move1,capture,move1,2,move1,5-2,2-2,-1,-1
10,0,5,5,move2,capture,move1,0,move2,4-4,4-3,-1,-1
11,1,5,5,move1,capture,move1,0,move1,2-2,2-3,-1,-1
12,0,5,7,capture,capture,move1,0,capture,3-4,3-3,-1,-1
13,1,5,7,capture,capture,capture,2,capture,2-0,2-1,-1,-1
14,0,5,12,move2,capture,capture,0,move2,3-3,2-3,-1,-1
15,1,5,12,move2,capture,capture,0,move2,2-1,0-1,-1,-1
16,0,5,14,swap,capture,capture,0,swap,4-3,4-2,-1,-1
17,1,5,14,swap,capture,capture,0,swap,3-0,3-3,-1,-1
18,0,5,19,swap,move1,capture,1,move1,3-0,2-0,-1,-1
19,1,5,19,swap,move1,capture,1,move1,0-1,0-2,-1,-1
20,0,5,24,swap,move1,move1,2,move1,3-0,2-0,-1,-1
21,1,5,24,swap,move1,move2,2,move2,3-3,3-4,-1,-1
22,0,5,26,swap,move1,mobilize,2,mobilize,3-0,4-1,-1,-1
23,1,7,26,swap,move1,move1,2,move1,0-2,1-2,3-4,3-3
24,0,7,30,mobilize,move1,move1,0,mobilize,4-2,1-2,-1,-1
25,1,7,30,mobilize,swap,move1,1,swap,2-0,3-0,-1,-1
26,0,7,34,mobilize,move2,move1,1,move2,4-1,4-2,-1,-1
27,1,7,34,mobilize,move2,capture,2,capture,3-0,3-1,-1,-1
28,0,7,41,mobilize,move2,capture,2,capture,4-2,4-1,-1,-1
29,1,7,41,mobilize,move1,capture,1,move1,2-0,1-1,-1,-1
30,0,7,48,mobilize,move1,mobilize,2,mobilize,1-2,1-1,-1,-1
31,1,7,48,mobilize,move1,swap,2,swap,2-0,2-1,3-1,4-1
32,0,7,52,mobilize,mobilize,swap,1,mobilize,4-2,4-3,-1,-1
33,1,7,52,capture,mobilize,swap,0,capture,3-3,2-3,4-1,3-1
34,0,7,56,capture,mobilize,move1,2,move1,4-3,2-3,-1,-1
35,1,7,56,capture,capture,move1,1,capture,2-1,2-0,4-3,4-2
36,0,7,63,move2,capture,move1,0,move2,5-2,4-2,-1,-1
37,1,7,63,move2,capture,move1,2,move1,3-1,4-1,-1,-1
38,0,7,67,move2,capture,move2,2,move2,2-3,2-2,-1,-1
39,1,7,67,swap,capture,move2,0,swap,4-1,4-0,-1,-1
40,0,7,71,swap,capture,mobilize,2,mobilize,2-2,1-1,-1,-1
41,1,7,71,swap,capture,move1,2,move1,2-0,2-1,4-0,5-0
42,0,7,78,swap,move1,move1,1,move1,1-1,2-1,-1,-1
43,1,7,78,swap,move1,move2,2,move2,2-0,2-1,-1,-1
44,0,7,82,mobilize,move1,move2,0,mobilize,1-1,2-1,-1,-1
45,1,7,82,move2,move1,move2,0,move2,1-1,0-1,5-0,4-0
46,0,7,86,move2,swap,move2,1,swap,2-1,2-2,-1,-1
47,1,7,86,move2,swap,swap,2,swap,0-1,0-0,-1,-1
48,0,7,90,move1,swap,swap,0,move1,2-2,1-1,-1,-1
49,1,7,90,move1,swap,swap,0,move1,3-0,2-0,-1,-1
50,0,7,94,move2,swap,swap,0,move2,1-1,2-1,-1,-1
51,1,7,94,capture,swap,swap,0,capture,0-0,1-0,-1,-1
52,0,7,101,mobilize,swap,swap,0,mobilize,2-1,2-0,-1,-1
53,1,7,101,mobilize,swap,move1,2,move1,2-0,2-1,-1,-1
54,0,7,105,mobilize,move1,move1,1,move1,2-0,2-1,-1,-1
55,1,7,105,move1,move1,move1,0,move1,1-0,0-0,4-0,3-0
56,0,7,109,move2,move1,move1,0,move2,2-1,1-1,-1,-1
57,1,7,109,mobilize,move1,move1,0,mobilize,0-0,0-2,-1,-1
58,0,7,113,mobilize,capture,move1,1,capture,1-1,2-1,-1,-1
59,1,10,113,mobilize,move1,move1,1,move1,0-2,1-2,-1,-1
60,0,10,115,swap,move1,move1,0,swap,2-1,2-2,2-4,2-3
61,1,10,115,swap,move2,move1,1,move2,3-0,3-1,-1,-1
62,0,10,119,swap,move2,move1,1,move2,2-3,1-2,-1,-1
63,1,10,119,swap,move1,move1,1,move1,3-1,5-1,-1,-1
64,0,10,123,swap,capture,move1,1,capture,2-2,2-1,-1,-1
65,1,10,123,swap,capture,move1,0,swap,2-0,2-1,-1,-1
66,0,10,130,swap,capture,move1,1,capture,2-0,2-1,-1,-1
67,1,12,130,move1,capture,move1,0,move1,0-2,1-2,-1,-1
68,0,12,135,move1,capture,move1,1,capture,2-0,3-0,-1,-1
69,1,12,135,mobilize,capture,move1,0,mobilize,1-2,1-3,-1,-1
