turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,capture,swap,move2,-1,None,-1,-1,-1,-1
1,1,0,0,capture,swap,move2,2,move2,2-0,2-2,-1,-1
2,0,0,0,capture,swap,capture,2,capture,3-4,3-3,-1,-1
3,1,0,0,capture,move1,capture,1,move1,3-0,3-3,-1,-1
4,0,0,3,capture,move1,move1,2,move1,3-0,4-0,-1,-1
5,1,3,3,swap,move1,move1,0,swap,2-0,3-0,-1,-1
6,0,3,3,swap,capture,move1,1,capture,4-4,5-4,-1,-1
7,1,6,3,swap,move2,move1,1,move2,3-3,3-4,-1,-1
8,0,6,3,move2,move2,move1,0,move2,5-4,3-3,-1,-1
9,1,8,3,mobilize,move2,move1,0,mobilize,5-4,5-2,-1,-1
10,0,8,3,mobilize,mobilize,move1,1,mobilize,3-4,4-4,-1,-1
11,1,12,3,move1,mobilize,move1,0,move1,2-2,1-2,2-0,2-1
12,0,12,3,move1,mobilize,move1,2,move1,3-3,2-3,-1,-1
13,1,16,3,capture,mobilize,move1,0,capture,2-1,1-1,-1,-1
14,0,16,3,capture,move1,move1,1,move1,4-4,3-4,2-3,1-3
15,1,23,3,move2,move1,move1,0,move2,1-2,1-3,-1,-1
16,0,23,3,move2,move1,capture,2,capture,2-4,2-3,-1,-1
17,1,27,3,move2,mobilize,capture,1,mobilize,1-1,2-1,-1,-1
18,0,27,3,mobilize,mobilize,capture,0,mobilize,2-3,1-4,-1,-1
19,1,29,3,move1,mobilize,capture,0,move1,5-2,5-1,2-1,1-1
20,0,29,3,move1,move2,capture,1,move2,3-4,3-3,4-4,5-4
21,1,34,3,move1,move2,move1,2,move1,1-2,1-4,1-1,-1
22,0,34,3,swap,move2,move1,0,swap,2-4,2-3,-1,-1
23,1,38,3,swap,move2,swap,2,swap,5-1,5-2,-1,-1
24,0,38,5,swap,move2,mobilize,2,mobilize,3-3,1-2,-1,-1
25,1,42,5,move1,move2,mobilize,0,move1,1-1,1-2,-1,-1
26,0,42,5,move1,move2,capture,2,capture,2-3,2-2,1-1,1-0
27,1,49,5,move1,move2,move2,2,move2,1-2,2-2,-1,-1
28,0,49,5,move1,move2,move2,1,move2,1-0,1-1,-1,-1
29,1,53,5,move1,move1,move2,1,move1,3-3,5-3,-1,-1
30,0,53,5,move1,move1,swap,2,swap,5-4,3-4,-1,-1
31,1,57,5,capture,move1,swap,0,capture,5-3,4-3,-1,-1
32,0,57,5,capture,mobilize,swap,1,mobilize,1-1,1-0,-1,-1
